variable,region,week,init_date,model,pcc,rmse,bias,fcst_mean,obs_mean
T2M,All India,Week 1,2026-01-01,SPIRE,0.8515366868295534,1.4769243600564819,0.24640821219881057,278.25578998299625,278.00938177079746
T2M,All India,Week 1,2026-01-01,FuXi,0.6639789430989447,4.397588115959728,-3.332304632715658,274.67707713808187,278.00938177079746
T2M,All India,Week 1,2026-01-01,ECMWF,0.6544066423246522,5.028090955648062,-4.000178858031548,274.00920291276594,278.00938177079746
T2M,All India,Week 1,2026-01-01,NCEP,0.46119585513786754,4.561190860408777,-2.547148218382961,275.46223355241443,278.00938177079746
T2M,northwest_india,Week 1,2026-01-01,SPIRE,0.5736465947617809,1.9085759070599133,0.3126987470017994,276.5655583934674,276.25285964646565
T2M,northwest_india,Week 1,2026-01-01,FuXi,0.4671167454059183,4.112950141763842,-2.951679415696781,273.30118023076886,276.25285964646565
T2M,northwest_india,Week 1,2026-01-01,ECMWF,0.4387569244973981,5.343855612345848,-4.26053817153316,271.99232147493245,276.25285964646565
T2M,northwest_india,Week 1,2026-01-01,NCEP,0.4322639705300389,3.8869659060521404,-1.2563528545875606,274.99650679187806,276.25285964646565
T2M,central_india,Week 1,2026-01-01,SPIRE,0.9403567072446244,1.6944037057927255,1.4922114785734952,290.2212517628969,288.7290402843234
T2M,central_india,Week 1,2026-01-01,FuXi,0.6736086515591792,3.1211150677750705,-2.5875339202193266,286.1415063641041,288.7290402843234
T2M,central_india,Week 1,2026-01-01,ECMWF,0.6643555407950827,3.5996321658147417,-3.0820770990314195,285.64696318529195,288.7290402843234
T2M,central_india,Week 1,2026-01-01,NCEP,0.41380853983360205,3.0405526673797323,-2.0798964809497655,286.64914380337365,288.7290402843234
T2M,south_peninsula,Week 1,2026-01-01,SPIRE,0.929264557425229,0.6664819623704412,0.2569495387768675,295.97931490689365,295.7223653681168
T2M,south_peninsula,Week 1,2026-01-01,FuXi,0.9355535474176506,2.853558401477298,-2.5347628398549693,293.18760252826183,295.7223653681168
T2M,south_peninsula,Week 1,2026-01-01,ECMWF,0.8724378553413901,3.558604614816628,-3.212473760033747,292.509891608083,295.7223653681168
T2M,south_peninsula,Week 1,2026-01-01,NCEP,0.8126061321842311,3.5271889110307186,-3.115723481360795,292.606641886756,295.7223653681168
T2M,east_northeast_india,Week 1,2026-01-01,SPIRE,0.5595450877068316,1.3381690235422792,0.34286688812021393,284.0127953247855,283.66992843666526
T2M,east_northeast_india,Week 1,2026-01-01,FuXi,0.2913629493938623,4.99448959758184,-3.654715339498075,280.01521309716713,283.66992843666526
T2M,east_northeast_india,Week 1,2026-01-01,ECMWF,0.21512898879931913,5.809463828837322,-4.67381877939386,278.9961096572714,283.66992843666526
T2M,east_northeast_india,Week 1,2026-01-01,NCEP,0.2191424054581565,5.00619680751215,-3.8044787187964975,279.8654497178688,283.66992843666526
T2M,All India,Week 2,2026-01-01,SPIRE,0.4609558499708366,3.1840253764972357,-0.779940728550211,277.78360373797386,278.56354446652404
T2M,All India,Week 2,2026-01-01,FuXi,0.6269624307672731,4.956165607052452,-3.771532429838739,274.79201203668526,278.56354446652404
T2M,All India,Week 2,2026-01-01,ECMWF,0.6072940102177864,5.41025440467965,-4.385501854077742,274.17804261244635,278.56354446652404
T2M,All India,Week 2,2026-01-01,NCEP,0.44138687997032916,5.143212447610091,-3.2943360544265836,275.26920841209756,278.56354446652404
T2M,northwest_india,Week 2,2026-01-01,SPIRE,0.07721789508364613,3.305809527291589,0.4497438294378535,276.6751774375928,276.22543360815496
T2M,northwest_india,Week 2,2026-01-01,FuXi,0.406043389746015,4.8200640998093505,-3.368722179522125,272.8567114286329,276.22543360815496
T2M,northwest_india,Week 2,2026-01-01,ECMWF,0.4195621845498377,5.303031194216511,-3.983314249185935,272.24211935896903,276.22543360815496
T2M,northwest_india,Week 2,2026-01-01,NCEP,0.40302579254581516,4.404108709248119,-1.925982169112176,274.2994514390428,276.22543360815496
T2M,central_india,Week 2,2026-01-01,SPIRE,0.8470388846770365,1.6440861161107794,1.2488224343506402,290.4838288919929,289.23500645764227
T2M,central_india,Week 2,2026-01-01,FuXi,0.7448872463430202,3.701323215323265,-3.289243397760055,285.9457630598822,289.23500645764227
T2M,central_india,Week 2,2026-01-01,ECMWF,0.6258004804099315,3.8339219493664003,-3.339483254717141,285.8955232029251,289.23500645764227
T2M,central_india,Week 2,2026-01-01,NCEP,0.6736844965789459,3.2398612436432495,-2.690425226100856,286.5445812315415,289.23500645764227
T2M,south_peninsula,Week 2,2026-01-01,SPIRE,0.8518611590110614,0.8706338247504123,-0.15637782955683988,295.5022405455128,295.6586183750697
T2M,south_peninsula,Week 2,2026-01-01,FuXi,0.9052999715362997,2.5962465355631803,-2.1170712401543668,293.5415471349153,295.6586183750697
T2M,south_peninsula,Week 2,2026-01-01,ECMWF,0.816684017046591,3.8220997573190267,-3.41459652853996,292.24402184652973,295.6586183750697
T2M,south_peninsula,Week 2,2026-01-01,NCEP,0.7606729281963722,3.0582843981583108,-2.54966315277313,293.1089552222965,295.6586183750697
T2M,east_northeast_india,Week 2,2026-01-01,SPIRE,0.08038588269323152,2.5079514510641503,-0.7976363575931924,284.254397755947,285.0520341135402
T2M,east_northeast_india,Week 2,2026-01-01,FuXi,0.29298495321254203,5.7119099257920105,-4.497695844335118,280.5543382692051,285.0520341135402
T2M,east_northeast_india,Week 2,2026-01-01,ECMWF,0.2820956669920785,6.6115911718382865,-5.742725072347913,279.3093090411923,285.0520341135402
T2M,east_northeast_india,Week 2,2026-01-01,NCEP,0.20508498277674336,6.480441180167373,-5.529250746277322,279.5227833672629,285.0520341135402
T2M,All India,Week 3,2026-01-01,SPIRE,0.19141002831741777,3.7374489928160006,-1.793198231372959,278.5289265062561,280.322124737629
T2M,All India,Week 3,2026-01-01,FuXi,0.6220842308307809,6.054858578503881,-5.112110176801707,275.2100145608273,280.322124737629
T2M,All India,Week 3,2026-01-01,ECMWF,0.5914952411499236,6.197726952869356,-5.458169344756829,274.8639553928722,280.322124737629
T2M,All India,Week 3,2026-01-01,NCEP,0.4802390225842091,5.9853264056376645,-4.898303297346444,275.4238214402826,280.322124737629
T2M,northwest_india,Week 3,2026-01-01,SPIRE,-0.06589077272700136,2.9364940739777623,-0.9557098597262518,277.9780262377407,278.9337360974669
T2M,northwest_india,Week 3,2026-01-01,FuXi,0.6003054077854709,6.500145099201675,-5.934753865634919,272.998982231832,278.9337360974669
T2M,northwest_india,Week 3,2026-01-01,ECMWF,0.5665931210015526,6.523119207870181,-5.887033390875045,273.04670270659193,278.9337360974669
T2M,northwest_india,Week 3,2026-01-01,NCEP,0.610601220315537,5.4131318240080715,-4.396653021669044,274.5370830757979,278.9337360974669
T2M,central_india,Week 3,2026-01-01,SPIRE,0.6894058848779132,0.8458925740380769,0.09572029069140656,291.1345720636179,291.03885177292653
T2M,central_india,Week 3,2026-01-01,FuXi,0.6450835722126318,4.5267352793980775,-4.049243610606316,286.9896081623202,291.03885177292653
T2M,central_india,Week 3,2026-01-01,ECMWF,0.5823994640346536,5.231060191087358,-4.89724459628029,286.14160717664623,291.03885177292653
T2M,central_india,Week 3,2026-01-01,NCEP,0.606598746087901,5.009707888778277,-4.727065299715236,286.31178647321127,291.03885177292653
T2M,south_peninsula,Week 3,2026-01-01,SPIRE,0.8545047864354324,0.7948205569075767,-0.3560096763161172,295.84422228109395,296.2002319574101
T2M,south_peninsula,Week 3,2026-01-01,FuXi,0.8895700970046247,2.152616811717522,-1.5269825600928513,294.6732493973172,296.2002319574101
T2M,south_peninsula,Week 3,2026-01-01,ECMWF,0.8282714053177536,4.161491529813029,-3.8596287978709114,292.3406031595391,296.2002319574101
T2M,south_peninsula,Week 3,2026-01-01,NCEP,0.83266946636317,4.077657326746648,-3.771290859623278,292.4289410977869,296.2002319574101
T2M,east_northeast_india,Week 3,2026-01-01,SPIRE,-0.06709585907084209,2.6507357667171725,-1.0928766451075582,284.61146307169844,285.7043397168059
T2M,east_northeast_india,Week 3,2026-01-01,FuXi,0.22256049980503584,5.84867766294912,-4.748015674875104,280.95632404193077,285.7043397168059
T2M,east_northeast_india,Week 3,2026-01-01,ECMWF,0.27225709034767503,6.884398491202431,-6.099304175669825,279.6050355411361,285.7043397168059
T2M,east_northeast_india,Week 3,2026-01-01,NCEP,0.2260539120103344,6.876435153731086,-6.122189339844245,279.58215037696164,285.7043397168059
T2M,All India,Week 4,2026-01-01,SPIRE,0.11875260123433697,3.997776235406092,-0.8313624260219761,279.2001333439299,280.03149576995185
T2M,All India,Week 4,2026-01-01,FuXi,0.6630938096780441,4.454726233763626,-3.2603578567677367,276.7711379131841,280.03149576995185
T2M,All India,Week 4,2026-01-01,ECMWF,0.5347891857796292,6.162733145253035,-5.152289697842892,274.87920607210896,280.03149576995185
T2M,All India,Week 4,2026-01-01,NCEP,0.14557406485281638,6.597769028700329,-4.683620015719042,275.34787575423286,280.03149576995185
T2M,northwest_india,Week 4,2026-01-01,SPIRE,0.08783736074804395,3.182382522993941,1.463122199864048,278.7034603887571,277.240338188893
T2M,northwest_india,Week 4,2026-01-01,FuXi,0.5747043236971489,4.186443799034844,-3.0402324950884547,274.20010569380463,277.240338188893
T2M,northwest_india,Week 4,2026-01-01,ECMWF,0.42801477930804144,5.573425966125058,-4.5624219063939435,272.6779162824991,277.240338188893
T2M,northwest_india,Week 4,2026-01-01,NCEP,0.17649934158916344,4.9221984746032375,-2.366138707136874,274.8741994817562,277.240338188893
T2M,central_india,Week 4,2026-01-01,SPIRE,0.7575161772253886,1.1350749875854977,0.30201297856498566,291.91303064354054,291.6110176649756
T2M,central_india,Week 4,2026-01-01,FuXi,0.7035006459052423,3.5972002760001507,-3.1289588485993867,288.48205881637614,291.6110176649756
T2M,central_india,Week 4,2026-01-01,ECMWF,0.6131291006336123,5.383756681566884,-5.0493806160724475,286.56163704890304,291.6110176649756
T2M,central_india,Week 4,2026-01-01,NCEP,0.21311090750613157,6.380396038325921,-5.890776475070138,285.7202411899054,291.6110176649756
T2M,south_peninsula,Week 4,2026-01-01,SPIRE,0.8759428625655339,0.7658223143579366,-0.5159122584363363,296.17041299301997,296.6863252514563
T2M,south_peninsula,Week 4,2026-01-01,FuXi,0.901695043902763,1.9475614935652885,-1.591870534115707,295.0944547173406,296.6863252514563
T2M,south_peninsula,Week 4,2026-01-01,ECMWF,0.8582400503344599,4.138343210683326,-3.9153322491499223,292.7709930023064,296.6863252514563
T2M,south_peninsula,Week 4,2026-01-01,NCEP,0.8374202223348632,5.338851088900183,-4.957345099062777,291.72898015239355,296.6863252514563
T2M,east_northeast_india,Week 4,2026-01-01,SPIRE,-0.18052099299627386,2.5802592403801587,-1.1758542560283232,285.2484520053924,286.4243062614208
T2M,east_northeast_india,Week 4,2026-01-01,FuXi,0.3164101750656816,4.710872619484234,-3.4562063209329725,282.9680999404878,286.4243062614208
T2M,east_northeast_india,Week 4,2026-01-01,ECMWF,0.323257906207214,7.159772040516161,-6.386761603709283,280.0375446577115,286.4243062614208
T2M,east_northeast_india,Week 4,2026-01-01,NCEP,0.32905414598485144,7.821682582706815,-7.235630019422387,279.1886762419984,286.4243062614208
T2M,All India,Week 5,2026-01-01,SPIRE,0.3969369196329141,2.54551933240888,-0.6687254764228019,280.11122621118983,280.77995168761265
T2M,All India,Week 5,2026-01-01,FuXi,0.6238729128570084,4.672688580652901,-3.63586927780567,277.14408240980714,280.77995168761265
T2M,All India,Week 5,2026-01-01,ECMWF,0.5458987025011015,6.675148291778243,-5.858941213273113,274.9210104743396,280.77995168761265
T2M,All India,Week 5,2026-01-01,NCEP,0.2504865233024484,5.895996489691234,-4.554257095576981,276.2256945920358,280.77995168761265
T2M,northwest_india,Week 5,2026-01-01,SPIRE,0.4475474565388748,1.6811888326002902,0.6963835120899188,279.55716649707796,278.8607829849881
T2M,northwest_india,Week 5,2026-01-01,FuXi,0.3722041810774087,4.953456214340826,-3.978853058392277,274.8819299265958,278.8607829849881
T2M,northwest_india,Week 5,2026-01-01,ECMWF,0.21626912329615572,7.027207382373526,-6.225331737059393,272.63545124792864,278.8607829849881
T2M,northwest_india,Week 5,2026-01-01,NCEP,0.23691562039628877,4.956361345042486,-3.207055713186476,275.6537272718016,278.8607829849881
T2M,central_india,Week 5,2026-01-01,SPIRE,0.7227706183261567,1.226363858259252,0.6051716946031895,292.70542349502733,292.10025180042413
T2M,central_india,Week 5,2026-01-01,FuXi,0.6343206852951335,3.9433617276226194,-3.504925287687211,288.59532651273696,292.10025180042413
T2M,central_india,Week 5,2026-01-01,ECMWF,0.6088370215023279,5.608335594182185,-5.272484626369325,286.8277671740548,292.10025180042413
T2M,central_india,Week 5,2026-01-01,NCEP,0.44174456406508256,5.25310519655299,-4.8791535176505905,287.2210982827736,292.10025180042413
T2M,south_peninsula,Week 5,2026-01-01,SPIRE,0.8782382324450658,0.670212770133532,-0.4220308265566818,296.72465189882723,297.146682725384
T2M,south_peninsula,Week 5,2026-01-01,FuXi,0.8485467115371572,2.4044447876042234,-2.069082669375189,295.07760005600875,297.146682725384
T2M,south_peninsula,Week 5,2026-01-01,ECMWF,0.8159006374997992,4.1577003617163815,-3.9233766803129826,293.22330604507096,297.146682725384
T2M,south_peninsula,Week 5,2026-01-01,NCEP,0.7820626564640752,4.972963008388543,-4.677949038678178,292.4687336867057,297.146682725384
T2M,east_northeast_india,Week 5,2026-01-01,SPIRE,0.3232685892009931,1.748841246710976,-0.7273398600841225,286.0349046188159,286.7622444789
T2M,east_northeast_india,Week 5,2026-01-01,FuXi,0.42203672627700445,4.822528358892269,-3.642184500477715,283.1200599784223,286.7622444789
T2M,east_northeast_india,Week 5,2026-01-01,ECMWF,0.3537251482438766,7.388889853105394,-6.594803007985855,280.1674414709141,286.7622444789
T2M,east_northeast_india,Week 5,2026-01-01,NCEP,0.14761148508611704,7.308047331090561,-6.594263261866213,280.1679812170338,286.7622444789
T2M,All India,Week 6,2026-01-01,SPIRE,0.5543712250897017,1.899949028920881,-0.6512611886615746,280.9088259638457,281.5600871525073
T2M,All India,Week 6,2026-01-01,FuXi,0.4907424316117112,4.958527768825432,-3.899105637859284,277.660981514648,281.5600871525073
T2M,All India,Week 6,2026-01-01,ECMWF,0.4245305102114318,7.034345313822005,-6.129361215928453,275.4307259365789,281.5600871525073
T2M,All India,Week 6,2026-01-01,NCEP,0.21929189716670006,5.97507074998392,-4.657427460337473,276.90265969216983,281.5600871525073
T2M,northwest_india,Week 6,2026-01-01,SPIRE,0.40280470048197115,1.398588467686022,-0.40783294395967057,280.3514564584494,280.75928940240914
T2M,northwest_india,Week 6,2026-01-01,FuXi,0.10078144508262832,5.800770593669581,-4.872777382566434,275.88651201984266,280.75928940240914
T2M,northwest_india,Week 6,2026-01-01,ECMWF,-0.018294068743729203,8.314263738416976,-7.552257712405319,273.20703169000376,280.75928940240914
T2M,northwest_india,Week 6,2026-01-01,NCEP,0.03408490929469075,6.042177361240288,-4.402125347401534,276.35716405500756,280.75928940240914
T2M,central_india,Week 6,2026-01-01,SPIRE,0.39661638364752316,1.0713496609605766,0.4426986552792801,293.3985126195746,292.95581396429543
T2M,central_india,Week 6,2026-01-01,FuXi,0.4852432564630861,4.1690086122785806,-3.733241702047042,289.2225722622484,292.95581396429543
T2M,central_india,Week 6,2026-01-01,ECMWF,0.4703154433398496,5.870235435878577,-5.456720838272618,287.49909312602273,292.95581396429543
