Region,Week,Init_Date,Model,ACC,RMSE,Bias
All India,Week 1,2026-01-01,FuXi,-0.14548287792395134,0.23625729249466007,-0.05737235905975758
All India,Week 1,2026-01-01,Spire,0.8304835084488035,0.1710572853385689,0.06764832931066733
All India,Week 1,2026-01-01,ECMWF,0.8963088622992647,4.579828382837663,1.3898024987040904
All India,Week 1,2026-01-01,NCEP,0.04992448162916801,3.647804040380301,1.2662575215927085
northwest_india,Week 1,2026-01-01,FuXi,0.9813941682687949,0.008894924287109212,-0.003852379342892804
northwest_india,Week 1,2026-01-01,Spire,0.9235844662002879,0.021782456243727117,0.014418730430500643
northwest_india,Week 1,2026-01-01,ECMWF,-0.5683898306850419,0.24959515553531136,0.14444996491623627
northwest_india,Week 1,2026-01-01,NCEP,-0.5616234888045,0.5571685627285671,0.3167129279742073
central_india,Week 1,2026-01-01,FuXi,0.9969044548972902,0.003395362266239619,-0.0012623885908386167
central_india,Week 1,2026-01-01,Spire,0.7059040509729231,0.03773741349230995,0.01938523040394341
central_india,Week 1,2026-01-01,ECMWF,-0.4738264248974606,0.22311895468674448,0.06687415745711357
central_india,Week 1,2026-01-01,NCEP,0.13083063341371567,0.3782118668371053,0.09722779091017436
south_peninsula,Week 1,2026-01-01,FuXi,-0.0911643430549745,0.1490213452763024,-0.04887196601649548
south_peninsula,Week 1,2026-01-01,Spire,0.7758184847249493,0.2465573691741382,0.12070941610150411
south_peninsula,Week 1,2026-01-01,ECMWF,0.8573701371392877,5.160855152837343,1.8502660823269996
south_peninsula,Week 1,2026-01-01,NCEP,0.04688948765597343,1.1968925772611994,0.7053608889917089
east_northeast_india,Week 1,2026-01-01,FuXi,0.9958191681757624,0.007919982658084206,-0.0037433838427870718
east_northeast_india,Week 1,2026-01-01,Spire,0.7400301428285796,0.05743837728248952,0.025468800791611946
east_northeast_india,Week 1,2026-01-01,ECMWF,-0.34583198898772016,0.5881643161224733,0.36343187588870257
east_northeast_india,Week 1,2026-01-01,NCEP,0.15097881785434025,0.37172498642041,0.18154645223266533
All India,Week 1,2026-01-08,FuXi,0.28571417798706594,0.1083604798909901,-0.03563117568261053
All India,Week 1,2026-01-08,Spire,0.23073820595243624,0.12823736647367726,0.020730842554145274
All India,Week 1,2026-01-08,ECMWF,0.5494271396501704,3.2261020007555543,1.111619712324504
