Region,Model,RMSE (Kelvin)
Mainland India,Spire,4.49392696855176
Mainland India,ECMWF,4.746689443132732
Mainland India,NCEP,3.4065947332995505
Northwest India (NWI),Spire,3.4033242291874384
Northwest India (NWI),ECMWF,3.549331347108128
Northwest India (NWI),NCEP,3.2405452244633315
Central India (CI),Spire,4.3382108922993
Central India (CI),ECMWF,4.870667083793498
Central India (CI),NCEP,2.1297609834973565
South Peninsular (SPI),Spire,3.021809382172622
South Peninsular (SPI),ECMWF,3.295960534973561
South Peninsular (SPI),NCEP,1.5664978143418424
Northeast India (ENEI),Spire,4.536187848950882
Northeast India (ENEI),ECMWF,4.9825366503169795
Northeast India (ENEI),NCEP,3.1280111794719376
