method,region,aggregation,cases,acc,rmse,mae,bias,wet_fraction_error,negative_fraction,lead_week
cma,central_india,all,210,0.1355488693,7.591304712,5.636139064,0.1536207248,0.0569684666,0.0001973628772,
cma,east_northeast_india,all,210,0.2487262167,5.948546119,4.748918659,-1.271229204,0.03725145573,0,
cma,india,all,210,0.1970721319,6.851694734,4.838569365,-0.3641027532,0.05190561195,0.0005706547165,
cma,northwest_india,all,210,0.07754243592,5.523565957,3.990966924,-1.287176937,0.03190063924,0.001436221531,
cma,south_peninsula,all,210,0.1681284923,6.910510487,5.085958523,1.389383037,0.0982497333,0,
dlesym_v0,central_india,all,210,0.1405679132,7.098002217,5.243453635,-2.640558099,-0.05608049772,0,
dlesym_v0,east_northeast_india,all,210,0.1481060824,6.939332153,5.790145083,3.141807726,0.05865706787,0,
dlesym_v0,india,all,210,0.1018436915,6.734838075,4.814901125,-0.9502617188,0.0101826845,0,
dlesym_v0,northwest_india,all,210,0.06762197712,5.506735169,4.134437407,-0.0981192565,0.07295932293,0,
dlesym_v0,south_peninsula,all,210,0.04509244485,6.39283284,4.494058,-3.017271089,-0.03155595745,0,
ecmwf,central_india,all,210,0.2570900116,5.674678649,4.35994226,0.499386863,0.08583934704,0,
ecmwf,east_northeast_india,all,210,0.2622316422,5.292920435,4.278578023,1.087999031,0.09107413193,0,
ecmwf,india,all,210,0.3053795872,5.240052723,3.821929399,0.2525705091,0.1070590192,0,
ecmwf,northwest_india,all,210,0.1978659379,4.428022448,3.241851912,-0.3788673584,0.1304508423,0,
ecmwf,south_peninsula,all,210,0.2894121903,4.646083198,3.53039218,0.3363229191,0.1155754273,0,
equal_weight,central_india,all,210,0.2697993147,5.511560823,4.101721995,-0.6888884151,0.07935732103,0,
equal_weight,east_northeast_india,all,210,0.3652750546,4.983702614,4.113943585,1.317432307,0.09246913623,0,
equal_weight,india,all,210,0.307083633,5.174191845,3.715482491,-0.4280841366,0.1135110496,0,
equal_weight,northwest_india,all,210,0.1419465804,4.486491899,3.27747863,-0.875601673,0.1516207795,0,
equal_weight,south_peninsula,all,210,0.2432372975,4.678375647,3.487991749,-0.5147989769,0.1219006321,0,
fuxi_s2s,central_india,all,210,0.2876125926,5.873817951,4.388358424,-0.5033965085,0.03512811052,0,
fuxi_s2s,east_northeast_india,all,210,0.133243895,6.602453008,5.198337808,2.003113342,0.07952649845,0,
fuxi_s2s,india,all,210,0.2761236081,5.683136983,4.013571058,-0.3626500488,0.04698182251,0,
fuxi_s2s,northwest_india,all,210,0.1416300668,4.736923457,3.404000878,-1.018942977,0.06890170213,0,
fuxi_s2s,south_peninsula,all,210,0.3144674342,4.773252287,3.458652881,-0.8195667646,-0.005723160121,0,
location_calendar_only,central_india,all,210,0.0937664478,6.143899509,4.699458677,-0.5699580351,0.09363817375,1.320300625e-05,
location_calendar_only,east_northeast_india,all,210,-0.02645111126,5.51592078,4.572778872,1.241670303,0.08869036291,0,
location_calendar_only,india,all,210,0.1009854384,5.587407292,4.091315969,-0.4020673135,0.1443801418,0.0006115790249,
location_calendar_only,northwest_india,all,210,0.2131337912,4.645437257,3.466941712,-0.9812190908,0.2241238473,0.001731128138,
location_calendar_only,south_peninsula,all,210,0.04516473709,4.833751108,3.725674688,-0.3042926015,0.1290782661,0,
ncep,central_india,all,210,0.1707306171,6.513216969,4.818429059,-2.028220692,-0.007570471227,0.0001060026358,
ncep,east_northeast_india,all,210,0.2777341447,6.4786869,5.112678244,0.3848076641,0.04860473025,0,
ncep,india,all,210,0.1540194533,6.421398152,4.5379355,-1.471338388,-0.01254312521,0.0001672979099,
ncep,northwest_india,all,210,0.01094723165,5.718642346,4.159224685,-1.965147702,-0.07427817351,0.0003744675444,
ncep,south_peninsula,all,210,0.08286738919,5.7362014,4.241581791,-0.936431355,0.05487033413,0,
neuralgcm,central_india,all,210,0.199929262,6.080245743,4.638435102,-0.3017199846,0.0849637009,0,
neuralgcm,east_northeast_india,all,210,0.4174301148,4.844273804,3.937865745,0.2949156313,0.07650357421,0,
neuralgcm,india,all,210,0.2362773265,5.693764593,4.093678696,-0.4288917143,0.09900683736,0,
neuralgcm,northwest_india,all,210,0.1136123495,4.909205238,3.46347045,-1.209821999,0.1106508164,0,
neuralgcm,south_peninsula,all,210,0.09394534291,5.816599588,4.461284187,0.3344441903,0.1239719441,0,
piggycast_forecast_only,central_india,all,210,0.287811001,5.375640099,4.075574412,-0.2691728537,0.08049234992,0.0001578715443,
