method_a,method_b,metric,effect,ci_low,ci_high,draws,block_length,initializations
piggycast_full,equal_weight,acc,0.0401167193,0.01189249716,0.06710916353,2000,2,35
piggycast_full,equal_weight,acc,0.0401167193,0.01110752862,0.06994895709,2000,4,35
piggycast_full,equal_weight,acc,0.0401167193,0.01667329263,0.06950672939,2000,8,35
piggycast_full,validation_selected_model,acc,0.05167649353,0.00895738994,0.08902550664,2000,2,35
piggycast_full,validation_selected_model,acc,0.05167649353,-0.001664875244,0.0933261452,2000,4,35
piggycast_full,validation_selected_model,acc,0.05167649353,-0.002435065267,0.09604607682,2000,8,35
piggycast_forecast_only,location_calendar_only,acc,0.2377823205,0.2082629824,0.2638769616,2000,2,35
piggycast_forecast_only,location_calendar_only,acc,0.2377823205,0.2090364106,0.2663981449,2000,4,35
piggycast_forecast_only,location_calendar_only,acc,0.2377823205,0.2128822589,0.2666141884,2000,8,35
cma,equal_weight,acc,-0.1100115011,-0.1422712011,-0.07427235635,2000,2,35
cma,equal_weight,acc,-0.1100115011,-0.1467818816,-0.07117491039,2000,4,35
cma,equal_weight,acc,-0.1100115011,-0.141194948,-0.0774061017,2000,8,35
dlesym_v0,equal_weight,acc,-0.2052399415,-0.2318960715,-0.1800130246,2000,2,35
dlesym_v0,equal_weight,acc,-0.2052399415,-0.236183413,-0.1786486142,2000,4,35
dlesym_v0,equal_weight,acc,-0.2052399415,-0.2370278738,-0.1736197494,2000,8,35
ecmwf,equal_weight,acc,-0.001704045837,-0.03388783989,0.03266598413,2000,2,35
ecmwf,equal_weight,acc,-0.001704045837,-0.03919266266,0.04035011058,2000,4,35
ecmwf,equal_weight,acc,-0.001704045837,-0.04137339785,0.03963646272,2000,8,35
fuxi_s2s,equal_weight,acc,-0.03096002491,-0.07159306339,0.01179704895,2000,2,35
fuxi_s2s,equal_weight,acc,-0.03096002491,-0.07862336811,0.01728254509,2000,4,35
fuxi_s2s,equal_weight,acc,-0.03096002491,-0.07668211373,0.01872529214,2000,8,35
ncep,equal_weight,acc,-0.1530641798,-0.1860988629,-0.1188534687,2000,2,35
ncep,equal_weight,acc,-0.1530641798,-0.1854293761,-0.1131720928,2000,4,35
ncep,equal_weight,acc,-0.1530641798,-0.1782738988,-0.1194698467,2000,8,35
neuralgcm,equal_weight,acc,-0.07080630659,-0.09284038789,-0.04828871187,2000,2,35
neuralgcm,equal_weight,acc,-0.07080630659,-0.09202187726,-0.04789558949,2000,4,35
neuralgcm,equal_weight,acc,-0.07080630659,-0.09378271765,-0.04783052163,2000,8,35
ukmo,equal_weight,acc,-0.08079675017,-0.123877589,-0.04163361708,2000,2,35
ukmo,equal_weight,acc,-0.08079675017,-0.128259652,-0.03724947411,2000,4,35
ukmo,equal_weight,acc,-0.08079675017,-0.1261675744,-0.03716639855,2000,8,35
piggycast_full,equal_weight,rmse,-0.1856651766,-0.2650644118,-0.1109777293,2000,2,35
piggycast_full,equal_weight,rmse,-0.1856651766,-0.2900279553,-0.09613863732,2000,4,35
piggycast_full,equal_weight,rmse,-0.1856651766,-0.2846124058,-0.08996334853,2000,8,35
piggycast_full,validation_selected_model,rmse,-0.2940042081,-0.3420095414,-0.2354715766,2000,2,35
piggycast_full,validation_selected_model,rmse,-0.2940042081,-0.3415178321,-0.2350834507,2000,4,35
piggycast_full,validation_selected_model,rmse,-0.2940042081,-0.3422853686,-0.2435123929,2000,8,35
piggycast_forecast_only,location_calendar_only,rmse,-0.5597621271,-0.6581656376,-0.4676126208,2000,2,35
piggycast_forecast_only,location_calendar_only,rmse,-0.5597621271,-0.6926786579,-0.4460414001,2000,4,35
piggycast_forecast_only,location_calendar_only,rmse,-0.5597621271,-0.7079264895,-0.4271450224,2000,8,35
cma,equal_weight,rmse,1.677502889,1.500087659,1.872109826,2000,2,35
cma,equal_weight,rmse,1.677502889,1.464503138,1.895417664,2000,4,35
cma,equal_weight,rmse,1.677502889,1.422048585,1.903872741,2000,8,35
dlesym_v0,equal_weight,rmse,1.56064623,1.381367422,1.761788392,2000,2,35
dlesym_v0,equal_weight,rmse,1.56064623,1.351216901,1.809439361,2000,4,35
dlesym_v0,equal_weight,rmse,1.56064623,1.35640355,1.800737684,2000,8,35
