method,initialization,lead_week,region,acc,rmse,mae,bias,wet_fraction_error,negative_fraction,valid_area_weight,valid_cells
cma,2025-06-02,1,india,0.4809176913,2.276614916,1.576385476,0.4764715843,-0.07421833283,0,3207490.246,171
cma,2025-06-02,1,northwest_india,0.08109790123,1.863594527,1.361681326,-0.06788200317,-0.1278418749,0,1124851.459,68
cma,2025-06-02,1,central_india,0.6138658541,1.285068203,0.8775548823,-0.1342919913,-0.1784285631,0,1088520.578,67
cma,2025-06-02,1,south_peninsula,0.394576422,3.71180203,3.061245215,2.511928582,0.2805785125,0,517384.5263,34
cma,2025-06-02,1,east_northeast_india,0.5696082825,2.820274961,2.067138084,0.9464020418,-0.09480193397,0,476733.6896,35
cma,2025-06-02,2,india,0.5915342256,8.035819078,3.5402894,0.9766288513,-0.1671718699,0.01342532505,3207490.246,171
cma,2025-06-02,2,northwest_india,0.06380962068,2.347821622,1.573174932,-0.4415209209,-0.226677289,0.03828203164,1124851.459,68
cma,2025-06-02,2,central_india,0.319591222,4.000097068,2.936574541,-1.589679986,-0.2929141937,0,1088520.578,67
cma,2025-06-02,2,south_peninsula,0.6079245675,18.62012003,10.46583534,9.80098301,0.03036919394,0,517384.5263,34
cma,2025-06-02,2,east_northeast_india,0.7924225901,2.940558386,2.044060557,0.6055695281,0.04595167767,0,476733.6896,35
cma,2025-06-02,3,india,0.1573666617,9.845583597,6.324147852,-0.1889696356,0.03777495411,0,3207490.246,171
cma,2025-06-02,3,northwest_india,0.04647342982,6.542841127,4.522510379,-1.612708236,-0.07048148653,0,1124851.459,68
cma,2025-06-02,3,central_india,0.1486142198,11.86132799,7.811061376,0.0797305086,0.05740178397,0,1088520.578,67
cma,2025-06-02,3,south_peninsula,0.2359029949,11.42441732,6.502947525,4.485020034,0.2666507622,0,517384.5263,34
cma,2025-06-02,3,east_northeast_india,0.4408608513,9.396566474,6.98600675,-2.515721801,0,0,476733.6896,35
cma,2025-06-02,4,india,0.3099657131,6.119382647,4.539299859,-0.1777898813,0.01592684383,0,3207490.246,171
cma,2025-06-02,4,northwest_india,0.2637640652,5.509517544,4.209513108,-1.649360081,-0.129899251,0,1124851.459,68
cma,2025-06-02,4,central_india,0.2093937274,6.317120752,4.980886347,0.5000373853,0.01559873675,0,1088520.578,67
cma,2025-06-02,4,south_peninsula,-0.4110186061,6.062117777,3.87759819,-0.9171616338,0.3483347554,0,517384.5263,34
cma,2025-06-02,4,east_northeast_india,0.409745476,7.023004594,5.027285811,2.549117184,0,0,476733.6896,35
cma,2025-06-02,5,india,0.07940476871,8.294988552,5.967707723,-3.448325382,0.02154681135,0,3207490.246,171
cma,2025-06-02,5,northwest_india,-0.2745005768,6.584159554,4.8856969,-1.596163103,-0.04789788132,0,1124851.459,68
cma,2025-06-02,5,central_india,-0.05445946265,10.78835551,8.224515625,-6.971812332,0,0,1088520.578,67
cma,2025-06-02,5,south_peninsula,-0.1995978569,5.938295838,3.177487663,-1.362638449,0.2201044088,0,517384.5263,34
cma,2025-06-02,5,east_northeast_india,0.2964594883,7.525303827,6.395905484,-2.036890666,0.0191104045,0,476733.6896,35
cma,2025-06-02,6,india,0.1663616073,7.63484717,5.832642243,-0.8823692408,-0.01489575003,0,3207490.246,171
cma,2025-06-02,6,northwest_india,-0.1241061091,6.750519804,5.122985473,-3.272294664,-0.1856966063,0,1124851.459,68
cma,2025-06-02,6,central_india,-0.03759855186,9.700812965,7.67632062,-1.16476612,0,0,1088520.578,67
cma,2025-06-02,6,south_peninsula,0.4858390202,4.252165412,3.302210898,2.053172838,0.2657791819,0,517384.5263,34
cma,2025-06-02,6,east_northeast_india,0.5388050465,7.08307033,6.043625089,2.215590648,0.04948903339,0,476733.6896,35
cma,2025-06-05,1,india,0.7949846114,2.309111244,1.311320928,-1.019412003,-0.1859673582,0,3207490.246,171
cma,2025-06-05,1,northwest_india,0.3907533006,1.024669481,0.321352877,-0.1323103876,-0.02023480855,0,1124851.459,68
cma,2025-06-05,1,central_india,0.6125783534,2.478062545,1.586009612,-1.5527147,-0.3716957956,0,1088520.578,67
cma,2025-06-05,1,south_peninsula,0.6472353014,3.997947887,3.098007645,-3.024981861,-0.3787278437,0,517384.5263,34
cma,2025-06-05,1,east_northeast_india,0.9437831525,1.424394483,1.080916968,0.2817425625,0.0562559596,0,476733.6896,35
cma,2025-06-05,2,india,0.5177054026,14.37664959,8.039982954,0.9693392371,-0.2753281774,0,3207490.246,171
cma,2025-06-05,2,northwest_india,-0.2644794078,4.120429179,3.194058213,-1.768331729,-0.3218262939,0,1124851.459,68
cma,2025-06-05,2,central_india,0.5733784087,16.72331674,8.872244953,1.258714449,-0.3008020369,0,1088520.578,67
cma,2025-06-05,2,south_peninsula,0.7627047653,23.07639643,15.58457051,15.43729421,0.1409394771,0,517384.5263,34
cma,2025-06-05,2,east_northeast_india,0.3882887792,11.57823665,9.385720464,-8.933492988,-0.5592144532,0,476733.6896,35
cma,2025-06-05,3,india,0.147739093,6.647705958,4.761693561,-0.5452818296,0.0828640612,0,3207490.246,171
cma,2025-06-05,3,northwest_india,0.3478139022,4.933423359,3.57538322,-0.1490015894,0.1751487035,0,1124851.459,68
cma,2025-06-05,3,central_india,-0.06014472557,7.891110474,6.18023633,0.2193361895,0.00550699309,0,1088520.578,67
cma,2025-06-05,3,south_peninsula,-0.4820244634,7.009009917,3.758768303,-2.100010124,0.1213312629,0,517384.5263,34
cma,2025-06-05,3,east_northeast_india,0.1016295646,6.663665883,5.410290329,-1.538848091,0,0,476733.6896,35
cma,2025-06-05,4,india,0.4218783906,5.718390202,4.236969631,-0.237571879,0.0217646484,0,3207490.246,171
cma,2025-06-05,4,northwest_india,0.361274721,4.823446705,3.835153984,-1.163208191,-0.07951740451,0,1124851.459,68
cma,2025-06-05,4,central_india,0.1963115806,6.085037406,4.23500391,-0.9037015285,0.0238592262,0,1088520.578,67
cma,2025-06-05,4,south_peninsula,0.07247243532,4.915730199,3.615628809,0.6746870828,0.2194244104,0,517384.5263,34
cma,2025-06-05,4,east_northeast_india,0.5552409389,7.371725235,5.863862822,2.477383117,0.04144266091,0,476733.6896,35
