year,initialization,included
2020,2020-06-01,True
2020,2020-06-04,True
2020,2020-06-08,True
2020,2020-06-11,True
2020,2020-06-15,True
2020,2020-06-18,True
2020,2020-06-22,True
2020,2020-06-25,True
2020,2020-06-29,True
2020,2020-07-02,True
2020,2020-07-06,True
2020,2020-07-09,True
2020,2020-07-13,True
2020,2020-07-16,True
2020,2020-07-20,True
2020,2020-07-23,True
2020,2020-07-27,True
2020,2020-07-30,True
2020,2020-08-03,True
2020,2020-08-06,True
2020,2020-08-10,True
2020,2020-08-13,True
2020,2020-08-17,True
2020,2020-08-20,True
2020,2020-08-24,True
2020,2020-08-27,True
2020,2020-08-31,True
2020,2020-09-03,True
2020,2020-09-07,True
2020,2020-09-10,True
2020,2020-09-14,True
2020,2020-09-17,True
2020,2020-09-21,True
2020,2020-09-24,True
2020,2020-09-28,True
2021,2021-06-03,True
2021,2021-06-07,True
2021,2021-06-10,True
2021,2021-06-14,True
2021,2021-06-17,True
2021,2021-06-21,True
2021,2021-06-24,True
2021,2021-06-28,True
2021,2021-07-01,True
2021,2021-07-05,True
2021,2021-07-08,True
2021,2021-07-12,True
2021,2021-07-15,True
2021,2021-07-19,True
2021,2021-07-22,True
2021,2021-07-26,True
2021,2021-07-29,True
2021,2021-08-02,True
2021,2021-08-05,True
2021,2021-08-09,True
2021,2021-08-12,True
2021,2021-08-16,True
2021,2021-08-19,True
2021,2021-08-23,True
2021,2021-08-26,True
2021,2021-08-30,True
2021,2021-09-02,True
2021,2021-09-06,True
2021,2021-09-09,True
2021,2021-09-13,True
2021,2021-09-16,True
2021,2021-09-20,True
2021,2021-09-23,True
2021,2021-09-27,True
2021,2021-09-30,True
2022,2022-06-02,True
2022,2022-06-06,True
2022,2022-06-09,True
2022,2022-06-13,True
2022,2022-06-16,True
2022,2022-06-20,True
2022,2022-06-23,True
2022,2022-06-27,True
2022,2022-06-30,True
2022,2022-07-04,True
2022,2022-07-07,True
2022,2022-07-11,True
2022,2022-07-14,True
2022,2022-07-18,True
2022,2022-07-21,True
2022,2022-07-25,True
2022,2022-07-28,True
2022,2022-08-01,True
2022,2022-08-04,True
2022,2022-08-08,True
2022,2022-08-11,True
2022,2022-08-15,True
2022,2022-08-18,True
2022,2022-08-22,True
2022,2022-08-25,True
2022,2022-08-29,True
2022,2022-09-01,True
2022,2022-09-05,True
2022,2022-09-08,True
2022,2022-09-12,True
2022,2022-09-15,True
2022,2022-09-19,True
2022,2022-09-22,True
2022,2022-09-26,True
2022,2022-09-29,True
2023,2023-06-01,True
2023,2023-06-05,True
2023,2023-06-08,True
2023,2023-06-12,True
2023,2023-06-15,True
2023,2023-06-19,True
2023,2023-06-22,True
2023,2023-06-26,True
2023,2023-06-29,True
2023,2023-07-03,True
2023,2023-07-06,True
2023,2023-07-10,True
2023,2023-07-13,True
2023,2023-07-17,True
2023,2023-07-20,True
2023,2023-07-24,True
2023,2023-07-27,True
2023,2023-07-31,True
2023,2023-08-03,True
2023,2023-08-07,True
2023,2023-08-10,True
2023,2023-08-14,True
2023,2023-08-17,True
2023,2023-08-21,True
2023,2023-08-24,True
2023,2023-08-28,True
2023,2023-08-31,True
2023,2023-09-04,True
2023,2023-09-07,True
2023,2023-09-11,True
2023,2023-09-14,True
2023,2023-09-18,True
2023,2023-09-21,True
2023,2023-09-25,True
2023,2023-09-28,True
2024,2024-06-03,True
2024,2024-06-20,True
2024,2024-06-24,True
2024,2024-06-27,True
2024,2024-07-01,True
2024,2024-07-04,True
2024,2024-07-08,True
2024,2024-07-11,True
2024,2024-07-15,True
2024,2024-07-18,True
2024,2024-07-22,True
2024,2024-07-25,True
2024,2024-07-29,True
2024,2024-08-01,True
2024,2024-08-08,True
2024,2024-08-12,True
2024,2024-08-15,True
2024,2024-08-19,True
2024,2024-08-22,True
2024,2024-08-26,True
2024,2024-08-29,True
2024,2024-09-02,True
2024,2024-09-05,True
2024,2024-09-09,True
2024,2024-09-12,True
2024,2024-09-16,True
2024,2024-09-19,True
2024,2024-09-23,True
2024,2024-09-26,True
2024,2024-09-30,True
2025,2025-06-02,True
2025,2025-06-05,True
2025,2025-06-09,True
2025,2025-06-12,True
2025,2025-06-16,True
2025,2025-06-19,True
2025,2025-06-23,True
2025,2025-06-26,True
2025,2025-06-30,True
2025,2025-07-03,True
2025,2025-07-07,True
2025,2025-07-10,True
2025,2025-07-14,True
2025,2025-07-17,True
2025,2025-07-21,True
2025,2025-07-24,True
2025,2025-07-28,True
2025,2025-07-31,True
2025,2025-08-04,True
2025,2025-08-07,True
2025,2025-08-11,True
2025,2025-08-14,True
2025,2025-08-18,True
2025,2025-08-21,True
2025,2025-08-25,True
2025,2025-08-28,True
2025,2025-09-01,True
2025,2025-09-04,True
2025,2025-09-08,True
2025,2025-09-11,True
2025,2025-09-15,True
2025,2025-09-18,True
2025,2025-09-22,True
2025,2025-09-25,True
2025,2025-09-29,True
