method_a,method_b,metric,effect,ci_low,ci_high,draws,block_length,initializations
piggycast_full,equal_weight,acc,0.0401167193,0.01110752862,0.06994895709,2000,4,35
piggycast_full,validation_selected_model,acc,0.05167649353,-0.001664875244,0.0933261452,2000,4,35
piggycast_forecast_only,location_calendar_only,acc,0.2377823205,0.2090364106,0.2663981449,2000,4,35
cma,equal_weight,acc,-0.1100115011,-0.1467818816,-0.07117491039,2000,4,35
dlesym_v0,equal_weight,acc,-0.2052399415,-0.236183413,-0.1786486142,2000,4,35
ecmwf,equal_weight,acc,-0.001704045837,-0.03919266266,0.04035011058,2000,4,35
fuxi_s2s,equal_weight,acc,-0.03096002491,-0.07862336811,0.01728254509,2000,4,35
ncep,equal_weight,acc,-0.1530641798,-0.1854293761,-0.1131720928,2000,4,35
neuralgcm,equal_weight,acc,-0.07080630659,-0.09202187726,-0.04789558949,2000,4,35
ukmo,equal_weight,acc,-0.08079675017,-0.128259652,-0.03724947411,2000,4,35
piggycast_full,equal_weight,rmse,-0.1856651766,-0.2900279553,-0.09613863732,2000,4,35
piggycast_full,validation_selected_model,rmse,-0.2940042081,-0.3415178321,-0.2350834507,2000,4,35
piggycast_forecast_only,location_calendar_only,rmse,-0.5597621271,-0.6926786579,-0.4460414001,2000,4,35
cma,equal_weight,rmse,1.677502889,1.464503138,1.895417664,2000,4,35
dlesym_v0,equal_weight,rmse,1.56064623,1.351216901,1.809439361,2000,4,35
ecmwf,equal_weight,rmse,0.06586087771,-0.04055388928,0.1484942164,2000,4,35
fuxi_s2s,equal_weight,rmse,0.5089451384,0.3472019375,0.6836830252,2000,4,35
ncep,equal_weight,rmse,1.247206307,1.015725392,1.466994825,2000,4,35
neuralgcm,equal_weight,rmse,0.5195727479,0.4073013741,0.6290605878,2000,4,35
ukmo,equal_weight,rmse,1.196057774,0.9678543434,1.432666436,2000,4,35
piggycast_full,equal_weight,mae,-0.1123689791,-0.1812347214,-0.04487047423,2000,4,35
piggycast_full,validation_selected_model,mae,-0.241707061,-0.2834301278,-0.1987418851,2000,4,35
piggycast_forecast_only,location_calendar_only,mae,-0.4656375424,-0.5856954109,-0.3592967752,2000,4,35
cma,equal_weight,mae,1.123086873,1.023461575,1.226868341,2000,4,35
dlesym_v0,equal_weight,mae,1.099418634,0.9316323566,1.289648775,2000,4,35
ecmwf,equal_weight,mae,0.1064469072,0.03707193732,0.1789196464,2000,4,35
fuxi_s2s,equal_weight,mae,0.2980885666,0.1637836217,0.4467459904,2000,4,35
ncep,equal_weight,mae,0.822453009,0.6113954211,1.017783735,2000,4,35
neuralgcm,equal_weight,mae,0.378196205,0.271926262,0.4776156846,2000,4,35
ukmo,equal_weight,mae,0.8061301491,0.5947190357,1.027995305,2000,4,35
piggycast_full,equal_weight,bias,0.1253745708,-0.05754979545,0.3193006419,2000,4,35
piggycast_full,validation_selected_model,bias,-0.4598287462,-0.628593938,-0.3013475106,2000,4,35
piggycast_forecast_only,location_calendar_only,bias,0.1141861554,-0.06750799239,0.2832521867,2000,4,35
cma,equal_weight,bias,0.06398138341,-0.2277362744,0.3692894999,2000,4,35
dlesym_v0,equal_weight,bias,-0.5221775822,-0.8675642528,-0.2634716601,2000,4,35
ecmwf,equal_weight,bias,0.6806546457,0.4220886282,0.9372911401,2000,4,35
fuxi_s2s,equal_weight,bias,0.06543408776,-0.07862164408,0.1934929438,2000,4,35
ncep,equal_weight,bias,-1.043254251,-1.299632141,-0.7703038233,2000,4,35
neuralgcm,equal_weight,bias,-0.0008075777131,-0.1587774293,0.1673089048,2000,4,35
ukmo,equal_weight,bias,0.7561693023,0.438538238,1.074094503,2000,4,35
piggycast_full,equal_weight,wet_fraction_error,-0.0007758551693,-0.008065347802,0.005277267334,2000,4,35
piggycast_full,validation_selected_model,wet_fraction_error,0.01526301177,0.006520613064,0.024178751,2000,4,35
piggycast_forecast_only,location_calendar_only,wet_fraction_error,-0.02774272714,-0.047709339,-0.009642802479,2000,4,35
cma,equal_weight,wet_fraction_error,-0.06160543769,-0.07106831311,-0.05284377508,2000,4,35
dlesym_v0,equal_weight,wet_fraction_error,-0.1033283651,-0.1300344832,-0.07698812404,2000,4,35
ecmwf,equal_weight,wet_fraction_error,-0.006452030469,-0.01231479244,-0.001587092729,2000,4,35
fuxi_s2s,equal_weight,wet_fraction_error,-0.06652922714,-0.09331935368,-0.04290077232,2000,4,35
ncep,equal_weight,wet_fraction_error,-0.1260541749,-0.1380812424,-0.1144324893,2000,4,35
neuralgcm,equal_weight,wet_fraction_error,-0.01450421228,-0.0225560763,-0.007814228385,2000,4,35
ukmo,equal_weight,wet_fraction_error,-0.06918227398,-0.08216634615,-0.05753443257,2000,4,35
