method,acc,rmse,mae,bias,wet_fraction_error
piggycast_full,0.3472,4.9885,3.6031,-0.3027,0.1127
piggycast_forecast_only,0.3388,5.0276,3.6257,-0.2879,0.1166
validation_weighted,0.3130,5.1502,3.7002,-0.3973,0.1135
equal_weight,0.3071,5.1742,3.7155,-0.4281,0.1135
ecmwf,0.3054,5.2401,3.8219,0.2526,0.1071
validation_selected_model,0.2955,5.2825,3.8448,0.1571,0.0975
fuxi_s2s,0.2761,5.6831,4.0136,-0.3627,0.0470
neuralgcm,0.2363,5.6938,4.0937,-0.4289,0.0990
ukmo,0.2263,6.3702,4.5216,0.3281,0.0443
cma,0.1971,6.8517,4.8386,-0.3641,0.0519
ncep,0.1540,6.4214,4.5379,-1.4713,-0.0125
dlesym_v0,0.1018,6.7348,4.8149,-0.9503,0.0102
location_calendar_only,0.1010,5.5874,4.0913,-0.4021,0.1444
