year,fuxi_init,ecmwf_init,init_offset_days,pair_mode,ecmwf_lead_start_day,ecmwf_lead_end_day,ecmwf_frequency,pair_policy,fuxi_target_source,availability_as_of,ecmwf_retrieval_status
2019,2019-06-02,2019-05-30,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-06-06,2019-06-03,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-06-09,2019-06-06,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-06-13,2019-06-10,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-06-16,2019-06-13,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-06-20,2019-06-17,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-06-23,2019-06-20,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-06-27,2019-06-24,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-06-30,2019-06-27,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-07-04,2019-07-01,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-07-07,2019-07-04,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-07-11,2019-07-08,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-07-14,2019-07-11,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-07-18,2019-07-15,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-07-21,2019-07-18,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-07-25,2019-07-22,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-07-28,2019-07-25,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-08-01,2019-07-29,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-08-04,2019-08-01,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-08-08,2019-08-05,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-08-11,2019-08-08,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-08-15,2019-08-12,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-08-18,2019-08-15,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-08-22,2019-08-19,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-08-25,2019-08-22,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
2019,2019-08-29,2019-08-26,-3,same_valid_window,4,45,mon_thu,one_to_one_minimum_lag,archive,2026-07-13,mature
