task_index,init_date,init_yyyymmdd,year,archive_path,archive_size_bytes,archive_mtime_utc
0,2002-06-02,20020602,2002,/storage/raj.ayush/archive/All_Model_Data/models/fuxi/data/20020602.7z,3187676135,2026-06-15T21:08:20+00:00
1,2002-06-06,20020606,2002,/storage/raj.ayush/archive/All_Model_Data/models/fuxi/data/20020606.7z,3188808344,2026-06-15T21:08:43+00:00
2,2002-06-09,20020609,2002,/storage/raj.ayush/archive/All_Model_Data/models/fuxi/data/20020609.7z,3188785344,2026-06-15T21:09:06+00:00
3,2002-06-13,20020613,2002,/storage/raj.ayush/archive/All_Model_Data/models/fuxi/data/20020613.7z,3187669641,2026-06-15T21:09:29+00:00
4,2002-06-16,20020616,2002,/storage/raj.ayush/archive/All_Model_Data/models/fuxi/data/20020616.7z,3186198113,2026-06-15T21:09:52+00:00
5,2002-06-20,20020620,2002,/storage/raj.ayush/archive/All_Model_Data/models/fuxi/data/20020620.7z,3185974690,2026-06-15T21:10:15+00:00
6,2002-06-23,20020623,2002,/storage/raj.ayush/archive/All_Model_Data/models/fuxi/data/20020623.7z,3184378591,2026-06-15T21:10:38+00:00
7,2002-06-27,20020627,2002,/storage/raj.ayush/archive/All_Model_Data/models/fuxi/data/20020627.7z,3183405112,2026-06-15T21:11:39+00:00
8,2002-06-30,20020630,2002,/storage/raj.ayush/archive/All_Model_Data/models/fuxi/data/20020630.7z,3182819472,2026-06-15T21:12:02+00:00
9,2002-07-04,20020704,2002,/storage/raj.ayush/archive/All_Model_Data/models/fuxi/data/20020704.7z,3185160104,2026-06-15T21:12:26+00:00
10,2002-07-07,20020707,2002,/storage/raj.ayush/archive/All_Model_Data/models/fuxi/data/20020707.7z,3181546614,2026-06-15T21:13:03+00:00
11,2002-07-11,20020711,2002,/storage/raj.ayush/archive/All_Model_Data/models/fuxi/data/20020711.7z,3179336133,2026-06-15T21:19:05+00:00
12,2002-07-14,20020714,2002,/storage/raj.ayush/archive/All_Model_Data/models/fuxi/data/20020714.7z,3178914646,2026-06-15T21:19:33+00:00
13,2002-07-18,20020718,2002,/storage/raj.ayush/archive/All_Model_Data/models/fuxi/data/20020718.7z,3177563986,2026-06-15T21:19:56+00:00
