provider,year,variable,level,forecast_type,files,unique_init_dates,mon_thu_expected,mon_thu_present,mon_thu_missing,all_days_expected,all_days_present,all_days_missing,size_gb,first_date,last_date,missing_mon_thu_dates
ecmwf,2019,msl,,cf,35,35,35,35,0,122,35,87,0.003,2019-06-03,2019-09-30,
ecmwf,2019,msl,,pf,35,35,35,35,0,122,35,87,0.098,2019-06-03,2019-09-30,
ecmwf,2019,t2m,,cf,35,35,35,35,0,122,35,87,0.001,2019-06-03,2019-09-30,
ecmwf,2019,t2m,,pf,35,35,35,35,0,122,35,87,0.003,2019-06-03,2019-09-30,
ecmwf,2019,tp,,cf,35,35,35,35,0,122,35,87,0.003,2019-06-03,2019-09-30,
ecmwf,2019,tp,,pf,35,35,35,35,0,122,35,87,0.096,2019-06-03,2019-09-30,
ecmwf,2019,z1000,1000,cf,35,35,35,35,0,122,35,87,0.003,2019-06-03,2019-09-30,
ecmwf,2019,z1000,1000,pf,35,35,35,35,0,122,35,87,0.122,2019-06-03,2019-09-30,
ecmwf,2019,z200,200,cf,35,35,35,35,0,122,35,87,0.003,2019-06-03,2019-09-30,
ecmwf,2019,z200,200,pf,35,35,35,35,0,122,35,87,0.086,2019-06-03,2019-09-30,
ecmwf,2019,z500,500,cf,35,35,35,35,0,122,35,87,0.003,2019-06-03,2019-09-30,
ecmwf,2019,z500,500,pf,35,35,35,35,0,122,35,87,0.084,2019-06-03,2019-09-30,
ecmwf,2019,z850,850,cf,35,35,35,35,0,122,35,87,0.003,2019-06-03,2019-09-30,
ecmwf,2019,z850,850,pf,35,35,35,35,0,122,35,87,0.089,2019-06-03,2019-09-30,
ecmwf,2025,msl,,cf,64,64,35,35,0,122,64,58,0.005,2025-06-01,2025-09-29,
ecmwf,2025,msl,,pf,64,64,35,35,0,122,64,58,0.358,2025-06-01,2025-09-29,
ecmwf,2025,t2m,,cf,64,64,35,35,0,122,64,58,0.001,2025-06-01,2025-09-29,
ecmwf,2025,t2m,,pf,64,64,35,35,0,122,64,58,0.009,2025-06-01,2025-09-29,
ecmwf,2025,tp,,cf,65,65,35,35,0,122,65,57,0.005,2025-06-01,2025-09-29,
ecmwf,2025,tp,,pf,64,64,35,35,0,122,64,58,0.355,2025-06-01,2025-09-29,
ecmwf,2025,z1000,1000,cf,64,64,35,35,0,122,64,58,0.006,2025-06-01,2025-09-29,
ecmwf,2025,z1000,1000,pf,64,64,35,35,0,122,64,58,0.456,2025-06-01,2025-09-29,
ecmwf,2025,z200,200,cf,64,64,35,35,0,122,64,58,0.005,2025-06-01,2025-09-29,
ecmwf,2025,z200,200,pf,64,64,35,35,0,122,64,58,0.311,2025-06-01,2025-09-29,
ecmwf,2025,z500,500,cf,64,64,35,35,0,122,64,58,0.005,2025-06-01,2025-09-29,
ecmwf,2025,z500,500,pf,64,64,35,35,0,122,64,58,0.305,2025-06-01,2025-09-29,
ecmwf,2025,z850,850,cf,64,64,35,35,0,122,64,58,0.005,2025-06-01,2025-09-29,
ecmwf,2025,z850,850,pf,64,64,35,35,0,122,64,58,0.326,2025-06-01,2025-09-29,
ncep,2019,surface_multi,,cf,63,63,35,35,0,122,63,59,0.016,2019-06-01,2019-09-30,
ncep,2019,surface_multi,,pf,62,62,35,35,0,122,62,60,0.23,2019-06-01,2019-09-30,
ncep,2019,z500,500,cf,62,62,35,35,0,122,62,60,0.006,2019-06-01,2019-09-30,
ncep,2019,z500,500,pf,62,62,35,35,0,122,62,60,0.095,2019-06-01,2019-09-30,
ncep,2025,surface_multi,,cf,35,35,35,35,0,122,35,87,0.009,2025-06-02,2025-09-29,
ncep,2025,surface_multi,,pf,35,35,35,35,0,122,35,87,0.13,2025-06-02,2025-09-29,
ncep,2025,z500,500,cf,35,35,35,35,0,122,35,87,0.004,2025-06-02,2025-09-29,
ncep,2025,z500,500,pf,35,35,35,35,0,122,35,87,0.054,2025-06-02,2025-09-29,
ukmo,2019,t2m,,cf,35,35,35,35,0,122,35,87,0.001,2019-06-03,2019-09-30,
ukmo,2019,t2m,,pf,35,35,35,35,0,122,35,87,0.001,2019-06-03,2019-09-30,
ukmo,2019,tp,,cf,35,35,35,35,0,122,35,87,0.005,2019-06-03,2019-09-30,
ukmo,2019,tp,,pf,35,35,35,35,0,122,35,87,0.012,2019-06-03,2019-09-30,
ukmo,2019,z500,500,cf,35,35,35,35,0,122,35,87,0.004,2019-06-03,2019-09-30,
ukmo,2019,z500,500,pf,35,35,35,35,0,122,35,87,0.01,2019-06-03,2019-09-30,
ukmo,2025,t2m,,cf,35,35,35,35,0,122,35,87,0.001,2025-06-02,2025-09-29,
ukmo,2025,t2m,,pf,35,35,35,35,0,122,35,87,0.001,2025-06-02,2025-09-29,
ukmo,2025,tp,,cf,35,35,35,35,0,122,35,87,0.005,2025-06-02,2025-09-29,
ukmo,2025,tp,,pf,35,35,35,35,0,122,35,87,0.013,2025-06-02,2025-09-29,
ukmo,2025,z500,500,cf,35,35,35,35,0,122,35,87,0.004,2025-06-02,2025-09-29,
ukmo,2025,z500,500,pf,35,35,35,35,0,122,35,87,0.01,2025-06-02,2025-09-29,
