provider,phase,initialization,forecast_type,variable,temperature_semantics,native_members,status,target,request_hash
ecmwf,forecast,2020-06-01,cf,tp,not_applicable,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/tp/20200601_cf.grib,f5eb1b69010c13bf31f63a31fdacded2482035101f0ec2859048907bb495e877
ecmwf,forecast,2020-06-01,pf,tp,not_applicable,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/tp/20200601_pf.grib,0db85ffac9c3db5cfc29688acc298f258ac59eaf1df74fbd3df159ad6135c0c9
ecmwf,forecast,2020-06-01,cf,t2m,daily_mean_t2m,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/t2m/20200601_cf.grib,b6bf84267bacc97fe25bc8ec05350dc6d2730042dd1e87b910f2da430d1a1300
ecmwf,forecast,2020-06-01,pf,t2m,daily_mean_t2m,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/t2m/20200601_pf.grib,50d64ce61236bee658251bef906938fac0b110b83cf316b6d1f17f8ae7bb8ba2
ecmwf,forecast,2020-06-04,cf,tp,not_applicable,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/tp/20200604_cf.grib,28593970faf15e37857b28d411d83b939ca6adfe6491b0ea070ec3a42c9de060
ecmwf,forecast,2020-06-04,pf,tp,not_applicable,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/tp/20200604_pf.grib,cb41c3fd7c55dfd256985492360828d7fa2ecd4d2a66bfcdb92d1ee7e6d742fc
ecmwf,forecast,2020-06-04,cf,t2m,daily_mean_t2m,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/t2m/20200604_cf.grib,5069b4182913b9e891e041cbf999b0f7be220790426ea761731638352ad9cdec
ecmwf,forecast,2020-06-04,pf,t2m,daily_mean_t2m,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/t2m/20200604_pf.grib,427e088853ee7d8a204d53a749dcc240d899770e8d590b19c5f8209b9815d071
ecmwf,forecast,2020-06-08,cf,tp,not_applicable,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/tp/20200608_cf.grib,41038e351ec8ae7b60685a8a25e7bc85953b0e543eec537e1df0c1fcdf3120be
ecmwf,forecast,2020-06-08,pf,tp,not_applicable,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/tp/20200608_pf.grib,abf14a3580325e92d6979e39693f5b1efd32a34760743b4f3f0e28ef65edfa53
ecmwf,forecast,2020-06-08,cf,t2m,daily_mean_t2m,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/t2m/20200608_cf.grib,0d4b61c8f3e8625f9dea05f5397afbf6bd30130af603b306b335a6676ac99708
ecmwf,forecast,2020-06-08,pf,t2m,daily_mean_t2m,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/t2m/20200608_pf.grib,5d387cf44973c439767202da91fd896e404bd31521c6654b4a722fc3ce137056
ecmwf,forecast,2020-06-11,cf,tp,not_applicable,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/tp/20200611_cf.grib,81670ff97a878f2079bd67d3740e4937d6e051790586524ee6733195db1510dc
ecmwf,forecast,2020-06-11,pf,tp,not_applicable,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/tp/20200611_pf.grib,fe3a9553ddf674e33d65c107637a2e232b4491135e0760277e7b32d2b554e3da
ecmwf,forecast,2020-06-11,cf,t2m,daily_mean_t2m,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/t2m/20200611_cf.grib,4980e89de6a6d9c1da874580a4b2bd8236a58493bdc65a8c663fa8816b32a839
ecmwf,forecast,2020-06-11,pf,t2m,daily_mean_t2m,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/t2m/20200611_pf.grib,0d052819ccd993ab7cad051637500724f9ad6b8acb0f19943c5934fc00895d2f
ecmwf,forecast,2020-06-15,cf,tp,not_applicable,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/tp/20200615_cf.grib,a138908bd63535871859783923deb1efb579334d22181e1b5834edd49ec2e030
ecmwf,forecast,2020-06-15,pf,tp,not_applicable,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/tp/20200615_pf.grib,5920710ce68e3459f48592016dd90be9ad95c035a79f98397b5fb7cffb820cfa
ecmwf,forecast,2020-06-15,cf,t2m,daily_mean_t2m,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/t2m/20200615_cf.grib,d2336f287285195bb0fc0b4cf64787be19dfd1802c507e58522b7a9efb168154
ecmwf,forecast,2020-06-15,pf,t2m,daily_mean_t2m,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/t2m/20200615_pf.grib,e70a166683bdef731424a599215558a242e0ea2f932d95d0bbcf1f2745ed4b2c
ecmwf,forecast,2020-06-18,cf,tp,not_applicable,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/tp/20200618_cf.grib,2150cd09e03a704909769c7de704433be2f4338a397e68da88b806192b36bf73
ecmwf,forecast,2020-06-18,pf,tp,not_applicable,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/tp/20200618_pf.grib,43500aba034faae5448c5c4a916313ed65d33e7ab00dc2cf2ee8e099ca565d7c
ecmwf,forecast,2020-06-18,cf,t2m,daily_mean_t2m,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/t2m/20200618_cf.grib,8617ab57fb81150bb0d6ada582ee542147bce1267e533898845dff5e76aa7f68
ecmwf,forecast,2020-06-18,pf,t2m,daily_mean_t2m,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/t2m/20200618_pf.grib,c8bc0192c4621625069250fbc6dfd82308b7a74b7226e0def6a108c7b16cfcf7
ecmwf,forecast,2020-06-22,cf,tp,not_applicable,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/tp/20200622_cf.grib,139feae3fb5c4d604c9af806820682e4fe2987eae129f9b18a06b0f307fa26ef
ecmwf,forecast,2020-06-22,pf,tp,not_applicable,all_returned_cycle_dependent,planned,/storage/raj.ayush/s2s_final_data/final_iteration/raw/ecmwf/forecast/jjas2020/tp/20200622_pf.grib,a12012f96935a2cf5da33783d59312b55a3ce63817146ffad3b08075cd373dae
