provider,product_hint,season_hint,year,init_date,mmdd,forecast_type,variable,level,file_path,extension,size_bytes,nonempty
ecmwf,forecast,jjas,2026,2026-06-23,0623,cf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2026/tp/20260623_cf.nc,.nc,88204,True
ecmwf,forecast,jjas,2026,2026-06-23,0623,pf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2026/tp/20260623_pf.nc,.nc,6008378,True
ecmwf,forecast,jjas,2026,2026-06-17,0617,cf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2026/tp/20260617_cf.nc,.nc,89099,True
ecmwf,forecast,jjas,2026,2026-06-17,0617,pf,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2026/tp/20260617_pf.nc,.nc,6081215,True
ecmwf,forecast,jjas,2026,2026-06-23,0623,,tp,50,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2026/tp/comparable_fuxi_op2026_ens50/ecmwf_20260623_tp_ens50_lead42_india_1p5deg_daily_mm.nc,.nc,2200470,True
ecmwf,forecast,jjas,2026,2026-06-23,0623,,tp,50,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2026/tp/comparable_fuxi_op2026_ens50/fuxi_20260623_tp_ens50_lead42_india_1p5deg_daily_mm.nc,.nc,4683199,True
ecmwf,forecast,jjas,2026,2026-06-23,0623,,tp,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2026/tp/comparable_fuxi_op2026_ens50/20260623_tp_42day_spatial_fields.nc,.nc,403603,True
ecmwf,forecast,jjas,2025,2025-06-19,0619,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250619_cf.nc,.nc,88414,True
ecmwf,forecast,jjas,2025,2025-06-18,0618,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250618_pf.nc,.nc,6039073,True
ecmwf,forecast,jjas,2025,2025-06-17,0617,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250617_cf.nc,.nc,88595,True
ecmwf,forecast,jjas,2025,2025-06-04,0604,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250604_cf.nc,.nc,89612,True
ecmwf,forecast,jjas,2025,2025-07-14,0714,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250714_cf.nc,.nc,88170,True
