lead_day,valid_date,imd_mean,era5_mean,ecmwf_mean,ecmwf_p10,ecmwf_p90,fuxi_dailymean_mean,fuxi_dailymean_p10,fuxi_dailymean_p90
1,2026-06-24,5.590523012479147,7.2270317,6.676513162260477,5.7289815765495975,7.856281394549985,4.943634,4.818476,5.046391
2,2026-06-25,11.09801526069641,14.588378,12.50605478604538,10.874594647632556,14.334748563994806,9.529296,9.245186,9.840078
3,2026-06-26,17.154239161809286,22.081896,18.503700735763207,15.904146654013964,21.32787184441369,13.541459,13.011118,14.053888
4,2026-06-27,23.376333236694336,29.70471,25.251374851407405,21.99694946475097,29.043831669870023,18.162899,17.368176,19.199312
5,2026-06-28,30.253251894315085,37.452946,33.60601222762184,29.61006793903301,38.2494142186643,24.021362,23.318678,25.046083
6,2026-06-29,37.22985012531281,45.321686,43.36296129436911,37.86546188088145,50.05761910153761,30.769346,29.816021,32.0334
7,2026-06-30,44.12931021054586,53.305733,53.998594934696776,46.51512562948071,63.34438489334782,38.935596,37.693695,40.52211
8,2026-07-01,50.29834542274475,61.400154,64.08652983670616,55.28397528478003,74.9283649914779,47.70977,45.977966,49.591324
9,2026-07-02,57.00289075374603,69.59961,74.14405749451812,63.96569508501265,86.95493343750472,56.600143,54.282665,58.99257
10,2026-07-03,64.02917889753978,77.898,85.00189100669235,72.7224490742179,100.96903520118327,66.59959,63.43438,69.44896
11,2026-07-04,71.25268069903056,86.290115,96.59547491224906,81.58837659503581,113.86002038246924,77.54722,73.92613,80.80747
12,2026-07-05,78.34824007352194,94.77128,108.73656099153224,91.09439677119272,126.68968441762456,88.188324,84.43186,91.96034
13,2026-07-06,85.53884298006693,103.33731,121.2908650912608,103.2535213278024,138.97482912072698,97.30826,93.31885,102.40087
14,2026-07-07,92.65352096557618,111.9847,133.4541299470645,110.34221476448845,152.98873574620532,105.87141,101.708496,111.83307
15,2026-07-08,99.98606091737749,120.70857,145.0818126559858,120.1510526260904,169.1913452471368,115.28281,110.275154,120.63203
16,2026-07-09,107.68971327543258,129.50322,155.62653497002458,128.31276251182166,179.15677764278652,125.76294,119.22247,131.6297
17,2026-07-10,116.18835998773577,138.36124,165.2302671127514,137.04581464958804,191.75966036047484,136.28134,130.05872,142.0422
18,2026-07-11,125.15776833295824,147.27504,174.82822782535135,143.5658991679889,202.7800518082044,145.89366,138.94986,151.51527
19,2026-07-12,133.7454825123151,156.23888,183.6811985076651,151.6046798402197,213.46620127691725,155.00443,148.99855,161.024
20,2026-07-13,141.2350910305977,165.24905,192.09279620517685,162.7972457036875,223.9253497994853,164.23965,158.4655,170.40755
21,2026-07-14,148.50500016609828,174.30302,200.1999288722323,167.04326364503837,232.19247332648223,173.43268,167.07574,181.6916
22,2026-07-15,156.48240444262822,183.39703,208.18412123322844,172.68172126283773,240.78707911243703,182.32257,174.44365,189.82219
23,2026-07-16,165.1339615702629,192.52615,216.164335069686,182.50939488705583,249.0243940997889,190.55557,181.36609,199.75952
24,2026-07-17,173.42001603841783,201.686,223.9970967845881,189.3025670894903,259.2897514431608,198.47696,189.0919,208.1526
25,2026-07-18,181.2258372108141,210.87138,231.88320776427136,193.09489508621687,273.51399486711443,206.43233,194.11836,217.94417
26,2026-07-19,189.3496291120847,220.07642,239.5326876954721,196.70259432792707,282.0752131290341,214.4087,199.79807,227.49564
27,2026-07-20,198.20069388945896,229.29517,247.872515057528,201.5400931962812,291.4539423776164,222.35828,206.45271,236.04286
28,2026-07-21,207.1157498319944,238.52182,256.30320794811814,209.3453468503085,302.7564826919313,230.39072,210.4862,247.51788
29,2026-07-22,215.6409870028496,247.75072,264.8448981515029,214.2686217046793,310.5144384587616,238.48184,216.6709,258.8352
30,2026-07-23,223.72659757534663,256.97745,273.2452890572826,218.20971664604403,318.032607945979,246.77701,222.5346,271.11993
31,2026-07-24,231.5635609904925,266.19876,281.7104532674971,224.12532613312504,327.7827008950014,254.86984,229.47166,277.1244
32,2026-07-25,239.76439964373907,275.41058,290.53751315400973,229.2676531057142,338.18582532434965,262.8671,235.2156,285.4366
33,2026-07-26,248.55887918074924,284.60727,299.38413264973985,233.4718121498389,350.285125048889,271.43283,243.42514,295.44858
34,2026-07-27,257.46678220033647,293.78284,308.5585966529978,239.57875504515056,359.1436454225916,280.2387,250.61751,304.99344
35,2026-07-28,266.3483928720156,302.9313,318.2517734626756,247.46554275238177,368.155449761293,288.89847,256.15045,317.1298
36,2026-07-29,274.66966034173964,312.04828,327.9849372195528,258.06738659172885,379.4562074613029,296.9044,264.13007,329.04886
37,2026-07-30,282.5648817340533,321.13132,337.7733709568463,269.1520870746238,387.0751901745463,304.67294,274.79507,333.8836
38,2026-07-31,290.0805588364601,330.17825,347.18406258898204,275.9834831346776,397.6912031589829,312.65314,283.17212,340.99207
39,2026-08-01,297.81136053800583,339.18735,356.49951155595886,283.80144318592386,407.8699471102114,320.8159,287.67215,350.94858
40,2026-08-02,305.59028910398484,348.15695,365.87148018886575,291.7492184329419,418.19815385384976,328.76672,292.48605,359.86566
41,2026-08-03,313.55046733220416,357.084,374.942687655312,299.01512944827226,428.3908102021323,336.41837,296.71603,369.1625
42,2026-08-04,321.978945962588,365.96497,383.6069145715316,308.1615783680748,437.48299501637536,344.11203,303.55682,378.75684
