lead_day,valid_date,fuxi_mean,fuxi_p10,fuxi_p90,ecmwf_mean,ecmwf_p10,ecmwf_p90,imd_climatology_mm,era5_climatology_mm,imerg_late_mm,imd_gauge_mm,imd_gauge_gpm_merged_mm,imerg_late_cumulative_mm,imd_gauge_cumulative_mm,imd_gauge_gpm_merged_cumulative_mm
1,2026-06-24,4.943634,4.818477,5.046392,6.676513162260482,5.728981576549602,7.856281394549988,5.8620796,7.22704,4.112161078598405,4.557225123050768,4.894563868903865,4.112161078598405,4.557225123050768,4.894563868903865
2,2026-06-25,9.529297,9.245186,9.840078,12.50602878774975,10.874594647632563,14.33474273015102,11.637098,14.588396,3.551359929769017,4.040915759181107,4.129881883450135,7.663521008367422,8.598140882231874,9.024445752354001
3,2026-06-26,13.54146,13.011118,14.053887,18.50367110108363,15.904146654013973,21.327865221251933,17.9875,22.081924,3.883510105458868,2.660698826580125,3.119469802777384,11.54703111382629,11.258839708812,12.143915555131386
4,2026-06-27,18.1629,17.368177,19.199314,25.251336693217155,21.99694946475099,29.043770024175927,24.51182,29.704746,6.364740328261472,3.0933873296645737,3.49189905123156,17.911771442087762,14.352227038476574,15.635814606362946
5,2026-06-28,24.021364,23.318678,25.046083,33.60596323892899,29.61006793903304,38.24934238297896,31.722794,37.452976,7.363871433507424,4.631188886423765,5.281375296001568,25.275642875595185,18.98341592490034,20.917189902364512
6,2026-06-29,30.76935,29.81602,32.033405,43.36287137403817,37.86544603270614,50.057523088333916,39.03827,45.321716,7.580766868650585,6.61892359602027,6.973286242333419,32.85640974424577,25.60233952092061,27.89047614469793
7,2026-06-30,38.935596,37.693695,40.522118,53.998435768912,46.51490345236683,63.34426195291028,46.272873,53.305763,8.560571264542629,6.784585534180514,7.739928516221444,41.4169810087884,32.38692505510112,35.630404660919375
8,2026-07-01,47.70977,45.977978,49.59133,64.08632422863839,55.28348879314836,74.92808870851913,52.741566,61.40019,10.294926922218938,7.566552515080204,8.082817059694587,51.71190793100733,39.95347757018133,43.71322172061396
9,2026-07-02,56.600143,54.282677,58.99257,74.14382436678605,63.96561974457472,86.9548650100525,59.771782,69.599655,11.010106699173122,9.60030050247329,8.759509489298187,62.72201463018045,49.553778072654616,52.47273120991215
10,2026-07-03,66.59959,63.434395,69.44897,85.00162503524467,72.72204643176693,100.96864714276325,67.139366,77.89805,12.231142120667265,9.263468298634953,8.18708187882876,74.95315675084771,58.81724637128957,60.659813088740904
11,2026-07-04,77.54722,73.92614,80.80747,96.59518181551005,81.58802213468327,113.85992226173049,74.71374,86.29017,10.023024359559038,10.029423686453908,9.503945930239931,84.97618111040674,68.84667005774348,70.16375901898084
12,2026-07-05,88.18834,84.43186,91.96035,108.73625558997632,91.09415943601053,126.68957919991794,82.15397,94.77134,10.418968958357947,10.570047483743371,10.707952295989562,95.39515006876469,79.41671754148685,80.8717113149704
13,2026-07-06,97.30826,93.31886,102.40088,121.290544838129,103.25273031785733,138.97446690755874,89.693855,103.33739,9.766635110138866,12.77140647349671,11.913191171995273,105.16178517890356,92.18812401498356,92.78490248696568
14,2026-07-07,105.87143,101.708496,111.833084,133.45380742165608,110.34142375454344,152.98834530146755,97.15412,111.98478,9.16342281666073,11.297929403289029,9.14323869277937,114.32520799556428,103.48605341827259,101.92814117974504
15,2026-07-08,115.28282,110.27516,120.632034,145.08146016584132,120.150363795707,169.1911080777369,104.84284,120.70863,8.48234414774134,10.654908407162988,10.391826405483492,122.80755214330563,114.14096182543558,112.31996758522854
16,2026-07-09,125.76294,119.22249,131.62971,155.6261752984237,128.3125687756122,179.15631891886142,112.9207,129.50328,5.226885723340722,8.739287596397652,8.312746467405894,128.03443786664636,122.88024942183324,120.63271405263444
17,2026-07-10,136.28134,130.05872,142.04222,165.22988786602284,137.0449934843884,191.75906552329312,121.83216,138.3613,4.4030951605573785,6.595662438724297,5.813106002542468,132.43753302720373,129.47591186055755,126.44582005517691
18,2026-07-11,145.89366,138.94986,151.51529,174.82783377224104,143.56513627245565,202.77979965352924,131.23727,147.2751,2.1732545919897763,4.905400080851553,4.456683968793795,134.6107876191935,134.3813119414091,130.9025040239707
19,2026-07-12,155.00444,148.99855,161.024,183.6807950395529,151.60377515572452,213.46596590892918,140.24213,156.23895,2.92376757076801,2.4502784307575625,2.2449324213117112,137.5345551899615,136.83159037216666,133.1474364452824
20,2026-07-13,164.23967,158.46553,170.40756,192.09236291578642,162.7963410191923,223.9252637102695,148.09554,165.24913,1.7572705664636663,3.0760606201271328,2.9987340810164045,139.29182575642517,139.90765099229378,136.14617052629882
21,2026-07-14,173.4327,167.07576,181.69162,200.1994886636203,167.04282912124484,232.19241011491118,155.71857,174.3031,2.6511587860129664,2.17555102703,1.5903524072602022,141.94298454243813,142.08320201932378,137.73652293355903
22,2026-07-15,182.3226,174.44368,189.8222,208.1836524255341,172.68103574394004,240.78693401282877,164.08347,183.39713,4.004547960487425,2.806456524106794,2.793537231577246,145.94753250292555,144.88965854343058,140.53006016513626
23,2026-07-16,190.55559,181.36612,199.75952,216.16383911038,182.5087093681582,249.02432905421003,173.15527,192.52623,5.807853844250289,4.553632968152622,4.4354569577631615,151.75538634717583,149.4432915115832,144.96551712289943
24,2026-07-17,198.47699,189.09198,208.1526,223.9965574023573,189.30247206622457,259.2890336474579,181.84383,201.6861,6.500906886076942,6.532584442543348,6.48266248198478,158.25629323325276,155.97587595412654,151.44817960488422
25,2026-07-18,206.43234,194.11838,217.94417,231.88263675511163,193.09475178145854,273.51350141665375,190.02881,210.87146,,7.014696497079926,6.375116333781262,,162.99057245120648,157.82329593866547
26,2026-07-19,214.4087,199.79808,227.49565,239.53209737371543,196.70248740155898,282.0749518043204,198.54721,220.0765,,,,,,
27,2026-07-20,222.3583,206.45271,236.04288,247.87191260764055,201.5399046148461,291.45368105290265,207.82822,229.29526,,,,,,
28,2026-07-21,230.39076,210.48624,247.5179,256.30256137361494,209.3445497267488,302.755938522472,217.17633,238.52191,,,,,,
29,2026-07-22,238.48189,216.67091,258.8352,264.84425157699945,214.26782458111967,310.51392197825817,226.11569,247.75081,,,,,,
30,2026-07-23,246.77704,222.53459,271.11993,273.2446284050274,218.20859334276307,318.03195791381125,234.59407,256.97754,,,,,,
31,2026-07-24,254.86986,229.47166,277.12442,281.7097476575429,224.12446354576866,327.78216358974856,242.81172,266.19885,,,,,,
32,2026-07-25,262.86716,235.21562,285.43665,290.5367388694815,229.2667905183577,338.18528801909673,251.41093,275.41068,,,,,,
33,2026-07-26,271.43283,243.42516,295.4486,299.3833487089131,233.47061290959803,350.2846760926305,260.6326,284.60736,,,,,,
34,2026-07-27,280.2387,250.61752,304.99344,308.5577929266039,239.57720782623113,359.14321495681963,269.9732,293.78293,,,,,,
35,2026-07-28,288.89847,256.15045,317.1298,318.25096973628166,247.46426744196722,368.15501929552113,279.28622,302.9314,,,,,,
36,2026-07-29,296.90442,264.13007,329.04892,327.98409538487044,258.0660768518539,379.4557769955309,288.0117,312.04834,,,,,,
37,2026-07-30,304.67294,274.7951,333.88367,337.7724761937036,269.150681102021,387.073785291298,296.2904,321.13138,,,,,,
38,2026-07-31,312.65317,283.17215,340.99213,347.183108853171,275.9820771620748,397.68979827573435,304.17117,330.17834,,,,,,
39,2026-08-01,320.81595,287.67218,350.94864,356.498522148543,283.8000716427815,407.868542226963,312.2775,339.18744,,,,,,
40,2026-08-02,328.76672,292.48608,359.86566,365.8704907814499,291.74830345827354,418.1967489706013,320.4343,348.15704,,,,,,
41,2026-08-03,336.4184,296.71606,369.16254,374.94169335700417,299.0127668646333,428.38938066325517,328.78113,357.08414,,,,,,
42,2026-08-04,344.11206,303.5569,378.75684,383.60589195002785,308.16066339340637,437.481569266134,337.61902,365.9651,,,,,,
