lead_day,valid_date,fuxi_mean,fuxi_p10,fuxi_p90,ecmwf_mean,ecmwf_p10,ecmwf_p90,imd_climatology_mm,era5_climatology_mm,imerg_late_mm,imd_gauge_mm,imd_gauge_gpm_merged_mm,imerg_late_cumulative_mm,imd_gauge_cumulative_mm,imd_gauge_gpm_merged_cumulative_mm
1,2026-06-02,1.5109633,1.4627153,1.5561149,2.1492054875825892,1.5593376896158526,3.0141579773235496,2.5081847,3.8106015,4.047972895158424,2.554500168117484,3.0933692530965797,4.047972895158424,2.554500168117484,3.0933692530965797
2,2026-06-03,3.145536,3.0493865,3.2465193,4.7190612640781335,3.603446523496207,5.95971122511568,5.124359,7.7513866,2.8430742476261712,2.1388581928891592,2.5858754839038727,6.891047142784595,4.693358361006643,5.679244737000452
3,2026-06-04,5.3331566,5.1372304,5.553459,8.316663004957647,6.075179422397529,10.758542809225398,7.915927,11.827406,2.701877969418575,2.577529628717055,1.8623113847161428,9.59292511220317,7.270887989723699,7.541556121716595
4,2026-06-05,7.9515014,7.715938,8.257563,12.778874284933016,9.230184278844638,17.280319190117282,10.669197,16.043303,4.543160478720528,4.181904896987707,4.161546491684686,14.136085590923699,11.452792886711405,11.703102613401281
5,2026-06-06,10.069106,9.711557,10.458592,17.919593368388245,12.949056500775512,24.66849727426168,14.310799,20.40308,2.653731787939873,1.9870763908103684,2.1583653168234505,16.78981737886357,13.439869277521774,13.861467930224732
6,2026-06-07,12.249494,11.750828,12.848219,23.52001753033163,16.836914499694963,32.280426841078764,18.101877,24.909622,3.084823907264741,2.5638982449944367,2.6928099772032623,19.874641286128313,16.00376752251621,16.554277907427995
7,2026-06-08,14.606831,13.932235,15.503954,28.809524009123603,20.40259496207005,38.06230878033997,21.661427,29.564833,3.6973544502095255,3.5053255939660173,3.4231844599930903,23.57199573633784,19.509093116482227,19.977462367421086
8,2026-06-09,17.22123,16.28545,18.335712,34.062653133740845,24.127241689289285,44.37851823403873,25.148754,34.37108,3.196193005767053,2.286822221796484,2.5366450909321228,26.768188742104893,21.79591533827871,22.51410745835321
9,2026-06-10,20.14821,18.666416,21.792923,39.04511064498351,26.722105232256226,50.74340915155727,28.650017,39.330597,2.004662551445028,1.976725178793753,1.968357557548147,28.77285129354992,23.772640517072464,24.482465015901354
10,2026-06-11,23.329845,21.534506,25.924726,43.46032523896071,29.16293304272758,56.45589828360636,32.954845,44.446,2.821975836254512,3.070612053066577,3.2764875569710465,31.594827129804433,26.84325257013904,27.758952572872403
11,2026-06-12,27.015827,24.579134,29.371073,47.83640267711998,31.85164234002803,61.48822356207517,37.54956,49.719425,3.937506148205249,3.6851386432442657,3.728781367973624,35.53233327800968,30.528391213383305,31.487733940846027
12,2026-06-13,31.378435,28.5303,34.205673,52.558675700078965,35.978389802112716,68.04800027136476,42.519554,55.151592,3.5669816220104416,4.209351993665935,4.090943096622261,39.09931490002012,34.73774320704924,35.57867703746829
13,2026-06-14,35.468643,31.932386,38.803497,57.291501929124806,38.91789363788171,74.84752547371544,48.091415,60.74247,3.4196886747709043,3.319400971965305,3.2568530206048343,42.51900357479102,38.05714417901455,38.835530058073125
14,2026-06-15,39.4274,35.12181,43.210796,61.72700493778405,41.116388307334574,83.01952001583228,53.550106,66.49053,2.5555376930246654,2.2288844711591844,2.474528359514913,45.07454126781569,40.28602865017373,41.31005841758804
15,2026-06-16,43.811558,39.379032,48.409603,66.48959225351993,43.52184852308112,87.94550549236074,58.991547,72.39425,1.7507628857691586,1.4314972833143431,1.6648552200378273,46.825304153584845,41.717525933488076,42.97491363762587
16,2026-06-17,48.73411,44.27603,54.25138,72.12905311986388,47.66682779993027,94.85481718496803,64.63466,78.45222,2.6837749163414384,2.379023879047592,2.324793800398061,49.50907906992629,44.09654981253567,45.29970743802393
17,2026-06-18,54.00769,48.42111,59.41282,78.3573703273205,52.675091435912776,101.26323367020171,70.5319,84.66316,3.359644644962051,2.3988511863844577,2.815637623343952,52.86872371488834,46.495400998920125,48.11534506136788
18,2026-06-19,59.45216,53.53198,65.71232,85.49140744280943,56.97381170797703,107.98191224400126,76.53529,91.02592,3.196239122902241,2.8520300666264955,3.2632854940048204,56.06496283779058,49.34743106554662,51.3786305553727
19,2026-06-20,65.381775,59.336864,71.79701,93.1089432103938,63.31636014320279,117.62196573308937,82.05972,97.538605,4.162326598360565,3.1364177094538004,3.495015520532504,60.227289436151146,52.483848775000425,54.87364607590521
20,2026-06-21,72.47664,64.96255,78.737015,101.47605211090618,69.70283138464261,128.35093909602077,87.83049,104.199036,3.574792986916344,3.211611416774824,3.182134207623214,63.80208242306749,55.69546019177525,58.05578028352842
21,2026-06-22,80.66628,72.79295,88.462456,110.36719784499157,74.33067567996133,138.75277358574817,93.83878,111.005516,4.58074917480257,3.1016260749903237,3.500117913341363,68.38283159787005,58.79708626676557,61.555898196869784
22,2026-06-23,88.87364,80.09388,97.08158,119.63367492272137,81.32628552394442,148.33530207331344,99.98183,117.95562,6.127853456527878,4.496203691380011,5.255419731545315,74.51068505439792,63.29328995814558,66.8113179284151
23,2026-06-24,96.457825,88.09753,104.79603,128.58430411646034,83.6700671516873,159.81712554227406,105.8439,125.045815,5.544730650655271,4.557225123050768,4.894563868903865,80.05541570505319,67.85051508119635,71.70588179731895
24,2026-06-25,103.9397,94.1273,112.382835,137.94108667618036,89.53945225668107,174.91670492591317,111.61892,132.27286,4.112161078598405,4.040915759181107,4.129881883450135,84.1675767836516,71.89143084037745,75.83576368076909
25,2026-06-26,111.793396,101.60029,121.39351,147.12118934031915,100.86104272199245,191.03060099156102,117.96932,139.63422,3.551359929769017,2.660698826580125,3.119469802777384,87.71893671342062,74.55212966695758,78.95523348354648
26,2026-06-27,120.78101,109.32245,131.23927,156.95627132649923,110.3761625041395,200.66249971253933,124.493645,147.12775,3.883510105458868,3.0933873296645737,3.49189905123156,91.60244681887949,77.64551699662216,82.44713253477804
27,2026-06-28,130.99168,119.513405,142.7027,166.93160655281076,120.09953913836088,213.58211645282023,131.70462,154.75056,6.364740328261472,4.631188886423765,5.281375296001568,97.96718714714096,82.27670588304593,87.7285078307796
28,2026-06-29,141.87097,129.14473,155.99164,176.9571592632767,125.67019631452727,224.67667812396812,139.0201,162.4988,7.363871433507424,6.61892359602027,6.973286242333419,105.33105858064839,88.8956294790662,94.70179407311302
29,2026-06-30,153.12706,137.56375,168.3884,186.98836283336078,133.45532819212787,240.85536336386272,146.2547,170.36754,7.580766868650585,6.784585534180514,7.739928516221444,112.91182544929897,95.68021501324671,102.44172258933446
30,2026-07-01,164.51079,146.34975,183.9988,196.86464810564306,141.66059593068027,247.20302441251138,152.72339,178.3516,8.560571264542629,7.566552515080204,8.082817059694587,121.4723967138416,103.24676752832691,110.52453964902905
31,2026-07-02,176.56186,157.39081,197.21442,206.21545526112234,149.73292710763366,259.064481149624,159.7536,186.44601,10.294926922218938,9.60030050247329,8.759509489298187,131.76732363606055,112.8470680308002,119.28404913832723
