lead_day,valid_date,fuxi_mean,fuxi_p10,fuxi_p90,ecmwf_mean,ecmwf_p10,ecmwf_p90,imd_climatology_mm,era5_climatology_mm,imerg_late_mm,imd_gauge_mm,imd_gauge_gpm_merged_mm,imerg_late_cumulative_mm,imd_gauge_cumulative_mm,imd_gauge_gpm_merged_cumulative_mm,snapshot_mean,snapshot_p10,snapshot_p90
1,2026-06-24,4.943634,4.818477,5.046392,6.676513162260482,5.728981576549602,7.856281394549988,5.8620796,7.0901923,5.544730650655271,4.557225123050768,4.894563868903865,5.544730650655271,4.557225123050768,4.894563868903865,5.8603826,5.751347637176513,5.974575138092041
2,2026-06-25,9.529297,9.245186,9.840078,12.50602878774975,10.874594647632563,14.33474273015102,11.637098,14.317232,4.112161078598405,4.040915759181107,4.129881883450135,9.656891729253676,8.598140882231874,9.024445752354001,10.358173,10.119756984710694,10.6044677734375
3,2026-06-26,13.54146,13.011118,14.053887,18.50367110108363,15.904146654013973,21.327865221251933,17.9875,21.678589,3.551359929769017,2.660698826580125,3.119469802777384,13.208251659022693,11.258839708812,12.143915555131386,14.686271,14.294136238098144,15.110510635375975
4,2026-06-27,18.1629,17.368177,19.199314,25.251336693217155,21.99694946475099,29.043770024175927,24.51182,29.172117,3.883510105458868,3.0933873296645737,3.49189905123156,17.09176176448156,14.352227038476574,15.635814606362946,19.575575,18.975642585754397,20.178435707092284
5,2026-06-28,24.021364,23.318678,25.046083,33.60596323892899,29.61006793903304,38.24934238297896,31.722794,36.794937,6.364740328261472,4.631188886423765,5.281375296001568,23.456502092743033,18.98341592490034,20.917189902364512,25.26273,24.41205749511719,26.04051990509033
6,2026-06-29,30.76935,29.81602,32.033405,43.36287137403817,37.86544603270614,50.057523088333916,39.03827,44.543167,7.363871433507424,6.61892359602027,6.973286242333419,30.820373526250457,25.60233952092061,27.89047614469793,31.828829,30.694863510131835,32.89258728027344
7,2026-06-30,38.935596,37.693695,40.522118,53.998435768912,46.51490345236683,63.34426195291028,46.272873,52.411907,7.580766868650585,6.784585534180514,7.739928516221444,38.40114039490104,32.38692505510112,35.630404660919375,38.62107,37.34119834899902,39.71228561401367
8,2026-07-01,47.70977,45.977978,49.59133,64.08632422863839,55.28348879314836,74.92808870851913,52.741566,60.395954,8.560571264542629,7.566552515080204,8.082817059694587,46.96171165944367,39.95347757018133,43.71322172061396,45.60331,44.10980567932129,46.88048973083496
9,2026-07-02,56.600143,54.282677,58.99257,74.14382436678605,63.96561974457472,86.9548650100525,59.771782,68.49038,10.294926922218938,9.60030050247329,8.759509489298187,57.256638581662614,49.553778072654616,52.47273120991215,53.095074,51.278263092041016,54.71759796142578
10,2026-07-03,66.59959,63.434395,69.44897,85.00162503524467,72.72204643176693,100.96864714276325,67.139366,76.68985,11.010106699173122,9.263468298634953,8.18708187882876,68.26674528083574,58.81724637128957,60.659813088740904,61.592743,59.34881591796875,63.50839118957519
