method,case_id,erpas_init,fuxi_init,year,init_month,season_memberships,week,valid_period_start,valid_period_end_exclusive,model,erpas_source_count,acc,rmse_mm_day,mae_mm_day,bias_mm_day
common_imd_1991_2020,paired_20230104,2023-01-04,2023-01-02,2023,1,JF;JFM,1,2023-01-05,2023-01-12,ERPAS,4,0.3748968096865116,0.4772087122747513,0.17248591184458598,0.14694748457723777
common_imd_1991_2020,paired_20230104,2023-01-04,2023-01-02,2023,1,JF;JFM,2,2023-01-12,2023-01-19,ERPAS,4,0.6378906768448549,0.6054774484101196,0.24710549666320897,0.1232928293676796
common_imd_1991_2020,paired_20230104,2023-01-04,2023-01-02,2023,1,JF;JFM,3,2023-01-19,2023-01-26,ERPAS,4,-0.4388377850652785,1.2488701972630372,0.5444726057940981,-0.25058640055781917
common_imd_1991_2020,paired_20230104,2023-01-04,2023-01-02,2023,1,JF;JFM,4,2023-01-26,2023-02-02,ERPAS,4,0.3383549332583227,1.3510632699000176,0.94487670813402,0.5709628207681903
common_imd_1991_2020,paired_20230104,2023-01-04,2023-01-02,2023,1,JF;JFM,1,2023-01-05,2023-01-12,FuXi-S2S,4,0.5437012157514904,0.3837977326422854,0.12526969885405304,0.08881741461959874
common_imd_1991_2020,paired_20230104,2023-01-04,2023-01-02,2023,1,JF;JFM,2,2023-01-12,2023-01-19,FuXi-S2S,4,0.269081253795349,1.4361652102339963,0.5069771679658329,0.4960097443584764
common_imd_1991_2020,paired_20230104,2023-01-04,2023-01-02,2023,1,JF;JFM,3,2023-01-19,2023-01-26,FuXi-S2S,4,-0.25386826765876314,1.269618877706555,0.5172319014271226,-0.17509292146432456
common_imd_1991_2020,paired_20230104,2023-01-04,2023-01-02,2023,1,JF;JFM,4,2023-01-26,2023-02-02,FuXi-S2S,4,-0.09190023977579005,1.4144215474220794,0.7322240438089015,-0.11741445766681236
common_imd_1991_2020,paired_20230111,2023-01-11,2023-01-09,2023,1,JF;JFM,1,2023-01-12,2023-01-19,ERPAS,4,0.7841154435040287,0.4755298298653679,0.17389767479467105,0.0686671990294747
common_imd_1991_2020,paired_20230111,2023-01-11,2023-01-09,2023,1,JF;JFM,2,2023-01-19,2023-01-26,ERPAS,4,0.6624632688620967,0.8388902943418195,0.4936961034272345,0.32732948976890575
