method,season,year,model,week,n_cases,acc_mean,acc_fisher_z_mean,acc_median,acc_q25,acc_q75,rmse_mean_mm_day,mae_mean_mm_day,bias_mean_mm_day
common_imd_1991_2020,ALL,2023,ERPAS,1,52,0.5235535910707104,0.5762698587577304,0.5555088068187934,0.39613218276028545,0.7200331988623864,2.8408052009048057,1.687736838924698,0.18041239354136068
common_imd_1991_2020,ALL,2023,ERPAS,2,52,0.2854340632431115,0.3179669390378918,0.2934823000665891,0.052209859057962216,0.522951616622749,3.5040042347241447,2.289929300695279,0.5365447563325666
common_imd_1991_2020,ALL,2023,ERPAS,3,52,0.18456373118296832,0.21533254455848871,0.18835535235513462,-0.06137353835840225,0.3931188816488217,3.6515467368347365,2.468030978729833,0.7062383726043066
common_imd_1991_2020,ALL,2023,ERPAS,4,52,0.12777215706930475,0.1499478133688751,0.07366818887882487,-0.07940555017433042,0.3444040689575712,3.7137938409927704,2.5027033725502323,0.5922549920597793
common_imd_1991_2020,ALL,2023,FuXi-S2S,1,52,0.5570519297137546,0.6143092768331214,0.577064117835747,0.45359067447065127,0.7119454243015676,2.73890489091777,1.548401973246666,-0.20121456634780055
common_imd_1991_2020,ALL,2023,FuXi-S2S,2,52,0.30706157375222454,0.35950065064212033,0.30980367756296107,0.028454365953622114,0.5627561077192356,3.345474177395105,1.974434261747529,-0.2323385946669914
common_imd_1991_2020,ALL,2023,FuXi-S2S,3,52,0.2125278286214104,0.2527967061537535,0.21219810337862854,-0.01532622797456255,0.451058683202348,3.3969074290411188,2.0947735830694323,-0.08317352096014222
common_imd_1991_2020,ALL,2023,FuXi-S2S,4,52,0.14059448367123528,0.16360560116783202,0.14416137151584413,-0.0965498083782173,0.3289188220922394,3.544540584547353,2.248514527316487,0.21188953104248068
common_imd_1991_2020,ALL,2024,ERPAS,1,49,0.45493399004201857,0.5093480516208014,0.47616559962685234,0.27078099342383205,0.6605262210707747,3.0323193625343454,1.7693132433659675,0.17126526927047456
common_imd_1991_2020,ALL,2024,ERPAS,2,49,0.23430028885504064,0.27996725297339403,0.22819800629861717,0.007912203028216045,0.4317298695595334,3.491576429968728,2.128608425214,0.3098852141623571
common_imd_1991_2020,ALL,2024,ERPAS,3,49,0.07697191719088414,0.09466552605273577,0.10275454430399296,-0.19152555291708756,0.3071299608456591,3.7148641314045694,2.3465927949442134,0.5665503658191495
common_imd_1991_2020,ALL,2024,ERPAS,4,49,0.057348341952625705,0.07416174673543616,0.038463669244950816,-0.18404704166182334,0.24935653190449664,3.775427167087014,2.3751556016692574,0.35572402121771035
common_imd_1991_2020,ALL,2024,FuXi-S2S,1,49,0.4673419775030226,0.5350818791771315,0.46389009341963255,0.30700178839775577,0.6764669511002814,3.0411097938260787,1.7087827057511806,6.936592331727675e-05
common_imd_1991_2020,ALL,2024,FuXi-S2S,2,49,0.2537553028413969,0.27648869949600247,0.3383955747897613,0.05683243229155297,0.4434893507237322,3.7066831184972804,2.1088818004296424,0.20100660704355244
common_imd_1991_2020,ALL,2024,FuXi-S2S,3,49,0.1047664854007407,0.11583619079676381,0.14158803244948062,-0.14187366938245385,0.34771682269283577,3.5452076417705656,2.0671481640079667,0.09200733732889954
common_imd_1991_2020,ALL,2024,FuXi-S2S,4,49,0.12419441104203544,0.13413400527218544,0.13679345513570712,-0.06816434604789816,0.35033036227518344,3.513654077380292,2.0825924963352462,0.14742420483750415
common_imd_1991_2020,ALL,ALL,ERPAS,1,101,0.49026289354193914,0.5446657239476357,0.5225997728222583,0.31141915575552237,0.6913932196018963,2.9337180119924047,1.727313510386304,0.17597467978617826
common_imd_1991_2020,ALL,ALL,ERPAS,2,101,0.260626588539988,0.2996499733463302,0.2582737158424271,0.03896242935625371,0.5125374964296968,3.49797490370419,2.211664717540995,0.4265812160717719
common_imd_1991_2020,ALL,ALL,ERPAS,3,101,0.13236572241453146,0.15737305087190553,0.11376015390107401,-0.08363770782448476,0.3640944200849901,3.6822650767745566,2.409115424219978,0.6384689435699235
common_imd_1991_2020,ALL,ALL,ERPAS,4,101,0.09360614775527236,0.11334388695504265,0.047343159915813136,-0.11802585822272571,0.28477925200421156,3.74369515761275,2.44082376093471,0.47750234283936965
common_imd_1991_2020,ALL,ALL,FuXi-S2S,1,101,0.5135292796313202,0.577222349568266,0.5465160711376916,0.3549317663610239,0.6968586010975252,2.885519150744573,1.6262104474320247,-0.10356196554300078
common_imd_1991_2020,ALL,ALL,FuXi-S2S,2,101,0.2812001155875656,0.3198383511124822,0.32138593770231116,0.054782485686869414,0.5448029854468532,3.520714158721902,2.039661285464594,-0.02210181363910378
common_imd_1991_2020,ALL,ALL,FuXi-S2S,3,101,0.16024757299950135,0.18725206162186886,0.17416632489969341,-0.11079091645929401,0.40989573655994654,3.4688550569989696,2.0813711520396123,0.001815212269194894
common_imd_1991_2020,ALL,ALL,FuXi-S2S,4,101,0.13263801279172246,0.14934056822979822,0.13896477122581213,-0.0823196587401916,0.3369032720553588,3.529556041466303,2.168017700404796,0.1806142737747198
common_imd_1991_2020,JF,2023,ERPAS,1,8,0.5586291422828191,0.604383855988397,0.5507997319964324,0.35902739620376434,0.7779540053191774,0.7742272658713908,0.3028404034673005,0.10682083807382714
common_imd_1991_2020,JF,2023,ERPAS,2,8,0.39119165136816303,0.4317033424265193,0.567306741127338,0.27321833350446767,0.6436936246885018,1.131649890526446,0.6143534048628645,0.3898289170785336
common_imd_1991_2020,JF,2023,ERPAS,3,8,0.2862749776384257,0.320012019509555,0.3291263141787373,0.09960651000754671,0.5839675584821007,1.0500012352943369,0.4992206398631813,0.15996806863880536
common_imd_1991_2020,JF,2023,ERPAS,4,8,0.2281199696815448,0.2610079032026496,0.23927688838507977,-0.004805676237878101,0.3928518347979815,1.4959823210891403,0.8700405967817053,0.039143690408061954
common_imd_1991_2020,JF,2023,FuXi-S2S,1,8,0.5689930202292258,0.6142569682349477,0.6381291253510206,0.5242924075639417,0.670779923962432,0.9027963780345885,0.3094422638812362,0.08921965214250407
common_imd_1991_2020,JF,2023,FuXi-S2S,2,8,0.27729859733656614,0.2963266657072476,0.25756046306109065,0.13357680432305993,0.49318041665094103,1.3702223926510153,0.5803859468043859,0.31543779827387575
common_imd_1991_2020,JF,2023,FuXi-S2S,3,8,0.18605930776281193,0.22248523678102128,0.22115324717708645,-0.1912161110688975,0.4958740213859921,1.2889858388949067,0.5528930546130185,0.28498911152098866
common_imd_1991_2020,JF,2023,FuXi-S2S,4,8,0.2551591833838507,0.3147926342425867,0.23888779738125338,0.02324889359125032,0.5130345404705501,1.4993836303919585,0.7935590926307678,-0.03247372353476377
common_imd_1991_2020,JF,2024,ERPAS,1,9,0.6197252745095763,0.7238372937619874,0.6913932196018963,0.5161092892093921,0.8392170371183552,1.0314015812291522,0.4838962864326308,0.10346128149458907
common_imd_1991_2020,JF,2024,ERPAS,2,9,0.4710940864049726,0.5864587354248443,0.6111480796968387,0.31602203637905857,0.6796221835262141,1.1102259465670432,0.5453656775449873,0.06542738460544525
common_imd_1991_2020,JF,2024,ERPAS,3,9,0.1767303668608646,0.19606803605791437,0.26619614079074905,0.08229221302025332,0.5222591197862361,1.475769519790643,0.8102846900416982,0.13656073792895343
common_imd_1991_2020,JF,2024,ERPAS,4,9,-0.03505183478542783,-0.025264489724163463,-0.002588441894037915,-0.3469345367118939,0.07718872883402057,1.6592674679463175,0.8909858709864414,0.08684056660226534
common_imd_1991_2020,JF,2024,FuXi-S2S,1,9,0.6295881382407226,0.7636657697908814,0.5904794459321977,0.42523608745895264,0.9164327038721881,1.1145806699140157,0.4882948044557938,0.056227019569259545
common_imd_1991_2020,JF,2024,FuXi-S2S,2,9,0.3518238608987714,0.3952642452993415,0.3383955747897613,0.0758455902876012,0.553837370134259,1.4073474106622614,0.616632843859948,0.07014968271034962
common_imd_1991_2020,JF,2024,FuXi-S2S,3,9,-0.0002283158373217526,0.0011073664707636041,0.11066512485286673,-0.3173531676339813,0.1710224999798024,1.7044031565007352,0.8593307483722028,0.09471610470549173
common_imd_1991_2020,JF,2024,FuXi-S2S,4,9,0.07446702434605551,0.08260277800338157,0.02253950206479803,-0.002945296914937292,0.1495870573376696,1.764105494674287,0.8750053268895596,0.17505883872259906
common_imd_1991_2020,JF,ALL,ERPAS,1,17,0.5909741534616906,0.6718920593921962,0.5778366783965699,0.3924178713151397,0.7841154435040287,0.9103783740019704,0.39869351797835767,0.10504224929658346
common_imd_1991_2020,JF,ALL,ERPAS,2,17,0.4334929405052975,0.517781563189077,0.6111480796968387,0.31602203637905857,0.6624632688620967,1.1203078025479387,0.577830490400459,0.2180869292986633
common_imd_1991_2020,JF,ALL,ERPAS,3,17,0.22828077193265808,0.25545304408042585,0.26619614079074905,0.08229221302025332,0.5565161027586459,1.2754079741453224,0.663901607604749,0.14757595238064847
common_imd_1991_2020,JF,ALL,ERPAS,4,17,0.08879372025785343,0.1118877180049738,0.06001996361833014,-0.20095264972135485,0.33799444987520283,1.5824273988370576,0.8811292713606834,0.06439497780499315
common_imd_1991_2020,JF,ALL,FuXi-S2S,1,17,0.6010727885882535,0.7007877783176443,0.6251581703703841,0.46606598300129554,0.7570062174145885,1.0149174737354616,0.40412890300894316,0.07175296430960991
common_imd_1991_2020,JF,ALL,FuXi-S2S,2,17,0.31675314863420423,0.34966819005582334,0.29276986412986267,0.0758455902876012,0.553837370134259,1.3898768139510869,0.5995754805396835,0.18557938415200897
common_imd_1991_2020,JF,ALL,FuXi-S2S,3,17,0.0874364482098,0.10665866772967886,0.11066512485286673,-0.25386826765876314,0.3557798793950575,1.5089126540979922,0.715124774838469,0.18425634320690204
common_imd_1991_2020,JF,ALL,FuXi-S2S,4,17,0.15949862859913558,0.19465879292672472,0.11975054128356645,-0.002945296914937292,0.3585135514252729,1.6395304997178972,0.8366776872383633,0.07739645648384007
common_imd_1991_2020,JFM,2023,ERPAS,1,13,0.5259137381103522,0.5742659697385275,0.555474898837623,0.31196437453576964,0.7759001925908935,1.025276047787928,0.5298668857431059,0.10413314372360048
common_imd_1991_2020,JFM,2023,ERPAS,2,13,0.37241581597485174,0.41620092940423015,0.49672280540982117,0.056134393893588846,0.6473883118853514,1.365249425747747,0.8020392343745255,0.22345668540393668
common_imd_1991_2020,JFM,2023,ERPAS,3,13,0.17695023154731146,0.20189139380961835,0.12422842752823032,0.057145578326964784,0.4558694648692864,1.4931062696805346,0.8154788702466101,0.06851635584014877
common_imd_1991_2020,JFM,2023,ERPAS,4,13,0.11067398137232357,0.1336822001386155,0.03638868816164411,-0.1038392896417674,0.33799444987520283,1.8753071430831996,1.0857824648263887,0.25372445333005234
common_imd_1991_2020,JFM,2023,FuXi-S2S,1,13,0.6146900332798994,0.6618378396967542,0.6511000803316572,0.5437012157514904,0.710526126133929,0.9960101153570566,0.4304930972504945,-0.006418139666096144
common_imd_1991_2020,JFM,2023,FuXi-S2S,2,13,0.30269636144742873,0.31814909102561767,0.269081253795349,0.18671223209569482,0.46557145857351145,1.5955917813324016,0.8087963611932305,0.021217378313842124
common_imd_1991_2020,JFM,2023,FuXi-S2S,3,13,0.1960378801012036,0.2206004809598439,0.18982279326125748,0.004375480709233469,0.44059179691819844,1.6149312515912653,0.8423211090258221,0.061275173291393856
common_imd_1991_2020,JFM,2023,FuXi-S2S,4,13,0.20570608687657854,0.2456109104762045,0.13896477122581213,0.04482261597855421,0.34546241968291463,1.6489661962029851,0.8774127038278354,-0.11101544051515704
common_imd_1991_2020,JFM,2024,ERPAS,1,13,0.529731110533234,0.630631907983854,0.5225997728222583,0.37019256716542104,0.7663269295083277,1.1554468751883273,0.5279155012472537,0.041801903024432575
common_imd_1991_2020,JFM,2024,ERPAS,2,13,0.35749246904272586,0.4613913001828099,0.3298008468931326,0.03896242935625371,0.6794090103072068,1.3483487321928016,0.6526413599110653,0.03694283144821802
common_imd_1991_2020,JFM,2024,ERPAS,3,13,0.08786561712443586,0.10057914739465523,0.10314875911826966,-0.2643417823126769,0.3640944200849901,1.6012909773092914,0.8479157392691687,0.16787338990506398
common_imd_1991_2020,JFM,2024,ERPAS,4,13,-0.06490026611528411,-0.05976810294567338,-0.05955515411904754,-0.3469345367118939,0.06001996361833014,1.8271005002505922,0.9431456304692243,0.1647820205211326
common_imd_1991_2020,JFM,2024,FuXi-S2S,1,13,0.5703259203887584,0.6884965446263711,0.5481151183177301,0.42523608745895264,0.7570062174145885,1.2005230806862168,0.5070359919291625,0.04462737850582813
common_imd_1991_2020,JFM,2024,FuXi-S2S,2,13,0.30342736905247625,0.34073765959425667,0.29276986412986267,0.0758455902876012,0.5521731814881573,1.6491398097954908,0.7254494581893814,0.10984135259923707
common_imd_1991_2020,JFM,2024,FuXi-S2S,3,13,0.0551149496686271,0.05988873195040102,0.11738657275251835,-0.14592957763293035,0.1710224999798024,1.7930655900356949,0.8493799236668599,0.11281953107841912
