method,season,year,region,week,n_cases,region_target_cells,acc_fisher_z_mean_erpas,acc_fisher_z_mean_fuxi_s2s,acc_mean_erpas,acc_mean_fuxi_s2s,acc_mean_fuxi_minus_erpas,acc_fisher_fuxi_minus_erpas
common_imd_1991_2020,ALL,2023,central_india,1,52,64,0.856592960015258,0.8714747567236488,0.5892729135008185,0.6656602901441163,0.07638737664329787,0.014881796708390849
common_imd_1991_2020,ALL,2023,central_india,2,52,64,0.5782518043669497,0.7806392880794634,0.3434515479840201,0.5172577049183582,0.1738061569343381,0.2023874837125137
common_imd_1991_2020,ALL,2023,central_india,3,52,64,0.4875800474824086,0.5819689795309854,0.30600286764322165,0.3965633360419619,0.09056046839874027,0.09438893204857679
common_imd_1991_2020,ALL,2023,central_india,4,52,64,0.39997837272446457,0.4705815675063013,0.27601717417421356,0.34217888027606297,0.0661617061018494,0.07060319478183674
common_imd_1991_2020,ALL,2023,east_northeast_india,1,52,36,0.5414910731998949,0.45592272618065643,0.4108726505000274,0.3825531546771702,-0.0283194958228572,-0.08556834701923843
common_imd_1991_2020,ALL,2023,east_northeast_india,2,52,36,0.3015352752852817,0.23599514190284757,0.23824247057945547,0.20330892459908345,-0.034933545980372016,-0.06554013338243411
common_imd_1991_2020,ALL,2023,east_northeast_india,3,52,36,0.13897701310124339,0.11174935763740076,0.1033516335892125,0.10043761688505591,-0.0029140167041565856,-0.02722765546384262
common_imd_1991_2020,ALL,2023,east_northeast_india,4,52,36,0.17558372912758577,0.034371216535110424,0.1378604811176434,0.030729786469985677,-0.10713069464765773,-0.14121251259247536
common_imd_1991_2020,ALL,2023,northwest_india,1,52,68,0.5636149174129933,0.7483266845777,0.44938776512010736,0.6093480965238627,0.15996033140375532,0.18471176716470672
common_imd_1991_2020,ALL,2023,northwest_india,2,52,68,0.3172728901825147,0.37560249908084004,0.240085905931027,0.30263163286838785,0.06254572693736085,0.058329608898325336
common_imd_1991_2020,ALL,2023,northwest_india,3,52,68,0.1665751568675615,0.1924260980405008,0.10052090988739305,0.1401059129954461,0.03958500310805306,0.02585094117293929
common_imd_1991_2020,ALL,2023,northwest_india,4,52,68,0.10618344789703182,0.1477541671399942,0.07973516632607673,0.10241579746995948,0.022680631143882746,0.04157071924296238
