method,case_id,erpas_init,fuxi_init,year,init_month,season_memberships,region,region_target_cells,week,valid_period_start,valid_period_end_exclusive,model,erpas_source_count,acc,rmse_mm_day,mae_mm_day,bias_mm_day
common_imd_1991_2020,paired_20230104,2023-01-04,2023-01-02,2023,1,JF;JFM,central_india,64,1,2023-01-05,2023-01-12,ERPAS,4,0.9523889912680167,0.07481812160139838,0.03631437889052052,0.03126417528374608
common_imd_1991_2020,paired_20230104,2023-01-04,2023-01-02,2023,1,JF;JFM,central_india,64,2,2023-01-12,2023-01-19,ERPAS,4,0.823116310971728,0.06876543741770429,0.03030758109672011,0.030253629957841283
common_imd_1991_2020,paired_20230104,2023-01-04,2023-01-02,2023,1,JF;JFM,central_india,64,3,2023-01-19,2023-01-26,ERPAS,4,0.20157782229829224,0.380839904597492,0.21923853750792868,-0.002641323449405364
common_imd_1991_2020,paired_20230104,2023-01-04,2023-01-02,2023,1,JF;JFM,central_india,64,4,2023-01-26,2023-02-02,ERPAS,4,0.5647244111782667,0.5041078252261111,0.3317819983797772,0.17400083225292237
common_imd_1991_2020,paired_20230104,2023-01-04,2023-01-02,2023,1,JF;JFM,central_india,64,1,2023-01-05,2023-01-12,FuXi-S2S,4,0.9818988187256457,0.040169686936962185,0.025504655981312706,0.01935167583959333
common_imd_1991_2020,paired_20230104,2023-01-04,2023-01-02,2023,1,JF;JFM,central_india,64,2,2023-01-12,2023-01-19,FuXi-S2S,4,0.9989959538562002,0.007192289760830555,0.005170870254867664,0.005025599354316073
common_imd_1991_2020,paired_20230104,2023-01-04,2023-01-02,2023,1,JF;JFM,central_india,64,3,2023-01-19,2023-01-26,FuXi-S2S,4,0.42156495553190493,0.35868133982142464,0.14180042317016883,-0.1107189555942899
common_imd_1991_2020,paired_20230104,2023-01-04,2023-01-02,2023,1,JF;JFM,central_india,64,4,2023-01-26,2023-02-02,FuXi-S2S,4,0.6662780676612805,0.44253465089567184,0.19751240378248106,-0.04654238644256374
common_imd_1991_2020,paired_20230111,2023-01-11,2023-01-09,2023,1,JF;JFM,central_india,64,1,2023-01-12,2023-01-19,ERPAS,4,0.9045421862337382,0.05179877263378312,0.026071878325702,0.026071878325702
common_imd_1991_2020,paired_20230111,2023-01-11,2023-01-09,2023,1,JF;JFM,central_india,64,2,2023-01-19,2023-01-26,ERPAS,4,0.5625295686617099,0.4040429325715632,0.2954843806063517,0.24061030551846493
