reference,week,metric,n_cases,block_length_initializations,bootstrap_samples,seed,difference_definition,point_mean_difference,bootstrap_ci_lower_2p5,bootstrap_ci_upper_97p5
IMD,1,acc,31,4,10000,20260733,FuXi-S2S minus ERPAS; positive favors FuXi-S2S,0.050497169067116925,-0.033402826359758955,0.13909764805520905
IMD,1,mae_mm_day,31,4,10000,20260734,ERPAS minus FuXi-S2S mae_mm_day; positive favors FuXi-S2S,0.17289432667713878,-0.07180670371714704,0.42126110466059696
IMD,1,rmse_mm_day,31,4,10000,20260735,ERPAS minus FuXi-S2S rmse_mm_day; positive favors FuXi-S2S,0.05785219468324505,-0.2780308905853706,0.39688369552569014
IMD,2,acc,31,4,10000,20260743,FuXi-S2S minus ERPAS; positive favors FuXi-S2S,0.14555407343400062,0.029331549233948664,0.2607912573037621
IMD,2,mae_mm_day,31,4,10000,20260744,ERPAS minus FuXi-S2S mae_mm_day; positive favors FuXi-S2S,0.5521586838899787,0.14819713614737604,0.9747150881287985
IMD,2,rmse_mm_day,31,4,10000,20260745,ERPAS minus FuXi-S2S rmse_mm_day; positive favors FuXi-S2S,0.2989955608984885,-0.18975572704529028,0.788845145916514
IMD,3,acc,31,4,10000,20260753,FuXi-S2S minus ERPAS; positive favors FuXi-S2S,0.16639224397145952,0.09119221845946261,0.2449862421270729
IMD,3,mae_mm_day,31,4,10000,20260754,ERPAS minus FuXi-S2S mae_mm_day; positive favors FuXi-S2S,0.8359490856686123,0.5070121191138013,1.137069499990334
IMD,3,rmse_mm_day,31,4,10000,20260755,ERPAS minus FuXi-S2S rmse_mm_day; positive favors FuXi-S2S,0.6612777719113766,0.30893823174128743,0.9927458908636413
IMD,4,acc,31,4,10000,20260763,FuXi-S2S minus ERPAS; positive favors FuXi-S2S,0.13334073327825438,-0.00991937176337179,0.29889763768615313
IMD,4,mae_mm_day,31,4,10000,20260764,ERPAS minus FuXi-S2S mae_mm_day; positive favors FuXi-S2S,0.4859369618094324,0.2662813594090172,0.7064670929079907
IMD,4,rmse_mm_day,31,4,10000,20260765,ERPAS minus FuXi-S2S rmse_mm_day; positive favors FuXi-S2S,0.3531924369937617,0.08799624626886156,0.6309156143103698
IMERG Final V07B,1,acc,31,4,10000,20260833,FuXi-S2S minus ERPAS; positive favors FuXi-S2S,0.05810960495163257,-0.016595511225088004,0.1416453011031849
IMERG Final V07B,1,mae_mm_day,31,4,10000,20260834,ERPAS minus FuXi-S2S mae_mm_day; positive favors FuXi-S2S,0.16957495557240532,-0.09201274870667465,0.42701088205339854
IMERG Final V07B,1,rmse_mm_day,31,4,10000,20260835,ERPAS minus FuXi-S2S rmse_mm_day; positive favors FuXi-S2S,0.07898776296553515,-0.30006709375714585,0.4600472285858074
IMERG Final V07B,2,acc,31,4,10000,20260843,FuXi-S2S minus ERPAS; positive favors FuXi-S2S,0.1570120414668048,0.014662345288529603,0.293500617443138
IMERG Final V07B,2,mae_mm_day,31,4,10000,20260844,ERPAS minus FuXi-S2S mae_mm_day; positive favors FuXi-S2S,0.48785851474821945,0.025786695445263276,0.9533965320633986
IMERG Final V07B,2,rmse_mm_day,31,4,10000,20260845,ERPAS minus FuXi-S2S rmse_mm_day; positive favors FuXi-S2S,0.28068853467405624,-0.23794341722734572,0.8249492934194826
IMERG Final V07B,3,acc,31,4,10000,20260853,FuXi-S2S minus ERPAS; positive favors FuXi-S2S,0.18330935173624602,0.09941453173770136,0.27478575476506517
IMERG Final V07B,3,mae_mm_day,31,4,10000,20260854,ERPAS minus FuXi-S2S mae_mm_day; positive favors FuXi-S2S,0.8175174717057958,0.503226426572974,1.1100498509755
IMERG Final V07B,3,rmse_mm_day,31,4,10000,20260855,ERPAS minus FuXi-S2S rmse_mm_day; positive favors FuXi-S2S,0.6729442108380377,0.31748265933791625,1.0198966745693736
IMERG Final V07B,4,acc,31,4,10000,20260863,FuXi-S2S minus ERPAS; positive favors FuXi-S2S,0.130764177059827,-0.016475208198292686,0.294596619862835
IMERG Final V07B,4,mae_mm_day,31,4,10000,20260864,ERPAS minus FuXi-S2S mae_mm_day; positive favors FuXi-S2S,0.4149294413121634,0.18266608464634157,0.6325368937090691
IMERG Final V07B,4,rmse_mm_day,31,4,10000,20260865,ERPAS minus FuXi-S2S rmse_mm_day; positive favors FuXi-S2S,0.34554012046106597,0.059351940660771485,0.6375316130218411
