case_id,erpas_initialization,fuxi_initialization,fuxi_four_week_mean_acc,erpas_four_week_mean_acc,fuxi_minus_erpas_four_week_mean_acc,presentation_selection,png
paired_20230607,2023-06-07,2023-06-05,0.2409508062935445,0.45612891387927496,-0.21517810758573044,,/home/raj.ayush/s2s/s2s_anlysis/clean/deliverables/fuxi_erpas_imd_imerg_review_2023_2024/figures/all_ic_maps/imerg_anomaly_paired_20230607.png
paired_20230614,2023-06-14,2023-06-12,0.19670457627726554,0.19527645795954332,0.0014281183177222156,challenging,/home/raj.ayush/s2s/s2s_anlysis/clean/deliverables/fuxi_erpas_imd_imerg_review_2023_2024/figures/all_ic_maps/imerg_anomaly_paired_20230614.png
paired_20230621,2023-06-21,2023-06-19,0.0981924236171566,0.18766377146283822,-0.08947134784568161,,/home/raj.ayush/s2s/s2s_anlysis/clean/deliverables/fuxi_erpas_imd_imerg_review_2023_2024/figures/all_ic_maps/imerg_anomaly_paired_20230621.png
paired_20230628,2023-06-28,2023-06-26,0.26759514478619817,0.11831115295286153,0.14928399183333663,,/home/raj.ayush/s2s/s2s_anlysis/clean/deliverables/fuxi_erpas_imd_imerg_review_2023_2024/figures/all_ic_maps/imerg_anomaly_paired_20230628.png
paired_20230705,2023-07-05,2023-07-03,0.36935839829730366,0.36469212065554146,0.004666277641762195,,/home/raj.ayush/s2s/s2s_anlysis/clean/deliverables/fuxi_erpas_imd_imerg_review_2023_2024/figures/all_ic_maps/imerg_anomaly_paired_20230705.png
paired_20230712,2023-07-12,2023-07-10,0.5678897699157744,0.21125245088653444,0.35663731902924,,/home/raj.ayush/s2s/s2s_anlysis/clean/deliverables/fuxi_erpas_imd_imerg_review_2023_2024/figures/all_ic_maps/imerg_anomaly_paired_20230712.png
paired_20230719,2023-07-19,2023-07-17,0.3566254018536474,0.3868983152218557,-0.03027291336820831,,/home/raj.ayush/s2s/s2s_anlysis/clean/deliverables/fuxi_erpas_imd_imerg_review_2023_2024/figures/all_ic_maps/imerg_anomaly_paired_20230719.png
paired_20230726,2023-07-26,2023-07-24,0.5146435512710531,0.28602197235266413,0.22862157891838897,,/home/raj.ayush/s2s/s2s_anlysis/clean/deliverables/fuxi_erpas_imd_imerg_review_2023_2024/figures/all_ic_maps/imerg_anomaly_paired_20230726.png
paired_20230802,2023-08-02,2023-07-31,0.15182891662075015,-0.14858311340145272,0.30041203002220285,fuxi_favoring,/home/raj.ayush/s2s/s2s_anlysis/clean/deliverables/fuxi_erpas_imd_imerg_review_2023_2024/figures/all_ic_maps/imerg_anomaly_paired_20230802.png
paired_20230809,2023-08-09,2023-08-07,0.016477873082457288,0.0043958549255748575,0.01208201815688243,,/home/raj.ayush/s2s/s2s_anlysis/clean/deliverables/fuxi_erpas_imd_imerg_review_2023_2024/figures/all_ic_maps/imerg_anomaly_paired_20230809.png
paired_20230816,2023-08-16,2023-08-14,0.43253023626573356,0.15781838881070254,0.274711847455031,,/home/raj.ayush/s2s/s2s_anlysis/clean/deliverables/fuxi_erpas_imd_imerg_review_2023_2024/figures/all_ic_maps/imerg_anomaly_paired_20230816.png
paired_20230823,2023-08-23,2023-08-21,0.3448258927370591,0.2981817670979157,0.046644125639143386,,/home/raj.ayush/s2s/s2s_anlysis/clean/deliverables/fuxi_erpas_imd_imerg_review_2023_2024/figures/all_ic_maps/imerg_anomaly_paired_20230823.png
paired_20230830,2023-08-30,2023-08-28,0.20618122956191307,0.11098252052300114,0.09519870903891192,,/home/raj.ayush/s2s/s2s_anlysis/clean/deliverables/fuxi_erpas_imd_imerg_review_2023_2024/figures/all_ic_maps/imerg_anomaly_paired_20230830.png
paired_20230906,2023-09-06,2023-09-04,0.4923675291244606,0.10100130363059562,0.39136622549386496,,/home/raj.ayush/s2s/s2s_anlysis/clean/deliverables/fuxi_erpas_imd_imerg_review_2023_2024/figures/all_ic_maps/imerg_anomaly_paired_20230906.png
paired_20230913,2023-09-13,2023-09-11,0.44474365600460275,0.05915023126376756,0.3855934247408352,,/home/raj.ayush/s2s/s2s_anlysis/clean/deliverables/fuxi_erpas_imd_imerg_review_2023_2024/figures/all_ic_maps/imerg_anomaly_paired_20230913.png
paired_20230920,2023-09-20,2023-09-18,0.525201913877289,-0.13623651656555852,0.6614384304428476,,/home/raj.ayush/s2s/s2s_anlysis/clean/deliverables/fuxi_erpas_imd_imerg_review_2023_2024/figures/all_ic_maps/imerg_anomaly_paired_20230920.png
paired_20230927,2023-09-27,2023-09-25,0.578340359739527,0.18764731504745347,0.39069304469207355,,/home/raj.ayush/s2s/s2s_anlysis/clean/deliverables/fuxi_erpas_imd_imerg_review_2023_2024/figures/all_ic_maps/imerg_anomaly_paired_20230927.png
paired_20240605,2024-06-05,2024-06-03,0.3530195317210933,0.3229397356468603,0.030079796074233,,/home/raj.ayush/s2s/s2s_anlysis/clean/deliverables/fuxi_erpas_imd_imerg_review_2023_2024/figures/all_ic_maps/imerg_anomaly_paired_20240605.png
paired_20240626,2024-06-26,2024-06-24,0.43950844971444164,0.09259244245116958,0.34691600726327204,,/home/raj.ayush/s2s/s2s_anlysis/clean/deliverables/fuxi_erpas_imd_imerg_review_2023_2024/figures/all_ic_maps/imerg_anomaly_paired_20240626.png
