reference,model,week,n_cases,acc_mean,acc_median,acc_q25,acc_q75,mae_mm_day_mean,mae_mm_day_median,mae_mm_day_q25,mae_mm_day_q75,rmse_mm_day_mean,rmse_mm_day_median,rmse_mm_day_q25,rmse_mm_day_q75,bias_mm_day_mean,bias_mm_day_median,bias_mm_day_q25,bias_mm_day_q75
IMD,ERPAS,1,31,0.5015482442248856,0.49534183034572327,0.41789120115152834,0.6531656871018513,3.7960027963785707,4.1103346892123,3.016479716374711,4.534122507018048,5.793319001716377,6.249043204011365,4.475495544755312,7.008223250122912,0.3972159723977992,0.3413021388683355,-0.365544580303505,0.9012675285480841
IMD,ERPAS,2,31,0.19397759719204216,0.20013096852592327,0.07956748446548075,0.3899939997030626,4.747526554794322,4.863596109693202,4.3243901479462625,5.229575795410183,6.7905686142335036,6.641343939906465,5.984303970310023,7.303746982981587,1.0881298823132237,0.6364490370432959,0.06772077358461633,2.1394324735450416
IMD,ERPAS,3,31,0.07141365258053334,0.08789065334613994,-0.12088152029611002,0.2514975295850594,4.911628497882935,4.865259723577002,4.172244166326687,5.6090108906481575,6.668229378813118,6.522766088715057,5.600346306025044,7.78870660718802,1.4534668241807642,0.919089093461961,0.11978792413018126,2.9243314462525594
IMD,ERPAS,4,31,0.05850208957097967,0.08016004287487268,-0.09121370899384992,0.2526305143952966,4.5520129527558595,4.312075833656003,3.306432371329049,5.707323066223733,6.315185458671854,5.991882992262453,4.660082634213864,7.625860652344526,0.6811559471667424,0.39072660166059264,-0.6179500693964188,1.930059970526777
IMD,FuXi-S2S,1,31,0.5520454132920024,0.5377413473505688,0.479970199538869,0.681623752083272,3.623108469701432,3.677371506509597,2.72811937328954,4.3183421327467215,5.7354668070331325,5.872649767663127,4.548619386096641,6.703451124677642,-0.06237559539998477,-0.11889137462623063,-0.4167724011456737,0.6245198523306602
IMD,FuXi-S2S,2,31,0.3395316706260427,0.42872480667424884,0.20790629791834458,0.5671160367596665,4.1953678709043425,3.9935198269776717,3.129242466463868,5.565596585709217,6.491573053335014,6.069375773571995,4.999648489245163,8.338306841396022,-0.05239825099718031,0.12580204523228514,-0.9215799736987227,0.6559350011813141
IMD,FuXi-S2S,3,31,0.23780589655199294,0.23092008265319186,0.0772051944830135,0.4585072834013374,4.075679412214323,4.118172988618998,3.2465277860900352,4.711037584537837,6.006951606901741,5.535802491571492,4.975780559673286,7.062385163948769,-0.06484511453117575,-0.04780123144295444,-0.5640088182906658,0.8704376089543762
IMD,FuXi-S2S,4,31,0.19184282284923407,0.20302967678708825,0.027079885990805654,0.35331368514338973,4.066075990946427,4.142613817374625,2.7423474279082045,5.3871272723005745,5.961993021678091,5.71869043049613,4.3657059791447885,7.482756971644752,0.2836894491368643,0.283025553631538,-0.724396731034559,1.256256840188641
IMERG Final V07B,ERPAS,1,31,0.5005609083102732,0.49047089846745107,0.3974081789224301,0.6859944808219224,3.7210039971849835,3.8088187194874035,2.788282425743388,4.575289523928342,5.502744789745406,5.798424669053221,4.341723455102169,6.203281899178238,-0.10488664477671032,-0.3077479419083282,-0.8750674420719347,0.6383806419528306
IMERG Final V07B,ERPAS,2,31,0.18680792275428695,0.24546593279481807,0.017923928344315818,0.39060792555934926,4.621522877967767,4.666594137307376,3.8826697404691197,5.162467743829212,6.416050531815885,6.497757540186285,5.3536039310471075,6.989009256123795,0.7016377353420296,0.09318688969175715,-0.39878565717375447,2.035875507642066
IMERG Final V07B,ERPAS,3,31,0.07226091184585075,0.03477451276469544,-0.1125286954120705,0.32511187522143126,4.841817146771252,4.67941374226923,4.19884146735142,5.548207488557436,6.421965950517943,6.026287611243603,5.5021232297995715,7.386427449706105,1.0256239964724037,0.23573969337308293,-0.4487517594565609,2.708081965803027
IMERG Final V07B,ERPAS,4,31,0.04540546664577037,0.08283316693407501,-0.11727929610861146,0.21300416134716313,4.497444326932454,4.667251452676363,3.331455777423054,5.564650960670999,6.163147759717472,5.850378853701587,4.697097657628466,7.389201031212458,0.2805705128800646,-0.2563846072860391,-1.1375128204015676,1.5637996864900345
IMERG Final V07B,FuXi-S2S,1,31,0.558670513261906,0.6062884212715683,0.4907273178355855,0.6854283435108373,3.5514290416125784,3.4223981384291036,2.9896167232725697,4.178353404593276,5.423757026779871,5.100628780361018,4.504453474735334,6.593611465264447,-0.5644782111926706,-0.5131324264020883,-1.2143452203134122,0.10004164903304741
IMERG Final V07B,FuXi-S2S,2,31,0.34381996422109173,0.45077022592347865,0.10610382558670423,0.5662668923911389,4.1336643632195464,3.9731065882868384,3.2143435477144155,5.389389925202849,6.135361997141829,5.792169461751742,4.9910929407955695,7.812969024088515,-0.43889039269285735,-0.25949900012187305,-1.5279199988783516,0.659979090078771
IMERG Final V07B,FuXi-S2S,3,31,0.25557026358209683,0.3052160263599859,0.07235927575937212,0.4391264176774886,4.024299675065455,3.8334915113580608,3.155039946811561,4.630584737745037,5.749021739679904,5.414511431777773,4.83209369456297,6.777535212918755,-0.49268794081548156,-0.419311014434537,-1.3555554489737318,0.46939048783430626
IMERG Final V07B,FuXi-S2S,4,31,0.17616964370559735,0.13343268202253095,-0.006547401446435538,0.37453514586546277,4.082514885620291,4.051567819275317,3.03755035086842,5.396478279077493,5.817607639256408,5.722959113179986,4.401843526685793,7.225648073493039,-0.11689598568548298,-0.14540199290192188,-1.3914390820116675,0.9704054133371143
