lead_day,valid_date,fuxi_mean,fuxi_p10,fuxi_p90,imd_climatology_mm,imd_gauge_cumulative_mm
1,2026-06-24,4.943634,4.818477,5.046392,5.8620796,4.557225123050768
2,2026-06-25,9.529297,9.245186,9.840078,11.637098,8.598140882231874
3,2026-06-26,13.54146,13.011118,14.053887,17.9875,11.258839708812
4,2026-06-27,18.1629,17.368177,19.199314,24.51182,14.352227038476574
5,2026-06-28,24.021364,23.318678,25.046083,31.722794,18.98341592490034
6,2026-06-29,30.76935,29.81602,32.033405,39.03827,25.60233952092061
7,2026-06-30,38.935596,37.693695,40.522118,46.272873,32.38692505510112
8,2026-07-01,47.70977,45.977978,49.59133,52.741566,39.95347757018133
9,2026-07-02,56.600143,54.282677,58.99257,59.771782,49.553778072654616
10,2026-07-03,66.59959,63.434395,69.44897,67.139366,58.81724637128957
11,2026-07-04,77.54722,73.92614,80.80747,74.71374,68.84667005774348
12,2026-07-05,88.18834,84.43186,91.96035,82.15397,79.41671754148685
13,2026-07-06,97.30826,93.31886,102.40088,89.693855,92.18812401498356
14,2026-07-07,105.87143,101.708496,111.833084,97.15412,103.4860534182726
15,2026-07-08,115.28282,110.27516,120.632034,104.84284,114.14096182543558
16,2026-07-09,125.76294,119.22249,131.62971,112.9207,122.88024942183324
17,2026-07-10,136.28134,130.05872,142.04222,121.83216,129.47591186055757
18,2026-07-11,145.89366,138.94986,151.51529,131.23727,134.3813119414091
19,2026-07-12,155.00444,148.99855,161.024,140.24213,136.83159037216666
20,2026-07-13,164.23967,158.46553,170.40756,148.09554,139.90765099229378
21,2026-07-14,173.4327,167.07576,181.69162,155.71857,142.08320201932378
22,2026-07-15,182.3226,174.44368,189.8222,164.08347,144.88965854343058
23,2026-07-16,190.55559,181.36612,199.75952,173.15527,149.4432915115832
24,2026-07-17,198.47699,189.09198,208.1526,181.84383,155.97587595412654
25,2026-07-18,206.43234,194.11838,217.94417,190.02881,162.99057245120648
26,2026-07-19,214.4087,199.79808,227.49565,198.54721,
27,2026-07-20,222.3583,206.45271,236.04288,207.82822,
28,2026-07-21,230.39076,210.48624,247.5179,217.17633,
29,2026-07-22,238.48189,216.67091,258.8352,226.11569,
30,2026-07-23,246.77704,222.53459,271.11993,234.59407,
31,2026-07-24,254.86986,229.47166,277.12442,242.81172,
32,2026-07-25,262.86716,235.21562,285.43665,251.41093,
33,2026-07-26,271.43283,243.42516,295.4486,260.6326,
34,2026-07-27,280.2387,250.61752,304.99344,269.9732,
35,2026-07-28,288.89847,256.15045,317.1298,279.28622,
36,2026-07-29,296.90442,264.13007,329.04892,288.0117,
37,2026-07-30,304.67294,274.7951,333.88367,296.2904,
38,2026-07-31,312.65317,283.17215,340.99213,304.17117,
39,2026-08-01,320.81595,287.67218,350.94864,312.2775,
40,2026-08-02,328.76672,292.48608,359.86566,320.4343,
41,2026-08-03,336.4184,296.71606,369.16254,328.78113,
42,2026-08-04,344.11206,303.5569,378.75684,337.61902,
