lead_day,valid_date,fuxi_mean,fuxi_p10,fuxi_p90,ecmwf_mean,ecmwf_p10,ecmwf_p90,imd_climatology_mm,imd_gauge_cumulative_mm
1,2026-06-24,4.943634,4.818477,5.046392,6.676513162260482,5.728981576549602,7.856281394549988,5.8620796,4.557225123050768
2,2026-06-25,9.529297,9.245186,9.840078,12.50602878774975,10.874594647632565,14.33474273015102,11.637098,8.598140882231874
3,2026-06-26,13.54146,13.011118,14.053887,18.50367110108363,15.904146654013973,21.327865221251933,17.9875,11.258839708812
4,2026-06-27,18.1629,17.368177,19.199314,25.251336693217155,21.99694946475099,29.043770024175927,24.51182,14.352227038476574
5,2026-06-28,24.021364,23.318678,25.046083,33.60596323892899,29.61006793903304,38.24934238297896,31.722794,18.98341592490034
6,2026-06-29,30.76935,29.81602,32.033405,43.36287137403817,37.86544603270614,50.05752308833392,39.03827,25.60233952092061
7,2026-06-30,38.935596,37.693695,40.522118,53.998435768912,46.51490345236683,63.34426195291028,46.272873,32.38692505510112
8,2026-07-01,47.70977,45.977978,49.59133,64.08632422863839,55.28348879314836,74.92808870851913,52.741566,39.95347757018133
9,2026-07-02,56.600143,54.282677,58.99257,74.14382436678605,63.96561974457472,86.9548650100525,59.771782,49.553778072654616
10,2026-07-03,66.59959,63.434395,69.44897,85.00162503524467,72.72204643176693,100.96864714276325,67.139366,58.81724637128957
11,2026-07-04,77.54722,73.92614,80.80747,96.59518181551005,81.58802213468327,113.85992226173047,74.71374,68.84667005774348
12,2026-07-05,88.18834,84.43186,91.96035,108.73625558997632,91.09415943601051,126.68957919991794,82.15397,79.41671754148685
13,2026-07-06,97.30826,93.31886,102.40088,121.290544838129,103.25273031785731,138.97446690755874,89.693855,92.18812401498356
14,2026-07-07,105.87143,101.708496,111.833084,133.45380742165608,110.34142375454344,152.98834530146755,97.15412,103.4860534182726
15,2026-07-08,115.28282,110.27516,120.632034,145.08146016584132,120.150363795707,169.1911080777369,104.84284,114.14096182543558
16,2026-07-09,125.76294,119.22249,131.62971,155.6261752984237,128.3125687756122,179.15631891886142,112.9207,122.88024942183324
17,2026-07-10,136.28134,130.05872,142.04222,165.22988786602284,137.0449934843884,191.75906552329312,121.83216,129.47591186055757
18,2026-07-11,145.89366,138.94986,151.51529,174.82783377224104,143.56513627245565,202.77979965352924,131.23727,134.3813119414091
19,2026-07-12,155.00444,148.99855,161.024,183.6807950395529,151.60377515572452,213.4659659089292,140.24213,136.83159037216666
20,2026-07-13,164.23967,158.46553,170.40756,192.0923629157864,162.7963410191923,223.9252637102695,148.09554,139.90765099229378
21,2026-07-14,173.4327,167.07576,181.69162,200.1994886636203,167.04282912124484,232.1924101149112,155.71857,142.08320201932378
22,2026-07-15,182.3226,174.44368,189.8222,208.1836524255341,172.68103574394004,240.7869340128288,164.08347,144.88965854343058
23,2026-07-16,190.55559,181.36612,199.75952,216.16383911038,182.5087093681582,249.02432905421003,173.15527,149.4432915115832
24,2026-07-17,198.47699,189.09198,208.1526,223.9965574023573,189.30247206622457,259.2890336474579,181.84383,155.97587595412654
25,2026-07-18,206.43234,194.11838,217.94417,231.88263675511163,193.0947517814585,273.5135014166537,190.02881,162.99057245120648
26,2026-07-19,214.4087,199.79808,227.49565,239.53209737371543,196.70248740155895,282.0749518043204,198.54721,
27,2026-07-20,222.3583,206.45271,236.04288,247.87191260764052,201.5399046148461,291.45368105290265,207.82822,
28,2026-07-21,230.39076,210.48624,247.5179,256.30256137361494,209.3445497267488,302.755938522472,217.17633,
29,2026-07-22,238.48189,216.67091,258.8352,264.84425157699945,214.26782458111967,310.51392197825817,226.11569,
30,2026-07-23,246.77704,222.53459,271.11993,273.2446284050274,218.20859334276307,318.03195791381125,234.59407,
31,2026-07-24,254.86986,229.47166,277.12442,281.7097476575429,224.12446354576863,327.78216358974856,242.81172,
32,2026-07-25,262.86716,235.21562,285.43665,290.5367388694815,229.2667905183577,338.1852880190968,251.41093,
33,2026-07-26,271.43283,243.42516,295.4486,299.3833487089131,233.47061290959803,350.2846760926305,260.6326,
34,2026-07-27,280.2387,250.61752,304.99344,308.5577929266039,239.57720782623116,359.14321495681963,269.9732,
35,2026-07-28,288.89847,256.15045,317.1298,318.25096973628166,247.4642674419672,368.15501929552113,279.28622,
36,2026-07-29,296.90442,264.13007,329.04892,327.98409538487044,258.0660768518539,379.4557769955309,288.0117,
37,2026-07-30,304.67294,274.7951,333.88367,337.7724761937036,269.150681102021,387.073785291298,296.2904,
38,2026-07-31,312.65317,283.17215,340.99213,347.183108853171,275.9820771620748,397.6897982757344,304.17117,
39,2026-08-01,320.81595,287.67218,350.94864,356.498522148543,283.8000716427815,407.868542226963,312.2775,
40,2026-08-02,328.76672,292.48608,359.86566,365.8704907814499,291.74830345827354,418.1967489706013,320.4343,
41,2026-08-03,336.4184,296.71606,369.16254,374.94169335700417,299.0127668646333,428.3893806632552,328.78113,
42,2026-08-04,344.11206,303.5569,378.75684,383.6058919500279,308.1606633934064,437.481569266134,337.61902,
