lead_day,valid_date,fuxi_mean,fuxi_p10,fuxi_p90,fuxi_member00,imd_1991_2020_climatology,imd_gauge_observation
1,2026-06-02,1.5109645223617554,1.462716293334961,1.5561158418655396,1.4569534063339233,2.508185863494873,2.554500168117484
2,2026-06-03,3.1455381870269776,3.0493887186050417,3.246521782875061,3.0773184299468994,5.12436056137085,4.693358361006643
3,2026-06-04,5.333161096572876,5.137234306335449,5.5534632205963135,5.138158798217773,7.91593074798584,7.270887989723699
4,2026-06-05,7.951507244110108,7.715943765640259,8.257570171356202,7.58270263671875,10.669200897216797,11.452792886711403
5,2026-06-06,10.069115009307861,9.7115647315979,10.458602237701417,9.510051727294922,14.310811996459961,13.439869277521774
6,2026-06-07,12.249504318237305,11.75083818435669,12.848229026794433,11.481539726257324,18.101896286010742,16.00376752251621
7,2026-06-08,14.60684103012085,13.932245635986328,15.503964900970459,13.66414737701416,21.66144561767578,19.509093116482227
8,2026-06-09,17.22124536514282,16.28546257019043,18.335727500915528,16.059955596923828,25.148775100708008,21.79591533827871
9,2026-06-10,20.148228416442873,18.666432189941407,21.792942810058594,18.420896530151367,28.650043487548828,23.772640517072464
10,2026-06-11,23.32986484527588,21.53452339172363,25.92474994659424,21.288619995117188,32.95487976074219,26.84325257013904
11,2026-06-12,27.015854301452638,24.57915687561035,29.371096229553224,24.55924415588379,37.54958724975586,30.528391213383305
12,2026-06-13,31.37845542907715,28.530320739746095,34.20569839477539,28.58070945739746,42.519588470458984,34.73774320704924
13,2026-06-14,35.46866859436035,31.932412528991698,38.80353317260742,32.06797790527344,48.091461181640625,38.05714417901455
14,2026-06-15,39.42743545532227,35.12184181213379,43.21083450317383,35.106361389160156,53.550148010253906,40.28602865017373
15,2026-06-16,43.81159149169922,39.37906455993652,48.40964698791504,38.69095230102539,58.9915885925293,41.71752593348808
16,2026-06-17,48.734148864746096,44.2760627746582,54.25143127441406,41.9478874206543,64.63469696044922,44.09654981253567
17,2026-06-18,54.00772369384766,48.42115020751953,59.412868118286134,45.566932678222656,70.53194427490234,46.495400998920125
18,2026-06-19,59.452199096679685,53.532022857666014,65.71236190795898,51.302852630615234,76.53534698486328,49.34743106554662
19,2026-06-20,65.38183776855469,59.336905288696286,71.79706268310547,57.576866149902344,82.05977630615234,52.483848775000425
20,2026-06-21,72.47671043395997,64.96259918212891,78.7370719909668,64.92818450927734,87.8305435180664,55.69546019177525
21,2026-06-22,80.66634689331055,72.79301834106445,88.46251907348633,73.3447265625,93.8388442993164,58.79708626676557
22,2026-06-23,88.87374557495117,80.09395065307618,97.0816551208496,81.12914276123047,99.98189544677734,63.29328995814558
23,2026-06-24,96.45788436889649,88.09760284423828,104.79611663818359,87.44070434570312,105.84397888183594,67.85051508119635
24,2026-06-25,103.93978240966797,94.12738265991212,112.38292236328125,93.5784912109375,111.61900329589844,71.89143084037745
25,2026-06-26,111.79350463867188,101.60037536621094,121.3936050415039,100.71387481689453,117.96941375732422,74.55212966695758
26,2026-06-27,120.7811003112793,109.32254333496094,131.23937377929687,107.70415496826172,124.4937515258789,77.64551699662216
27,2026-06-28,130.99181442260743,119.51350250244141,142.70279998779296,116.59063720703125,131.70472717285156,82.27670588304593
28,2026-06-29,141.87109848022462,129.14484252929688,155.99175262451172,127.9222640991211,139.0202178955078,88.8956294790662
29,2026-06-30,153.12718719482422,137.56389312744142,168.38852233886718,139.35475158691406,146.25482177734375,95.68021501324672
30,2026-07-01,164.5109356689453,146.34988555908203,183.99893188476562,148.31143188476562,152.72352600097656,103.24676752832691
31,2026-07-02,176.56201934814453,157.39093780517578,197.2145736694336,158.2487335205078,159.75375366210938,112.8470680308002
32,2026-07-03,188.5777453613281,167.8063751220703,209.53683166503907,170.4509735107422,167.12135314941406,122.11053632943516
33,2026-07-04,199.89771667480468,178.85144805908203,222.4577606201172,181.498291015625,174.69573974609375,132.13996001588905
34,2026-07-05,209.9916387939453,189.06291961669922,230.80767974853515,191.04217529296875,182.13597106933594,142.7100074996324
35,2026-07-06,219.2027944946289,196.77881317138673,240.70579071044924,202.00088500976562,189.6758575439453,155.48141397312912
36,2026-07-07,227.9917349243164,204.92216033935546,253.3063507080078,214.48043823242188,197.13613891601562,166.77934337641815
37,2026-07-08,236.56684051513673,214.0393508911133,263.2346710205078,225.24986267089844,204.82485961914062,177.43425178358115
38,2026-07-09,245.16074249267578,220.38605651855468,275.10959777832034,233.79925537109375,212.90272521972656,186.1735393799788
39,2026-07-10,253.53055938720703,224.9515121459961,285.28599243164064,241.87242126464844,221.81419372558594,192.7692018187031
40,2026-07-11,261.4671533203125,229.02476501464844,295.80577087402344,250.75294494628906,231.21929931640625,197.67460189955463
41,2026-07-12,269.251950378418,236.31359100341797,306.95691833496096,261.5553894042969,240.2241668701172,200.1248803303122
42,2026-07-13,277.20503509521484,244.02908020019532,316.81724548339844,271.648193359375,248.0775909423828,203.20094095043933
