experiment_id,model,product,year,initialization_count,expected_count,missing_expected_count,unexpected_count,first_initialization,last_initialization,variables,formats,member_counts,lead_days,file_statuses
model-run/dlesym/dlesym_v0_isccp_era5_tpdiag_t2m_00z_2020_2024_ens1,dlesym,operational_forecast,2020,105,105,0,0,2020-01-02,2020-12-31,t2m;tp,netcdf,1,42,"{""manifest_valid"": 105}"
model-run/dlesym/dlesym_v0_isccp_era5_tpdiag_t2m_00z_2020_2024_ens1,dlesym,operational_forecast,2021,104,104,0,0,2021-01-04,2021-12-30,t2m;tp,netcdf,1,42,"{""manifest_valid"": 104}"
model-run/dlesym/dlesym_v0_isccp_era5_tpdiag_t2m_00z_2020_2024_ens1,dlesym,operational_forecast,2022,104,104,0,0,2022-01-03,2022-12-29,t2m;tp,netcdf,1,42,"{""manifest_valid"": 104}"
model-run/dlesym/dlesym_v0_isccp_era5_tpdiag_t2m_00z_2020_2024_ens1,dlesym,operational_forecast,2023,104,104,0,0,2023-01-02,2023-12-28,t2m;tp,netcdf,1,42,"{""manifest_valid"": 104}"
model-run/dlesym/dlesym_v0_isccp_era5_tpdiag_t2m_00z_2020_2024_ens1,dlesym,operational_forecast,2024,100,100,0,0,2024-01-01,2024-12-30,t2m;tp,netcdf,1,42,"{""manifest_valid"": 100}"
model-run/dlesym/dlesym_v1_era5_t2m_00z_2020_2024_ens16,dlesym,operational_forecast,2020,1,105,104,0,2020-06-01,2020-06-01,t2m,netcdf,16,42,"{""manifest_valid"": 1}"
model-run/dlesym/dlesym_v1_era5_t2m_00z_2020_2024_ens4,dlesym,operational_forecast,2020,105,105,0,0,2020-01-02,2020-12-31,t2m,netcdf,4,42,"{""manifest_valid"": 105}"
model-run/dlesym/dlesym_v1_era5_t2m_00z_2020_2024_ens4,dlesym,operational_forecast,2021,104,104,0,0,2021-01-04,2021-12-30,t2m,netcdf,4,42,"{""manifest_valid"": 104}"
model-run/dlesym/dlesym_v1_era5_t2m_00z_2020_2024_ens4,dlesym,operational_forecast,2022,104,104,0,0,2022-01-03,2022-12-29,t2m,netcdf,4,42,"{""manifest_valid"": 104}"
model-run/dlesym/dlesym_v1_era5_t2m_00z_2020_2024_ens4,dlesym,operational_forecast,2023,104,104,0,0,2023-01-02,2023-12-28,t2m,netcdf,4,42,"{""manifest_valid"": 104}"
model-run/dlesym/dlesym_v1_era5_t2m_00z_2020_2024_ens4,dlesym,operational_forecast,2024,100,100,0,0,2024-01-01,2024-12-30,t2m,netcdf,4,42,"{""manifest_valid"": 100}"
model-run/fcn3/fcn3_v1_t2m_00z_2020_2024_ens3,fcn3,operational_forecast,2020,105,105,0,0,2020-01-02,2020-12-31,t2m,netcdf,3,42,"{""manifest_valid"": 105}"
model-run/fcn3/fcn3_v1_t2m_00z_2020_2024_ens3,fcn3,operational_forecast,2021,103,104,1,0,2021-01-04,2021-12-30,t2m,netcdf,3,42,"{""manifest_valid"": 103}"
model-run/fcn3/fcn3_v1_t2m_00z_2020_2024_ens3,fcn3,operational_forecast,2022,104,104,0,0,2022-01-03,2022-12-29,t2m,netcdf,3,42,"{""manifest_valid"": 104}"
model-run/fcn3/fcn3_v1_t2m_00z_2020_2024_ens3,fcn3,operational_forecast,2023,104,104,0,0,2023-01-02,2023-12-28,t2m,netcdf,3,42,"{""manifest_valid"": 104}"
model-run/fcn3/fcn3_v1_t2m_00z_2020_2024_ens3,fcn3,operational_forecast,2024,100,100,0,0,2024-01-01,2024-12-30,t2m,netcdf,3,42,"{""manifest_valid"": 100}"
model-run/fuxi/fuxi_s2s_gfs_proxy_case_20260722_ens100,fuxi,case_or_pilot_forecast,2026,1,,0,0,2026-07-22,2026-07-22,t2m;tp,netcdf,100,42,"{""manifest_valid"": 1}"
model-run/fuxi/fuxi_s2s_gfs_proxy_case_20260728_ens100,fuxi,case_or_pilot_forecast,2026,1,,0,0,2026-07-28,2026-07-28,t2m;tp,netcdf,100,42,"{""manifest_valid"": 1}"
model-run/fuxi/fuxi_s2s_gfs_proxy_case_20260728_ens24,fuxi,case_or_pilot_forecast,2026,1,,0,0,2026-07-28,2026-07-28,t2m;tp,netcdf,24,42,"{""manifest_valid"": 1}"
model-run/fuxi/fuxi_s2s_gfs_proxy_case_20260730_31_ens5,fuxi,case_or_pilot_forecast,2026,2,,0,0,2026-07-30,2026-07-31,t2m;tp,netcdf,5,42,"{""manifest_valid"": 2}"
model-run/fuxi/fuxi_s2s_strict00z_case_20260601_ens50,fuxi,case_or_pilot_forecast,2026,1,,0,0,2026-06-01,2026-06-01,t2m;tp,netcdf,50,42,"{""manifest_valid"": 1}"
model-run/fuxi/fuxi_s2s_strict00z_case_20260623_ens50,fuxi,case_or_pilot_forecast,2026,1,,0,0,2026-06-23,2026-06-23,t2m;tp,netcdf,50,42,"{""manifest_valid"": 1}"
model-run/fuxi/fuxi_s2s_strict00z_case_20260715_ens100,fuxi,case_or_pilot_forecast,2026,1,,0,0,2026-07-15,2026-07-15,t2m;tp,netcdf,100,42,"{""manifest_valid"": 1}"
model-run/fuxi/fuxi_s2s_strict00z_case_20260715_wind_ens100,fuxi,case_or_pilot_forecast,2026,1,,0,0,2026-07-15,2026-07-15,tp;u850;v850,netcdf,100,42,"{""manifest_valid"": 1}"
model-run/fuxi/fuxi_s2s_strict00z_case_20260722_ens100,fuxi,case_or_pilot_forecast,2026,1,,0,0,2026-07-22,2026-07-22,t2m;tp,netcdf,100,42,"{""manifest_valid"": 1}"
model-run/fuxi/fuxi_s2s_strict00z_case_20260722_ens1_trial,fuxi,case_or_pilot_forecast,2026,1,,0,0,2026-07-22,2026-07-22,t2m;tp,netcdf,1,42,"{""manifest_valid"": 1}"
model-run/fuxi/fuxi_s2s_strict00z_twice_weekly_2020_2025_ens50,fuxi,operational_forecast,2020,105,105,0,0,2020-01-02,2020-12-31,t2m;tp,netcdf,50,42,"{""manifest_valid"": 105}"
model-run/fuxi/fuxi_s2s_strict00z_twice_weekly_2020_2025_ens50,fuxi,operational_forecast,2021,104,104,0,0,2021-01-04,2021-12-30,t2m;tp,netcdf,50,42,"{""manifest_valid"": 104}"
model-run/fuxi/fuxi_s2s_strict00z_twice_weekly_2020_2025_ens50,fuxi,operational_forecast,2022,104,104,0,0,2022-01-03,2022-12-29,t2m;tp,netcdf,50,42,"{""manifest_valid"": 104}"
model-run/fuxi/fuxi_s2s_strict00z_twice_weekly_2020_2025_ens50,fuxi,operational_forecast,2023,104,104,0,0,2023-01-02,2023-12-28,t2m;tp,netcdf,50,42,"{""manifest_valid"": 104}"
model-run/fuxi/fuxi_s2s_strict00z_twice_weekly_2020_2025_ens50,fuxi,operational_forecast,2024,100,100,0,0,2024-01-01,2024-12-30,t2m;tp,netcdf,50,42,"{""manifest_valid"": 100}"
model-run/fuxi/fuxi_s2s_strict00z_twice_weekly_2020_2025_ens50,fuxi,operational_forecast,2025,104,104,0,0,2025-01-02,2025-12-29,t2m;tp,netcdf,50,42,"{""manifest_valid"": 104}"
model-run/fuxi/fuxi_s2s_twice_weekly_2020_2025_ens50,fuxi,operational_forecast,2020,105,105,0,0,2020-01-02,2020-12-31,t2m;tp,netcdf,50,42,"{""manifest_valid"": 105}"
model-run/fuxi/fuxi_s2s_twice_weekly_2020_2025_ens50,fuxi,operational_forecast,2021,104,104,0,0,2021-01-04,2021-12-30,t2m;tp,netcdf,50,42,"{""manifest_valid"": 104}"
model-run/fuxi/fuxi_s2s_twice_weekly_2020_2025_ens50,fuxi,operational_forecast,2022,104,104,0,0,2022-01-03,2022-12-29,t2m;tp,netcdf,50,42,"{""manifest_valid"": 104}"
model-run/fuxi/fuxi_s2s_twice_weekly_2020_2025_ens50,fuxi,operational_forecast,2023,60,104,44,0,2023-01-02,2023-10-23,t2m;tp,netcdf,50,42,"{""manifest_valid"": 56, ""missing"": 4}"
model-run/neural-gcm/neuralgcm_v1_precip_2p8_era5_00z_2020_2024_ens1,neural-gcm,operational_forecast,2020,1,105,104,0,2020-01-02,2020-01-02,tp,netcdf,1,42,"{""manifest_valid"": 1}"
model-run/neural-gcm/neuralgcm_v1_precip_2p8_era5_00z_2020_2024_ens10,neural-gcm,operational_forecast,2020,105,105,0,0,2020-01-02,2020-12-31,tp,netcdf,10,42,"{""manifest_valid"": 105}"
model-run/neural-gcm/neuralgcm_v1_precip_2p8_era5_00z_2020_2024_ens10,neural-gcm,operational_forecast,2021,104,104,0,0,2021-01-04,2021-12-30,tp,netcdf,10,42,"{""manifest_valid"": 104}"
model-run/neural-gcm/neuralgcm_v1_precip_2p8_era5_00z_2020_2024_ens10,neural-gcm,operational_forecast,2022,104,104,0,0,2022-01-03,2022-12-29,tp,netcdf,10,42,"{""manifest_valid"": 104}"
model-run/neural-gcm/neuralgcm_v1_precip_2p8_era5_00z_2020_2024_ens10,neural-gcm,operational_forecast,2023,104,104,0,0,2023-01-02,2023-12-28,tp,netcdf,10,42,"{""manifest_valid"": 104}"
model-run/neural-gcm/neuralgcm_v1_precip_2p8_era5_00z_2020_2024_ens10,neural-gcm,operational_forecast,2024,100,100,0,0,2024-01-01,2024-12-30,tp,netcdf,10,42,"{""manifest_valid"": 100}"
model-run/neural-gcm/neuralgcm_v1_precip_2p8_era5_00z_pilot42d_20200601_ens1,neural-gcm,case_or_pilot_forecast,2020,1,105,104,0,2020-06-01,2020-06-01,tp,netcdf,1,42,"{""manifest_valid"": 1}"
model-run/neural-gcm/neuralgcm_v1_precip_2p8_era5_00z_smoke_20200601_ens1,neural-gcm,case_or_pilot_forecast,2020,1,105,104,0,2020-06-01,2020-06-01,,netcdf,,,"{""manifest_valid"": 1}"
physics/cma_operational_2020_2025,cma,operational_forecast,2020,105,105,0,0,2020-01-02,2020-12-31,t2m;tp,grib,1;3,42,"{""manifest_valid"": 420}"
physics/cma_operational_2020_2025,cma,operational_forecast,2021,104,104,0,0,2021-01-04,2021-12-30,t2m;tp,grib,1;3,42,"{""manifest_valid"": 416}"
physics/cma_operational_2020_2025,cma,operational_forecast,2022,104,104,0,0,2022-01-03,2022-12-29,t2m;tp,grib,1;3,42,"{""manifest_valid"": 416}"
physics/cma_operational_2020_2025,cma,operational_forecast,2023,104,104,0,0,2023-01-02,2023-12-28,t2m;tp,grib,1;3,42,"{""manifest_valid"": 416}"
physics/cma_operational_2020_2025,cma,operational_forecast,2024,100,100,0,0,2024-01-01,2024-12-30,t2m;tp,grib,1;3,42,"{""manifest_valid"": 400}"
physics/cma_operational_2020_2025,cma,operational_forecast,2025,104,104,0,0,2025-01-02,2025-12-29,t2m;tp,grib,1;3,42,"{""manifest_valid"": 416}"
physics/cnrm_operational_2020_2025,cnrm,operational_forecast,2020,11,11,0,0,2020-10-22,2020-12-31,t2m;tp,grib,1;24,42,"{""manifest_valid"": 44}"
physics/cnrm_operational_2020_2025,cnrm,operational_forecast,2021,52,52,0,0,2021-01-07,2021-12-30,t2m;tp,grib,1;24,42,"{""manifest_valid"": 208}"
physics/cnrm_operational_2020_2025,cnrm,operational_forecast,2022,52,52,0,0,2022-01-06,2022-12-29,t2m;tp,grib,1;24,42,"{""manifest_valid"": 208}"
physics/cnrm_operational_2020_2025,cnrm,operational_forecast,2023,52,52,0,0,2023-01-05,2023-12-28,t2m;tp,grib,1;24,42,"{""manifest_valid"": 208}"
physics/cnrm_operational_2020_2025,cnrm,operational_forecast,2024,50,50,0,0,2024-01-04,2024-12-26,t2m;tp,grib,1;24,42,"{""manifest_valid"": 200}"
physics/cnrm_operational_2020_2025,cnrm,operational_forecast,2025,52,52,0,0,2025-01-02,2025-12-25,t2m;tp,grib,1;24,42,"{""manifest_valid"": 208}"
physics/ecmwf_operational_2020_2025,ecmwf,operational_forecast,2020,105,105,0,0,2020-01-02,2020-12-31,t2m;tp,grib,1;50,42,"{""manifest_valid"": 420}"
physics/ecmwf_operational_2020_2025,ecmwf,operational_forecast,2021,104,104,0,0,2021-01-04,2021-12-30,t2m;tp,grib,1;50,42,"{""manifest_valid"": 416}"
physics/ecmwf_operational_2020_2025,ecmwf,operational_forecast,2022,104,104,0,0,2022-01-03,2022-12-29,t2m;tp,grib,1;50,42,"{""manifest_valid"": 416}"
physics/ecmwf_operational_2020_2025,ecmwf,operational_forecast,2023,104,104,0,0,2023-01-02,2023-12-28,t2m;tp,grib,1;50;100,42,"{""manifest_valid"": 416}"
physics/ecmwf_operational_2020_2025,ecmwf,operational_forecast,2024,100,100,0,0,2024-01-01,2024-12-30,t2m;tp,grib,1;100,42,"{""manifest_valid"": 400}"
physics/ecmwf_operational_2020_2025,ecmwf,operational_forecast,2025,104,104,0,0,2025-01-02,2025-12-29,t2m;tp,grib,1;100,42,"{""manifest_valid"": 416}"
