system,week,metric,positive_definition,n_cases,mean_improvement,ci95_low,ci95_high,interval_excludes_zero
fuxi_exact,1,acc,fuxi_minus_erpas,31,0.08140659207431086,0.026790111197886848,0.13924348943477047,True
fuxi_exact,1,rmse_mm_day,erpas_minus_fuxi,31,0.4242702745172164,0.17790322401967526,0.6834408049885877,True
fuxi_2day,1,acc,fuxi_minus_erpas,31,0.02799910651175751,-0.04420807990959583,0.10325491603351195,False
fuxi_2day,1,rmse_mm_day,erpas_minus_fuxi,31,0.049916553374024925,-0.3271586938145231,0.4361923672154616,False
fuxi_6day,1,acc,fuxi_minus_erpas,31,-0.17049857721529116,-0.3001862130423505,-0.04912932525200785,True
fuxi_6day,1,rmse_mm_day,erpas_minus_fuxi,31,-0.8149331166249224,-1.1786254538394147,-0.44609673290867663,True
fuxi_exact,2,acc,fuxi_minus_erpas,31,0.13093444854910313,0.034563083080968775,0.22716940390474097,True
fuxi_exact,2,rmse_mm_day,erpas_minus_fuxi,31,0.2507667196076809,-0.18858273813205595,0.6794940936692487,False
fuxi_2day,2,acc,fuxi_minus_erpas,31,0.13988972875372457,0.021934433945300504,0.25644887996422,True
fuxi_2day,2,rmse_mm_day,erpas_minus_fuxi,31,0.16629224137377804,-0.3778483324110277,0.7211875262899415,False
fuxi_6day,2,acc,fuxi_minus_erpas,31,0.03808644530024813,-0.07709653486179394,0.16291722663965855,False
fuxi_6day,2,rmse_mm_day,erpas_minus_fuxi,31,-0.1154795863898931,-0.7254876066914562,0.5111024964360299,False
fuxi_exact,3,acc,fuxi_minus_erpas,31,0.1699061370926492,0.08141341780780795,0.26657352998684836,True
fuxi_exact,3,rmse_mm_day,erpas_minus_fuxi,31,0.5761347231197247,0.10132012144044485,1.0285352083306698,True
fuxi_2day,3,acc,fuxi_minus_erpas,31,0.11894935609789856,0.030414185642933335,0.21262679880825822,True
fuxi_2day,3,rmse_mm_day,erpas_minus_fuxi,31,0.48217173994631524,0.08755803472791454,0.8445496936131114,True
fuxi_6day,3,acc,fuxi_minus_erpas,31,0.09882991389912571,-0.02338300340492598,0.2235392302010219,False
fuxi_6day,3,rmse_mm_day,erpas_minus_fuxi,31,0.4196450335623482,-0.02145999810543115,0.8189865634058763,False
fuxi_exact,4,acc,fuxi_minus_erpas,31,0.06874355418046091,-0.07327057972864473,0.2217575702166536,False
fuxi_exact,4,rmse_mm_day,erpas_minus_fuxi,31,0.07664047493855694,-0.38066606953821447,0.541439533937559,False
fuxi_2day,4,acc,fuxi_minus_erpas,31,0.08834346918446581,-0.02235885180946544,0.2061918534432576,False
fuxi_2day,4,rmse_mm_day,erpas_minus_fuxi,31,0.2386144757209803,-0.01436538907411395,0.48900967940104434,False
fuxi_6day,4,acc,fuxi_minus_erpas,31,0.03440532249999565,-0.04428904680153105,0.1144157173537477,False
fuxi_6day,4,rmse_mm_day,erpas_minus_fuxi,31,0.03453206408534014,-0.22758506262042602,0.2759660597164701,False
