case_id,erpas_init,year,week,valid_period_start,valid_period_end_exclusive,reference,system,fuxi_member_count,acc,rmse_mm_day
paired_20230607,2023-06-07,2023,1,2023-06-08,2023-06-15,IMERG Final V07B,erpas,0,0.6279072146319898,4.245048028909348
paired_20230607,2023-06-07,2023,2,2023-06-15,2023-06-22,IMERG Final V07B,erpas,0,0.4202834017170383,6.783500277702792
paired_20230607,2023-06-07,2023,3,2023-06-22,2023-06-29,IMERG Final V07B,erpas,0,0.36344692877372675,5.927628000700971
paired_20230607,2023-06-07,2023,4,2023-06-29,2023-07-06,IMERG Final V07B,erpas,0,-0.0823100255037698,6.839765226096899
paired_20230607,2023-06-07,2023,1,2023-06-08,2023-06-15,IMERG Final V07B,fuxi_2day,5,0.642505669041797,4.329143855937339
paired_20230607,2023-06-07,2023,2,2023-06-15,2023-06-22,IMERG Final V07B,fuxi_2day,5,-0.2792534277715017,9.12461514943481
paired_20230607,2023-06-07,2023,3,2023-06-22,2023-06-29,IMERG Final V07B,fuxi_2day,5,0.43156118047197056,5.396463860066614
paired_20230607,2023-06-07,2023,4,2023-06-29,2023-07-06,IMERG Final V07B,fuxi_2day,5,-0.23398742815025092,7.195573268615566
paired_20230607,2023-06-07,2023,1,2023-06-08,2023-06-15,IMERG Final V07B,fuxi_6day,5,-0.027473782850665998,6.727204621747156
paired_20230607,2023-06-07,2023,2,2023-06-15,2023-06-22,IMERG Final V07B,fuxi_6day,5,-0.2258670857900092,9.425349896588218
paired_20230607,2023-06-07,2023,3,2023-06-22,2023-06-29,IMERG Final V07B,fuxi_6day,5,-0.27127893161301425,7.610826781370948
paired_20230607,2023-06-07,2023,4,2023-06-29,2023-07-06,IMERG Final V07B,fuxi_6day,5,0.04553348328007841,6.682809943823853
paired_20230607,2023-06-07,2023,1,2023-06-08,2023-06-15,IMERG Final V07B,fuxi_exact,5,0.6806763309488542,4.010351672467642
paired_20230607,2023-06-07,2023,2,2023-06-15,2023-06-22,IMERG Final V07B,fuxi_exact,5,-0.41513083940019146,9.372622476961325
paired_20230607,2023-06-07,2023,3,2023-06-22,2023-06-29,IMERG Final V07B,fuxi_exact,5,-0.24218029889714004,9.497815195122035
paired_20230607,2023-06-07,2023,4,2023-06-29,2023-07-06,IMERG Final V07B,fuxi_exact,5,-0.2698722953737147,7.358454945347449
paired_20230614,2023-06-14,2023,1,2023-06-15,2023-06-22,IMERG Final V07B,erpas,0,0.7084322778394092,5.590243943566101
paired_20230614,2023-06-14,2023,2,2023-06-22,2023-06-29,IMERG Final V07B,erpas,0,0.12437341486862306,6.5727989900186845
paired_20230614,2023-06-14,2023,3,2023-06-29,2023-07-06,IMERG Final V07B,erpas,0,-0.13640114782655752,7.47866437992258
paired_20230614,2023-06-14,2023,4,2023-07-06,2023-07-13,IMERG Final V07B,erpas,0,-0.0714653943950144,6.958578475337843
paired_20230614,2023-06-14,2023,1,2023-06-15,2023-06-22,IMERG Final V07B,fuxi_2day,5,0.4206356546457087,6.702494955774288
paired_20230614,2023-06-14,2023,2,2023-06-22,2023-06-29,IMERG Final V07B,fuxi_2day,5,0.43019672633733763,5.643955358190374
paired_20230614,2023-06-14,2023,3,2023-06-29,2023-07-06,IMERG Final V07B,fuxi_2day,5,-0.09888424131857881,6.732553513131336
paired_20230614,2023-06-14,2023,4,2023-07-06,2023-07-13,IMERG Final V07B,fuxi_2day,5,0.010512854058698885,6.993800229933811
paired_20230614,2023-06-14,2023,1,2023-06-15,2023-06-22,IMERG Final V07B,fuxi_6day,5,-0.40967381503486666,9.112939389190656
paired_20230614,2023-06-14,2023,2,2023-06-22,2023-06-29,IMERG Final V07B,fuxi_6day,5,0.03014246445442565,7.644329795954015
paired_20230614,2023-06-14,2023,3,2023-06-29,2023-07-06,IMERG Final V07B,fuxi_6day,5,-0.2383341722618307,7.3953264893788715
paired_20230614,2023-06-14,2023,4,2023-07-06,2023-07-13,IMERG Final V07B,fuxi_6day,5,-0.19457127313062839,8.42168799595865
paired_20230614,2023-06-14,2023,1,2023-06-15,2023-06-22,IMERG Final V07B,fuxi_exact,5,0.5381529323635413,6.243252944465036
paired_20230614,2023-06-14,2023,2,2023-06-22,2023-06-29,IMERG Final V07B,fuxi_exact,5,0.5162291310723057,5.279061717340166
paired_20230614,2023-06-14,2023,3,2023-06-29,2023-07-06,IMERG Final V07B,fuxi_exact,5,-0.19399772916849012,7.420658123156314
paired_20230614,2023-06-14,2023,4,2023-07-06,2023-07-13,IMERG Final V07B,fuxi_exact,5,-0.32554004484562454,9.772021033061252
paired_20230621,2023-06-21,2023,1,2023-06-22,2023-06-29,IMERG Final V07B,erpas,0,0.6528744370154324,4.438398890903391
paired_20230621,2023-06-21,2023,2,2023-06-29,2023-07-06,IMERG Final V07B,erpas,0,0.43064156783755236,5.68800456377504
paired_20230621,2023-06-21,2023,3,2023-07-06,2023-07-13,IMERG Final V07B,erpas,0,-0.32616045200865457,8.29284028136318
paired_20230621,2023-06-21,2023,4,2023-07-13,2023-07-20,IMERG Final V07B,erpas,0,-0.006826335324671122,6.72854894538602
paired_20230621,2023-06-21,2023,1,2023-06-22,2023-06-29,IMERG Final V07B,fuxi_2day,5,0.6946084312875282,4.9045889541234
paired_20230621,2023-06-21,2023,2,2023-06-29,2023-07-06,IMERG Final V07B,fuxi_2day,5,-0.2124617142882641,8.369148140732241
paired_20230621,2023-06-21,2023,3,2023-07-06,2023-07-13,IMERG Final V07B,fuxi_2day,5,-0.1353955700032574,7.526457944819652
paired_20230621,2023-06-21,2023,4,2023-07-13,2023-07-20,IMERG Final V07B,fuxi_2day,5,-0.011374857290250857,6.54372666009129
paired_20230621,2023-06-21,2023,1,2023-06-22,2023-06-29,IMERG Final V07B,fuxi_6day,5,0.49896915706173134,5.809933202124268
paired_20230621,2023-06-21,2023,2,2023-06-29,2023-07-06,IMERG Final V07B,fuxi_6day,5,-0.12445937871817159,8.045763855880395
paired_20230621,2023-06-21,2023,3,2023-07-06,2023-07-13,IMERG Final V07B,fuxi_6day,5,-0.04132814281528476,8.033233421427365
paired_20230621,2023-06-21,2023,4,2023-07-13,2023-07-20,IMERG Final V07B,fuxi_6day,5,-0.23227776150037271,7.349660549316565
paired_20230621,2023-06-21,2023,1,2023-06-22,2023-06-29,IMERG Final V07B,fuxi_exact,5,0.7267696503074748,4.239496194386193
paired_20230621,2023-06-21,2023,2,2023-06-29,2023-07-06,IMERG Final V07B,fuxi_exact,5,0.14941549294322531,7.14653924992246
paired_20230621,2023-06-21,2023,3,2023-07-06,2023-07-13,IMERG Final V07B,fuxi_exact,5,-0.0733120818158943,7.809875043528622
paired_20230621,2023-06-21,2023,4,2023-07-13,2023-07-20,IMERG Final V07B,fuxi_exact,5,0.5414443189837419,5.1142845940822514
paired_20230628,2023-06-28,2023,1,2023-06-29,2023-07-06,IMERG Final V07B,erpas,0,0.30284593654593966,6.880917419136702
paired_20230628,2023-06-28,2023,2,2023-07-06,2023-07-13,IMERG Final V07B,erpas,0,-0.3581661841252273,8.12927120807712
paired_20230628,2023-06-28,2023,3,2023-07-13,2023-07-20,IMERG Final V07B,erpas,0,-0.08721059467038661,6.708692387055569
paired_20230628,2023-06-28,2023,4,2023-07-20,2023-07-27,IMERG Final V07B,erpas,0,0.19007042124851603,9.884217256977339
paired_20230628,2023-06-28,2023,1,2023-06-29,2023-07-06,IMERG Final V07B,fuxi_2day,5,0.32713143408654777,6.633743536940913
paired_20230628,2023-06-28,2023,2,2023-07-06,2023-07-13,IMERG Final V07B,fuxi_2day,5,-0.23366315064542892,8.602548574558613
paired_20230628,2023-06-28,2023,3,2023-07-13,2023-07-20,IMERG Final V07B,fuxi_2day,5,0.3714849833612393,5.704526086573005
paired_20230628,2023-06-28,2023,4,2023-07-20,2023-07-27,IMERG Final V07B,fuxi_2day,5,0.4750867199718635,8.901609360166585
paired_20230628,2023-06-28,2023,1,2023-06-29,2023-07-06,IMERG Final V07B,fuxi_6day,5,0.2284543119934647,7.645649953100311
paired_20230628,2023-06-28,2023,2,2023-07-06,2023-07-13,IMERG Final V07B,fuxi_6day,5,0.10850992238901316,7.252001303822601
paired_20230628,2023-06-28,2023,3,2023-07-13,2023-07-20,IMERG Final V07B,fuxi_6day,5,0.4698419043172073,5.113461963094658
paired_20230628,2023-06-28,2023,4,2023-07-20,2023-07-27,IMERG Final V07B,fuxi_6day,5,-0.04193659192375203,10.885792534101544
