system,week,metric,n_cases,mean,ci95_low,ci95_high
erpas,1,acc,31,0.49044957842242837,0.4372221110340844,0.54748343392116
erpas,1,rmse_mm_day,31,5.5027447851655635,4.903959551983859,6.082605616414472
erpas,2,acc,31,0.17279419853782305,0.08520078586700859,0.2597636869777595
erpas,2,rmse_mm_day,31,6.416050535003848,6.005644285391623,6.848371598662464
erpas,3,acc,31,0.0785632384043247,-0.017272025915800175,0.17578826636818515
erpas,3,rmse_mm_day,31,6.421965954235869,5.7889466565406105,7.105782432377655
erpas,4,acc,31,0.09516463310572773,0.0043409044265177756,0.1911815333300031
erpas,4,rmse_mm_day,31,6.163147761892531,5.275807338725122,7.026047745749408
fuxi_exact,1,acc,31,0.5718561704967393,0.5182023941722919,0.6207211555483797
fuxi_exact,1,rmse_mm_day,31,5.078474510648349,4.623339172906891,5.531229980725727
fuxi_exact,2,acc,31,0.3037286470869262,0.2193099632846778,0.3876569410188315
fuxi_exact,2,rmse_mm_day,31,6.165283815396167,5.5702382278413785,6.786027210842579
fuxi_exact,3,acc,31,0.24846937549697384,0.1374183265529719,0.3534318552918776
fuxi_exact,3,rmse_mm_day,31,5.845831231116144,5.070424243600085,6.650093701996331
fuxi_exact,4,acc,31,0.16390818728618867,0.049438155644267054,0.2836901957012743
fuxi_exact,4,rmse_mm_day,31,6.086507286953973,5.252212921215109,6.826093250644086
fuxi_2day,1,acc,31,0.5184486849341859,0.45599429941456476,0.577958684164513
fuxi_2day,1,rmse_mm_day,31,5.452828231791539,5.001414053445718,5.937445560317366
fuxi_2day,2,acc,31,0.3126839272915478,0.2185653868545755,0.3984136302313018
fuxi_2day,2,rmse_mm_day,31,6.24975829363007,5.544378952462867,6.984138866977464
fuxi_2day,3,acc,31,0.19751259450222322,0.11188078798557803,0.28077465616132574
fuxi_2day,3,rmse_mm_day,31,5.939794214289553,5.171179239328513,6.663454068424485
fuxi_2day,4,acc,31,0.18350810229019357,0.09719050820377777,0.2698141074397347
fuxi_2day,4,rmse_mm_day,31,5.924533286171549,5.04601092088134,6.727883884281892
fuxi_6day,1,acc,31,0.31995100120713726,0.2048266107248306,0.42276510840061865
fuxi_6day,1,rmse_mm_day,31,6.317677901790488,5.773700764324217,6.8167600198445575
fuxi_6day,2,acc,31,0.2108806438380712,0.14698680066219072,0.2734835230829148
fuxi_6day,2,rmse_mm_day,31,6.5315301213937405,5.783439684529736,7.292038058210735
fuxi_6day,3,acc,31,0.17739315230345043,0.06282284242885171,0.29070639948934085
fuxi_6day,3,rmse_mm_day,31,6.002320920673518,5.252675126394383,6.69323093659619
fuxi_6day,4,acc,31,0.1295699556057234,0.03880661045156414,0.22277651791609523
fuxi_6day,4,rmse_mm_day,31,6.12861569780719,5.1188510093761135,7.145209569138582
