case_id,fuxi_initialization,erpas_initialization,week,system,acc_vs_imerg
paired_20240626,2024-06-24,2024-06-26,1,era5,0.5892716871796785
paired_20240626,2024-06-24,2024-06-26,2,era5,0.4002990219181605
paired_20240626,2024-06-24,2024-06-26,3,era5,0.25425920447132255
paired_20240626,2024-06-24,2024-06-26,4,era5,0.4431911648664501
paired_20240626,2024-06-24,2024-06-26,1,erpas,0.4258905227693653
paired_20240626,2024-06-24,2024-06-26,2,erpas,-0.144638470300244
paired_20240626,2024-06-24,2024-06-26,3,erpas,-0.4099120088830236
paired_20240626,2024-06-24,2024-06-26,4,erpas,-0.35635791812273565
paired_20240626,2024-06-24,2024-06-26,1,gfs,0.3629009611002002
paired_20240626,2024-06-24,2024-06-26,2,gfs,0.2712445502235612
paired_20240626,2024-06-24,2024-06-26,3,gfs,0.17107466502384555
paired_20240626,2024-06-24,2024-06-26,4,gfs,0.44835320398674533
paired_20240626,2024-06-24,2024-06-26,1,ifs,0.5549741344526311
paired_20240626,2024-06-24,2024-06-26,2,ifs,0.3746631670571796
paired_20240626,2024-06-24,2024-06-26,3,ifs,-0.1443894476708884
paired_20240626,2024-06-24,2024-06-26,4,ifs,0.1350728591738396
paired_20240724,2024-07-22,2024-07-24,1,era5,0.5729943454190219
paired_20240724,2024-07-22,2024-07-24,2,era5,0.12734442623349854
paired_20240724,2024-07-22,2024-07-24,3,era5,0.29663378326163153
paired_20240724,2024-07-22,2024-07-24,4,era5,0.12423897154147133
paired_20240724,2024-07-22,2024-07-24,1,erpas,0.3931126217093426
paired_20240724,2024-07-22,2024-07-24,2,erpas,0.40220895105057086
paired_20240724,2024-07-22,2024-07-24,3,erpas,0.3457792595216575
paired_20240724,2024-07-22,2024-07-24,4,erpas,-0.036756849151633485
paired_20240724,2024-07-22,2024-07-24,1,gfs,0.5063124128176513
paired_20240724,2024-07-22,2024-07-24,2,gfs,0.0487930251165507
paired_20240724,2024-07-22,2024-07-24,3,gfs,0.482480155628784
paired_20240724,2024-07-22,2024-07-24,4,gfs,0.08102881638378445
paired_20240724,2024-07-22,2024-07-24,1,ifs,0.5687615310676181
paired_20240724,2024-07-22,2024-07-24,2,ifs,0.07120761249054712
paired_20240724,2024-07-22,2024-07-24,3,ifs,0.4283347133711672
paired_20240724,2024-07-22,2024-07-24,4,ifs,0.10872943642625735
paired_20240814,2024-08-12,2024-08-14,1,era5,0.2961535857433149
paired_20240814,2024-08-12,2024-08-14,2,era5,0.1565575359547277
paired_20240814,2024-08-12,2024-08-14,3,era5,0.11951215752456928
paired_20240814,2024-08-12,2024-08-14,4,era5,0.14869316293235177
paired_20240814,2024-08-12,2024-08-14,1,erpas,0.13458794606435584
paired_20240814,2024-08-12,2024-08-14,2,erpas,0.14135250435004446
paired_20240814,2024-08-12,2024-08-14,3,erpas,0.1329251856629905
paired_20240814,2024-08-12,2024-08-14,4,erpas,-0.08229454285731494
paired_20240814,2024-08-12,2024-08-14,1,gfs,0.11922119061137842
paired_20240814,2024-08-12,2024-08-14,2,gfs,0.016724895075046074
paired_20240814,2024-08-12,2024-08-14,3,gfs,0.16509870699290513
paired_20240814,2024-08-12,2024-08-14,4,gfs,0.2644752691360263
paired_20240814,2024-08-12,2024-08-14,1,ifs,0.36179547513871985
paired_20240814,2024-08-12,2024-08-14,2,ifs,0.29876936754020944
paired_20240814,2024-08-12,2024-08-14,3,ifs,-0.1393676255331459
paired_20240814,2024-08-12,2024-08-14,4,ifs,-0.0490433887483861
paired_20240904,2024-09-02,2024-09-04,1,era5,0.49477937410416173
paired_20240904,2024-09-02,2024-09-04,2,era5,0.765129208372757
paired_20240904,2024-09-02,2024-09-04,3,era5,-0.026758266869713162
paired_20240904,2024-09-02,2024-09-04,4,era5,0.055804047414530364
paired_20240904,2024-09-02,2024-09-04,1,erpas,0.5571854532446753
paired_20240904,2024-09-02,2024-09-04,2,erpas,0.4365863819522176
paired_20240904,2024-09-02,2024-09-04,3,erpas,0.012063593985750022
paired_20240904,2024-09-02,2024-09-04,4,erpas,0.09944323982831851
paired_20240904,2024-09-02,2024-09-04,1,gfs,0.4824975227396477
paired_20240904,2024-09-02,2024-09-04,2,gfs,0.4054440120540981
paired_20240904,2024-09-02,2024-09-04,3,gfs,-0.11408839405463857
paired_20240904,2024-09-02,2024-09-04,4,gfs,0.06235433787092327
paired_20240904,2024-09-02,2024-09-04,1,ifs,0.47649360918083145
paired_20240904,2024-09-02,2024-09-04,2,ifs,0.7711362625459756
paired_20240904,2024-09-02,2024-09-04,3,ifs,-0.0042107427946473375
paired_20240904,2024-09-02,2024-09-04,4,ifs,0.12246670965105076
paired_20240925,2024-09-23,2024-09-25,1,era5,0.571811078447232
paired_20240925,2024-09-23,2024-09-25,2,era5,0.5553884699129755
paired_20240925,2024-09-23,2024-09-25,3,era5,0.13232985771275352
paired_20240925,2024-09-23,2024-09-25,4,era5,0.2960978333195638
paired_20240925,2024-09-23,2024-09-25,1,erpas,0.7247085904828269
paired_20240925,2024-09-23,2024-09-25,2,erpas,0.12042461583395596
paired_20240925,2024-09-23,2024-09-25,3,erpas,0.27126239884513503
paired_20240925,2024-09-23,2024-09-25,4,erpas,0.3347966038203682
paired_20240925,2024-09-23,2024-09-25,1,gfs,0.43535955457121567
paired_20240925,2024-09-23,2024-09-25,2,gfs,0.6326427061625914
paired_20240925,2024-09-23,2024-09-25,3,gfs,0.07524188162291628
paired_20240925,2024-09-23,2024-09-25,4,gfs,0.26030550499853183
paired_20240925,2024-09-23,2024-09-25,1,ifs,0.5662123366715072
paired_20240925,2024-09-23,2024-09-25,2,ifs,0.5308205686196747
paired_20240925,2024-09-23,2024-09-25,3,ifs,0.004115455330875128
paired_20240925,2024-09-23,2024-09-25,4,ifs,0.10612165174515176
