year,fuxi_init,ecmwf_init,valid_start,valid_end,model,variable,region,week,fuxi_lead_start,fuxi_lead_end,ecmwf_lead_start,ecmwf_lead_end,pcc,rmse,bias,obs_mean,fcst_mean
2019,2019-06-20,2019-06-18,2019-06-21,2019-06-27,FuXi,TP,All India,Week 1,1,7,3,9,0.9215370757118081,2.5021942919833213,-1.3853619898519218,6.5801322161437925,5.1947702262918725
2019,2019-06-20,2019-06-18,2019-06-21,2019-06-27,FuXi,TP,northwest_india,Week 1,1,7,3,9,0.8972961775205301,1.6543743166684195,-1.0710823714504034,2.7598078192456543,1.688725447795251
2019,2019-06-20,2019-06-18,2019-06-21,2019-06-27,FuXi,TP,central_india,Week 1,1,7,3,9,0.8001430124329973,3.0878714810617827,-1.6323877741487727,7.0071115470352945,5.374723772886521
2019,2019-06-20,2019-06-18,2019-06-21,2019-06-27,FuXi,TP,south_peninsula,Week 1,1,7,3,9,0.8704397742282652,2.8991867308006425,-2.1952743970481534,7.342125135441103,5.14685073839295
2019,2019-06-20,2019-06-18,2019-06-21,2019-06-27,FuXi,TP,east_northeast_india,Week 1,1,7,3,9,0.9638542909953248,1.9514083067548906,-0.4994450876307114,13.000292173795414,12.500847086164702
2019,2019-06-20,2019-06-18,2019-06-21,2019-06-27,ECMWF,TP,All India,Week 1,1,7,3,9,0.8677437422275612,2.921695421337635,1.0756665886004335,6.5801322161437925,7.6557988047442285
2019,2019-06-20,2019-06-18,2019-06-21,2019-06-27,ECMWF,TP,northwest_india,Week 1,1,7,3,9,0.6462466690159112,2.8480745822411215,1.9934055781759437,2.7598078192456543,4.753213397421598
2019,2019-06-20,2019-06-18,2019-06-21,2019-06-27,ECMWF,TP,central_india,Week 1,1,7,3,9,0.6675338881936267,3.1858230399405834,0.5924509623750785,7.0071115470352945,7.599562509410373
2019,2019-06-20,2019-06-18,2019-06-21,2019-06-27,ECMWF,TP,south_peninsula,Week 1,1,7,3,9,0.776948504576329,2.7991364333998616,-0.270829454908924,7.342125135441103,7.071295680532179
2019,2019-06-20,2019-06-18,2019-06-21,2019-06-27,ECMWF,TP,east_northeast_india,Week 1,1,7,3,9,0.9767949456671305,2.578804413941656,1.8510019757008158,13.000292173795414,14.85129414949623
2019,2019-06-20,2019-06-18,2019-06-21,2019-06-27,FuXi,Z500,All India,Week 1,1,7,3,9,0.9882179857274515,2.5193358862315094,-1.2446887408800995,5858.164419049727,5856.919730308849
2019,2019-06-20,2019-06-18,2019-06-21,2019-06-27,FuXi,Z500,northwest_india,Week 1,1,7,3,9,0.997658601638271,1.3208275477094031,0.3900579632700521,5846.390368871441,5846.780426834711
2019,2019-06-20,2019-06-18,2019-06-21,2019-06-27,FuXi,Z500,central_india,Week 1,1,7,3,9,0.7477531059690381,2.2452196526726533,-1.0707924344309576,5863.077978186426,5862.007185751995
2019,2019-06-20,2019-06-18,2019-06-21,2019-06-27,FuXi,Z500,south_peninsula,Week 1,1,7,3,9,0.7924751265646746,2.4199768618097734,-1.944708661599523,5860.407641696805,5858.4629330352045
2019,2019-06-20,2019-06-18,2019-06-21,2019-06-27,FuXi,Z500,east_northeast_india,Week 1,1,7,3,9,0.9555025473978642,4.471540356306519,-4.341470483058298,5869.860797030509,5865.519326547451
2019,2019-06-20,2019-06-18,2019-06-21,2019-06-27,ECMWF,Z500,All India,Week 1,1,7,3,9,0.9410305242013002,6.535731169834068,-4.562602246336307,5858.164419049727,5853.601816803391
2019,2019-06-20,2019-06-18,2019-06-21,2019-06-27,ECMWF,Z500,northwest_india,Week 1,1,7,3,9,0.9926511489965648,4.359985697159195,-2.045723611730276,5846.390368871441,5844.344645259711
2019,2019-06-20,2019-06-18,2019-06-21,2019-06-27,ECMWF,Z500,central_india,Week 1,1,7,3,9,0.9229485981811495,7.65689913897246,-7.568158874451724,5863.077978186426,5855.509819311975
2019,2019-06-20,2019-06-18,2019-06-21,2019-06-27,ECMWF,Z500,south_peninsula,Week 1,1,7,3,9,0.9542372415618976,8.450809847291437,-8.37658826165703,5860.407641696805,5852.0310534351465
2019,2019-06-20,2019-06-18,2019-06-21,2019-06-27,ECMWF,Z500,east_northeast_india,Week 1,1,7,3,9,0.40298982511843334,4.73462267025948,1.5544819642854022,5869.860797030509,5871.415278994796
2019,2019-06-20,2019-06-18,2019-06-28,2019-07-04,FuXi,TP,All India,Week 2,8,14,10,16,0.8397123933563551,4.110853753058542,0.6379601947997113,8.52137669004135,9.15933688484106
