year,fuxi_init,ecmwf_init,week,fuxi_ds,fuxi_de,ecmwf_ds,ecmwf_de,valid_start,valid_end
2019,2019-06-20,2019-06-18,Week 1,1,7,3,9,2019-06-21,2019-06-27
2019,2019-06-20,2019-06-18,Week 2,8,14,10,16,2019-06-28,2019-07-04
2019,2019-06-20,2019-06-18,Week 3,15,21,17,23,2019-07-05,2019-07-11
2019,2019-06-20,2019-06-18,Week 4,22,28,24,30,2019-07-12,2019-07-18
2019,2019-06-20,2019-06-18,Week 5,29,35,31,37,2019-07-19,2019-07-25
2019,2019-06-20,2019-06-22,Week 6,36,42,34,40,2019-07-26,2019-08-01
2019,2019-06-23,2019-06-22,Week 1,1,7,2,8,2019-06-24,2019-06-30
2019,2019-06-23,2019-06-22,Week 2,8,14,9,15,2019-07-01,2019-07-07
2019,2019-06-23,2019-06-22,Week 3,15,21,16,22,2019-07-08,2019-07-14
2019,2019-06-23,2019-06-22,Week 4,22,28,23,29,2019-07-15,2019-07-21
2019,2019-06-23,2019-06-22,Week 5,29,35,30,36,2019-07-22,2019-07-28
2019,2019-06-23,2019-06-25,Week 6,36,42,34,40,2019-07-29,2019-08-04
2019,2019-06-27,2019-06-25,Week 1,1,7,3,9,2019-06-28,2019-07-04
2019,2019-06-27,2019-06-25,Week 2,8,14,10,16,2019-07-05,2019-07-11
2019,2019-06-27,2019-06-25,Week 3,15,21,17,23,2019-07-12,2019-07-18
2019,2019-06-27,2019-06-25,Week 4,22,28,24,30,2019-07-19,2019-07-25
2019,2019-06-27,2019-06-25,Week 5,29,35,31,37,2019-07-26,2019-08-01
2019,2019-06-27,2019-06-29,Week 6,36,42,34,40,2019-08-02,2019-08-08
2019,2019-06-30,2019-06-29,Week 1,1,7,2,8,2019-07-01,2019-07-07
2019,2019-06-30,2019-06-29,Week 2,8,14,9,15,2019-07-08,2019-07-14
2019,2019-06-30,2019-06-29,Week 3,15,21,16,22,2019-07-15,2019-07-21
2019,2019-06-30,2019-06-29,Week 4,22,28,23,29,2019-07-22,2019-07-28
2019,2019-06-30,2019-06-29,Week 5,29,35,30,36,2019-07-29,2019-08-04
2019,2019-06-30,2019-07-02,Week 6,36,42,34,40,2019-08-05,2019-08-11
2019,2019-07-04,2019-07-02,Week 1,1,7,3,9,2019-07-05,2019-07-11
2019,2019-07-04,2019-07-02,Week 2,8,14,10,16,2019-07-12,2019-07-18
2019,2019-07-04,2019-07-02,Week 3,15,21,17,23,2019-07-19,2019-07-25
2019,2019-07-04,2019-07-02,Week 4,22,28,24,30,2019-07-26,2019-08-01
2019,2019-07-04,2019-07-02,Week 5,29,35,31,37,2019-08-02,2019-08-08
2019,2019-07-04,2019-07-06,Week 6,36,42,34,40,2019-08-09,2019-08-15
2019,2019-07-07,2019-07-06,Week 1,1,7,2,8,2019-07-08,2019-07-14
2019,2019-07-07,2019-07-06,Week 2,8,14,9,15,2019-07-15,2019-07-21
2019,2019-07-07,2019-07-06,Week 3,15,21,16,22,2019-07-22,2019-07-28
2019,2019-07-07,2019-07-06,Week 4,22,28,23,29,2019-07-29,2019-08-04
2019,2019-07-07,2019-07-06,Week 5,29,35,30,36,2019-08-05,2019-08-11
2019,2019-07-07,2019-07-09,Week 6,36,42,34,40,2019-08-12,2019-08-18
2019,2019-07-11,2019-07-09,Week 1,1,7,3,9,2019-07-12,2019-07-18
2019,2019-07-11,2019-07-09,Week 2,8,14,10,16,2019-07-19,2019-07-25
2019,2019-07-11,2019-07-09,Week 3,15,21,17,23,2019-07-26,2019-08-01
2019,2019-07-11,2019-07-09,Week 4,22,28,24,30,2019-08-02,2019-08-08
2019,2019-07-11,2019-07-09,Week 5,29,35,31,37,2019-08-09,2019-08-15
2019,2019-07-11,2019-07-13,Week 6,36,42,34,40,2019-08-16,2019-08-22
2019,2019-07-14,2019-07-13,Week 1,1,7,2,8,2019-07-15,2019-07-21
2019,2019-07-14,2019-07-13,Week 2,8,14,9,15,2019-07-22,2019-07-28
2019,2019-07-14,2019-07-13,Week 3,15,21,16,22,2019-07-29,2019-08-04
2019,2019-07-14,2019-07-13,Week 4,22,28,23,29,2019-08-05,2019-08-11
2019,2019-07-14,2019-07-13,Week 5,29,35,30,36,2019-08-12,2019-08-18
2019,2019-07-14,2019-07-16,Week 6,36,42,34,40,2019-08-19,2019-08-25
2019,2019-07-18,2019-07-16,Week 1,1,7,3,9,2019-07-19,2019-07-25
2019,2019-07-18,2019-07-16,Week 2,8,14,10,16,2019-07-26,2019-08-01
2019,2019-07-18,2019-07-16,Week 3,15,21,17,23,2019-08-02,2019-08-08
2019,2019-07-18,2019-07-16,Week 4,22,28,24,30,2019-08-09,2019-08-15
2019,2019-07-18,2019-07-16,Week 5,29,35,31,37,2019-08-16,2019-08-22
2019,2019-07-18,2019-07-20,Week 6,36,42,34,40,2019-08-23,2019-08-29
2019,2019-07-21,2019-07-20,Week 1,1,7,2,8,2019-07-22,2019-07-28
2019,2019-07-21,2019-07-20,Week 2,8,14,9,15,2019-07-29,2019-08-04
2019,2019-07-21,2019-07-20,Week 3,15,21,16,22,2019-08-05,2019-08-11
2019,2019-07-21,2019-07-20,Week 4,22,28,23,29,2019-08-12,2019-08-18
2019,2019-07-21,2019-07-20,Week 5,29,35,30,36,2019-08-19,2019-08-25
2019,2019-07-21,2019-07-23,Week 6,36,42,34,40,2019-08-26,2019-09-01
2019,2019-07-25,2019-07-23,Week 1,1,7,3,9,2019-07-26,2019-08-01
2019,2019-07-25,2019-07-23,Week 2,8,14,10,16,2019-08-02,2019-08-08
2019,2019-07-25,2019-07-23,Week 3,15,21,17,23,2019-08-09,2019-08-15
2019,2019-07-25,2019-07-23,Week 4,22,28,24,30,2019-08-16,2019-08-22
2019,2019-07-25,2019-07-23,Week 5,29,35,31,37,2019-08-23,2019-08-29
2019,2019-07-25,2019-07-27,Week 6,36,42,34,40,2019-08-30,2019-09-05
2019,2019-07-28,2019-07-27,Week 1,1,7,2,8,2019-07-29,2019-08-04
2019,2019-07-28,2019-07-27,Week 2,8,14,9,15,2019-08-05,2019-08-11
2019,2019-07-28,2019-07-27,Week 3,15,21,16,22,2019-08-12,2019-08-18
2019,2019-07-28,2019-07-27,Week 4,22,28,23,29,2019-08-19,2019-08-25
2019,2019-07-28,2019-07-27,Week 5,29,35,30,36,2019-08-26,2019-09-01
2019,2019-07-28,2019-07-30,Week 6,36,42,34,40,2019-09-02,2019-09-08
