source,metric,variable,model,clim_basis,lead,region,n_init,mean,ci_low,ci_high
deterministic,bias,TP,FuXi,era5,1,All India,1,-1.3853619898519218,-1.3853619898519218,-1.3853619898519218
deterministic,bias,TP,FuXi,era5,2,All India,1,0.6379601947997113,0.6379601947997113,0.6379601947997113
deterministic,bias,TP,FuXi,era5,3,All India,1,-3.678728797678178,-3.678728797678178,-3.678728797678178
deterministic,bias,TP,FuXi,era5,4,All India,1,1.7327677992774708,1.7327677992774708,1.7327677992774708
deterministic,bias,TP,FuXi,era5,5,All India,1,-0.0891795204537395,-0.0891795204537395,-0.0891795204537395
deterministic,bias,TP,FuXi,era5,6,All India,1,-4.058523153860034,-4.058523153860034,-4.058523153860034
deterministic,bias,TP,ECMWF,era5,1,All India,8,0.028885562726284758,-0.22439710623919895,0.3549768629978037
deterministic,bias,TP,ECMWF,era5,2,All India,8,-0.3413665238825109,-1.2746345377133097,0.7843267863287627
deterministic,bias,TP,ECMWF,era5,3,All India,8,-1.319348787093657,-2.2261150944196344,-0.1461116544298845
deterministic,bias,TP,ECMWF,era5,4,All India,8,-2.2316803161277243,-3.830692683693574,-0.6484118323804973
deterministic,bias,TP,ECMWF,era5,5,All India,8,-1.4064843335973378,-2.2281820522503617,-0.39375878675776155
deterministic,bias,TP,ECMWF,era5,6,All India,8,-2.208164472102097,-3.476571835987635,-0.8337489513025554
deterministic,bias,TP,ECMWF,model_own,1,All India,8,0.028885562726284758,-0.22439710623919895,0.3549768629978037
deterministic,bias,TP,ECMWF,model_own,2,All India,8,-0.3413665238825109,-1.2746345377133097,0.7843267863287627
deterministic,bias,TP,ECMWF,model_own,3,All India,8,-1.319348787093657,-2.2261150944196344,-0.1461116544298845
deterministic,bias,TP,ECMWF,model_own,4,All India,8,-2.2316803161277243,-3.830692683693574,-0.6484118323804973
deterministic,bias,TP,ECMWF,model_own,5,All India,8,-1.4064843335973378,-2.2281820522503617,-0.39375878675776155
deterministic,bias,TP,ECMWF,model_own,6,All India,8,-2.208164472102097,-3.476571835987635,-0.8337489513025554
deterministic,bias,TP,Persistence,era5,1,All India,9,-0.6267427415636639,-2.439069262210525,1.2867409030513384
deterministic,bias,TP,Persistence,era5,2,All India,9,-1.1825607370008553,-3.2644729129444334,1.064966767432403
deterministic,bias,TP,Persistence,era5,3,All India,9,-1.7653901591619827,-4.693416395560879,0.9908360506082196
deterministic,bias,TP,Persistence,era5,4,All India,9,-1.8144263245734094,-4.287409129835791,1.0608499013851111
deterministic,bias,TP,Persistence,era5,5,All India,9,-1.257547436856726,-4.485817931721857,1.8338738390103795
deterministic,bias,TP,Persistence,era5,6,All India,9,-1.9326420041022188,-5.261419838871471,1.6337054709016023
deterministic,bias,Z500,FuXi,era5,1,All India,1,-1.2446887408800995,-1.2446887408800995,-1.2446887408800995
deterministic,bias,Z500,FuXi,era5,2,All India,1,0.3570723607204953,0.3570723607204953,0.3570723607204953
deterministic,bias,Z500,FuXi,era5,3,All India,1,1.6194893173143383,1.6194893173143383,1.6194893173143383
deterministic,bias,Z500,FuXi,era5,4,All India,1,-4.653018270936897,-4.653018270936897,-4.653018270936897
deterministic,bias,Z500,FuXi,era5,5,All India,1,-13.98387092142152,-13.98387092142152,-13.98387092142152
deterministic,bias,Z500,FuXi,era5,6,All India,1,-0.0854933010018543,-0.0854933010018543,-0.0854933010018543
deterministic,bias,Z500,ECMWF,era5,1,All India,8,-4.145229259484833,-5.96846636413379,-1.7967654294935163
deterministic,bias,Z500,ECMWF,era5,2,All India,8,-0.4931860109179682,-4.224757136256159,3.233625514034302
deterministic,bias,Z500,ECMWF,era5,3,All India,8,-2.194341904621262,-7.0835935516696376,2.214793538330534
deterministic,bias,Z500,ECMWF,era5,4,All India,8,-1.6211288323605504,-7.467044953555023,3.8720776028094708
deterministic,bias,Z500,ECMWF,era5,5,All India,8,-4.164612567692296,-8.90267490360291,1.581252623842573
deterministic,bias,Z500,ECMWF,era5,6,All India,8,-1.1431585915808111,-7.907545572652814,6.203169421395104
deterministic,bias,Z500,ECMWF,model_own,1,All India,8,-4.145229259484833,-5.96846636413379,-1.7967654294935163
deterministic,bias,Z500,ECMWF,model_own,2,All India,8,-0.4931860109179682,-4.224757136256159,3.233625514034302
deterministic,bias,Z500,ECMWF,model_own,3,All India,8,-2.194341904621262,-7.0835935516696376,2.214793538330534
deterministic,bias,Z500,ECMWF,model_own,4,All India,8,-1.6211288323605504,-7.467044953555023,3.8720776028094708
deterministic,bias,Z500,ECMWF,model_own,5,All India,8,-4.164612567692296,-8.90267490360291,1.581252623842573
deterministic,bias,Z500,ECMWF,model_own,6,All India,8,-1.1431585915808111,-7.907545572652814,6.203169421395104
deterministic,bias,Z500,Persistence,era5,1,All India,9,-1.4488539879372986,-9.115214141383072,4.828646213371714
deterministic,bias,Z500,Persistence,era5,2,All India,9,1.958865904284662,-4.626489386291337,7.280754215178565
deterministic,bias,Z500,Persistence,era5,3,All India,9,0.035744089733599244,-8.547922847494254,8.17564267072024
deterministic,bias,Z500,Persistence,era5,4,All India,9,-2.2873999830856913,-11.073787664599179,5.85267392354939
deterministic,bias,Z500,Persistence,era5,5,All India,9,-5.515018609268057,-14.90753791987309,4.470142769708093
deterministic,bias,Z500,Persistence,era5,6,All India,9,-3.2485133557318893,-13.851135503229344,5.444857842287566
deterministic,pcc,TP,FuXi,era5,1,All India,1,0.8020428028606612,0.8020428028606612,0.8020428028606612
deterministic,pcc,TP,FuXi,era5,2,All India,1,0.7921411718094615,0.7921411718094615,0.7921411718094615
deterministic,pcc,TP,FuXi,era5,3,All India,1,0.3216945061042426,0.3216945061042426,0.3216945061042426
deterministic,pcc,TP,FuXi,era5,4,All India,1,0.4460874405050947,0.4460874405050947,0.4460874405050947
deterministic,pcc,TP,FuXi,era5,5,All India,1,0.4612956196284716,0.4612956196284716,0.4612956196284716
deterministic,pcc,TP,FuXi,era5,6,All India,1,0.3227169340667525,0.3227169340667525,0.3227169340667525
deterministic,pcc,TP,ECMWF,era5,1,All India,8,0.7712856722801507,0.7086041405398049,0.8322102041877512
deterministic,pcc,TP,ECMWF,era5,2,All India,8,0.5256740768979873,0.3742947515507653,0.668347585010191
deterministic,pcc,TP,ECMWF,era5,3,All India,8,0.3560833917714111,0.25292174752597235,0.4626993746817107
deterministic,pcc,TP,ECMWF,era5,4,All India,8,0.39867279564643127,0.29821486853495416,0.46909606507067025
deterministic,pcc,TP,ECMWF,era5,5,All India,8,0.3739897753996782,0.28851875183842596,0.45170156660589816
deterministic,pcc,TP,ECMWF,era5,6,All India,8,0.2903362561287569,0.15584088719531455,0.4054986285204323
deterministic,pcc,TP,ECMWF,model_own,1,All India,8,0.6003252001257287,0.4967137362410386,0.6847550939564917
deterministic,pcc,TP,ECMWF,model_own,2,All India,8,0.35824660712983425,0.18675778679785499,0.5467507136414874
deterministic,pcc,TP,ECMWF,model_own,3,All India,8,0.1604333985664661,-0.007089168471341492,0.31813009490099936
deterministic,pcc,TP,ECMWF,model_own,4,All India,8,0.23533137820927208,0.0032744676500674097,0.4103007479492365
deterministic,pcc,TP,ECMWF,model_own,5,All India,8,-0.015381062811164322,-0.16651037452565973,0.09135935296379219
deterministic,pcc,TP,ECMWF,model_own,6,All India,8,0.02011828671243747,-0.21841734668763033,0.27042886074614236
deterministic,pcc,TP,Persistence,era5,1,All India,9,0.35369583546728817,0.19968555078594455,0.5007571577490783
deterministic,pcc,TP,Persistence,era5,2,All India,9,0.2626461432598954,0.09080135158576275,0.4158553850246835
deterministic,pcc,TP,Persistence,era5,3,All India,9,0.19222558581495439,0.01019603653953246,0.38647259002330886
deterministic,pcc,TP,Persistence,era5,4,All India,9,0.30495117894923546,0.08104631141405358,0.46995634795181096
deterministic,pcc,TP,Persistence,era5,5,All India,9,0.21892934659456298,0.04122859108446929,0.38625217763997904
deterministic,pcc,TP,Persistence,era5,6,All India,9,0.08447939434485993,-0.047851447738397127,0.206161999544058
deterministic,pcc,Z500,FuXi,era5,1,All India,1,0.9711501312845198,0.9711501312845198,0.9711501312845198
deterministic,pcc,Z500,FuXi,era5,2,All India,1,0.6927210291295862,0.6927210291295862,0.6927210291295862
deterministic,pcc,Z500,FuXi,era5,3,All India,1,0.739631558411725,0.739631558411725,0.739631558411725
deterministic,pcc,Z500,FuXi,era5,4,All India,1,-0.3943140215889921,-0.3943140215889921,-0.3943140215889921
deterministic,pcc,Z500,FuXi,era5,5,All India,1,0.2726233166926716,0.2726233166926716,0.2726233166926716
deterministic,pcc,Z500,FuXi,era5,6,All India,1,0.6073823872606365,0.6073823872606365,0.6073823872606365
deterministic,pcc,Z500,ECMWF,era5,1,All India,8,0.8854869029818209,0.8424129552912152,0.9262476547327485
deterministic,pcc,Z500,ECMWF,era5,2,All India,8,0.691493687474296,0.4530295364429551,0.8563022508564244
deterministic,pcc,Z500,ECMWF,era5,3,All India,8,0.4330240161599085,0.2746594666188835,0.5714598644686161
deterministic,pcc,Z500,ECMWF,era5,4,All India,8,0.3207675077367741,-0.0601785954130135,0.6650845552061646
deterministic,pcc,Z500,ECMWF,era5,5,All India,8,0.059440168302310054,-0.13272365946707346,0.2792390635187026
deterministic,pcc,Z500,ECMWF,era5,6,All India,8,0.34784860914216786,0.06430596028649666,0.5992287518753618
deterministic,pcc,Z500,ECMWF,model_own,1,All India,8,0.9117189524176851,0.8615093591795407,0.9512151467091131
deterministic,pcc,Z500,ECMWF,model_own,2,All India,8,0.6669356333878936,0.3421197040311941,0.8961969824169972
deterministic,pcc,Z500,ECMWF,model_own,3,All India,8,0.34475736682291286,0.06061229431230194,0.5692708782215843
deterministic,pcc,Z500,ECMWF,model_own,4,All India,8,0.5195811920536852,0.3785872829177647,0.642000156541603
deterministic,pcc,Z500,ECMWF,model_own,5,All India,8,-0.010379530631429289,-0.412141835108819,0.3759909283917308
deterministic,pcc,Z500,ECMWF,model_own,6,All India,8,0.30738707778290875,-0.07753534292535715,0.6318255050335392
