region,model,final_42day_cumulative_mm,bias_vs_imd_mm
All India,IMD 1991-2020 climatology,321.978945962588,0.0
All India,FuXi ensemble mean,292.5865173339844,-29.392428628603625
All India,ECMWF ensemble mean,383.60691457153155,61.62796860894355
Northwest India,IMD 1991-2020 climatology,230.10661175223066,0.0
Northwest India,FuXi ensemble mean,164.64500427246094,-65.46160747976973
Northwest India,ECMWF ensemble mean,251.47242620506194,21.365814452831273
Central India,IMD 1991-2020 climatology,406.4405277488132,0.0
Central India,FuXi ensemble mean,370.2952880859375,-36.145239662875724
Central India,ECMWF ensemble mean,502.9503528688394,96.50982512002616
South Peninsula,IMD 1991-2020 climatology,213.42903990397852,0.0
South Peninsula,FuXi ensemble mean,193.30859375,-20.12044615397852
South Peninsula,ECMWF ensemble mean,271.6813461399115,58.25230623593299
East & Northeast India,IMD 1991-2020 climatology,464.70309196313224,0.0
East & Northeast India,FuXi ensemble mean,518.0928344726562,53.38974250952401
East & Northeast India,ECMWF ensemble mean,538.9195863788922,74.21649441575994
