Model,Variable,Lead,PCC,RMSE,Bias,N
Spire,Z500,Week-1 lead,0.9930704537038487,7.729759063284057,7.220039397233524,126
FuXi-S2S,Z500,Week-1 lead,0.9806698599995449,7.271229517293009,-5.556873707783653,126
ECMWF,Z500,Week-1 lead,0.9936550029985056,2.8781466468021186,0.9930082731856843,126
NCEP,Z500,Week-1 lead,0.9730720825234329,21.968868130035073,-21.13308730806382,126
Spire,TP,Week-1 lead,0.9859561951567729,0.43625195523082544,0.22738118698229892,126
FuXi-S2S,TP,Week-1 lead,0.9999868174564498,0.010020264843873278,0.0002628077736651855,126
ECMWF,TP,Week-1 lead,0.9940169612240846,0.23874768762406168,0.10532867754023403,126
NCEP,TP,Week-1 lead,0.9816695840400897,0.3740069771996242,0.153046694000958,126
Spire,T2M,Week-1 lead,0.8325514252128565,0.7562928243863126,0.07236418063342633,126
FuXi-S2S,T2M,Week-1 lead,0.12191627952976788,5.45322199771363,-4.838808459770753,126
ECMWF,T2M,Week-1 lead,0.12429939265395865,5.807960615394036,-5.160079584037335,126
NCEP,T2M,Week-1 lead,0.28216476424154946,5.48078256642281,-4.350880952165413,126
Spire,Z500,Week-2 lead,0.910542019076458,12.404185271473258,7.911732070837326,126
FuXi-S2S,Z500,Week-2 lead,0.6823714063300228,35.284016923484614,-32.23729477508904,126
ECMWF,Z500,Week-2 lead,0.847207079614612,18.776811658586638,-14.029393824129128,126
NCEP,Z500,Week-2 lead,0.9316442100031321,32.64909768606879,-31.87327462223888,126
Spire,TP,Week-2 lead,0.9936140319647451,0.4880791743947933,0.288705259576904,126
FuXi-S2S,TP,Week-2 lead,0.9999804498813866,0.010650637664146066,-0.00032851440492255926,126
ECMWF,TP,Week-2 lead,0.9957351095388387,0.28563860503757516,0.16197226596933864,126
NCEP,TP,Week-2 lead,0.9531004252079255,0.6694392058875988,0.42525234984461896,126
Spire,T2M,Week-2 lead,0.7362142034181816,1.1309974389025,0.1637267276951738,126
FuXi-S2S,T2M,Week-2 lead,0.14162450123927497,6.067234572704325,-5.480802027599295,126
ECMWF,T2M,Week-2 lead,0.0005350202033354472,6.421616281715425,-5.813400820933739,126
NCEP,T2M,Week-2 lead,0.05148640265853194,5.385925702852823,-4.359929814779097,126
