Region,Model,Variable,Lead,PCC,RMSE,Bias,N
Northwest,Spire,Z500,Week-1 lead,0.9851710656396818,6.784463208870254,6.022083433417552,43
Northwest,FuXi-S2S,Z500,Week-1 lead,0.9571536493433364,9.505533888645383,-7.908607943360489,43
Northwest,ECMWF,Z500,Week-1 lead,0.9975294245123963,2.825459884782997,1.6285846474429402,43
Northwest,NCEP,Z500,Week-1 lead,0.9405396664324583,27.03750883335403,-26.31502558694732,43
Central,Spire,Z500,Week-1 lead,0.9908426388683547,7.210982492039835,7.137364494249495,42
Central,FuXi-S2S,Z500,Week-1 lead,0.9348898098966152,6.1450326501421895,-5.640732200314521,42
Central,ECMWF,Z500,Week-1 lead,0.9681930629085695,1.9662950216599158,-0.8666651127049948,42
Central,NCEP,Z500,Week-1 lead,0.8531171048140842,19.259830930895323,-18.987437579729924,42
S. Peninsula,Spire,Z500,Week-1 lead,0.9953382732112019,10.596324154639182,10.349386056898515,22
S. Peninsula,FuXi-S2S,Z500,Week-1 lead,0.9752433156021042,2.0844493686877144,0.6849917258638498,22
S. Peninsula,ECMWF,Z500,Week-1 lead,0.9963077081129857,0.9321351659254317,0.27555410336033226,22
S. Peninsula,NCEP,Z500,Week-1 lead,0.9927362550414822,15.40281172035379,-15.21818431469914,22
East/NE,Spire,Z500,Week-1 lead,0.8061285549131025,6.485077004811283,6.131309523221079,19
East/NE,FuXi-S2S,Z500,Week-1 lead,0.9144106707737779,8.118654076780562,-7.996103273901275,19
East/NE,ECMWF,Z500,Week-1 lead,0.9047254012846233,5.316161267531974,4.747268346940897,19
East/NE,NCEP,Z500,Week-1 lead,0.5975618647411722,22.376038348084887,-22.078679794904506,19
Northwest,Spire,TP,Week-1 lead,0.9970025256249367,0.3372362257167294,0.30731288386731587,43
Northwest,FuXi-S2S,TP,Week-1 lead,0.9999724662064308,0.01242784343247865,-0.004099802198501469,43
Northwest,ECMWF,TP,Week-1 lead,0.9984881693615496,0.1368916758787641,0.10607906333084186,43
Northwest,NCEP,TP,Week-1 lead,0.957179872716315,0.5597373859505933,0.3139464250878595,43
Central,Spire,TP,Week-1 lead,0.9633809759572587,0.1393955121205307,0.11613174576171571,42
Central,FuXi-S2S,TP,Week-1 lead,0.9998995686957528,0.004672263506094292,0.002505983237449044,42
Central,ECMWF,TP,Week-1 lead,0.9872429495884347,0.04779823240314219,0.021405141994301838,42
Central,NCEP,TP,Week-1 lead,0.9997972241319957,0.005392835703557058,0.0002866916707788386,42
S. Peninsula,Spire,TP,Week-1 lead,0.9864992088010054,0.15224253225567086,0.09901634279272033,22
S. Peninsula,FuXi-S2S,TP,Week-1 lead,0.9998115474109173,0.010364723015715522,0.005951000099061394,22
S. Peninsula,ECMWF,TP,Week-1 lead,0.7233349286374893,0.3337072344766672,0.15080759693370877,22
S. Peninsula,NCEP,TP,Week-1 lead,0.5896200313732323,0.3868963590567776,0.17694190861009995,22
East/NE,Spire,TP,Week-1 lead,0.9823583306491184,0.9777920711542178,0.466759007799278,19
East/NE,FuXi-S2S,TP,Week-1 lead,0.9999985691784385,0.01237670388061404,-0.002413050191250553,19
East/NE,ECMWF,TP,Week-1 lead,0.9980250589777245,0.4449230300135864,0.23887434225879894,19
East/NE,NCEP,TP,Week-1 lead,0.9992856260758346,0.2616832400518008,0.12096571794331636,19
Northwest,Spire,T2M,Week-1 lead,0.72733888484299,0.7953817055521349,0.18489962386549358,43
Northwest,FuXi-S2S,T2M,Week-1 lead,-0.11559912306290489,6.296302372790037,-5.397916307354889,43
Northwest,ECMWF,T2M,Week-1 lead,-0.14443679589546946,6.596948602923921,-5.624656900048464,43
Northwest,NCEP,T2M,Week-1 lead,-0.1517876049865282,5.876819599485056,-3.379320211242112,43
Central,Spire,T2M,Week-1 lead,0.6454689535045617,0.8497806657211561,0.16123837611040098,42
Central,FuXi-S2S,T2M,Week-1 lead,0.5215495314559292,4.802591393539586,-4.661711095371801,42
Central,ECMWF,T2M,Week-1 lead,0.5024906657760336,4.80247456548424,-4.6442171102792,42
Central,NCEP,T2M,Week-1 lead,0.6016304286750351,4.607347271767978,-4.312090680107622,42
S. Peninsula,Spire,T2M,Week-1 lead,0.7020966945059554,0.5573828762505294,-0.36384980376450216,22
S. Peninsula,FuXi-S2S,T2M,Week-1 lead,0.6370420343842171,3.685542509599973,-3.3698081182074384,22
S. Peninsula,ECMWF,T2M,Week-1 lead,0.6045442247331758,4.564801199719593,-4.3308488542503545,22
S. Peninsula,NCEP,T2M,Week-1 lead,0.5041750283570625,4.8951992427434785,-4.683805458609756,22
East/NE,Spire,T2M,Week-1 lead,0.8170053962626663,0.6492738503268799,0.16630377551664371,19
East/NE,FuXi-S2S,T2M,Week-1 lead,0.2778349666723046,6.591876023888904,-5.850357701835261,19
East/NE,ECMWF,T2M,Week-1 lead,0.037339765355278054,7.265095482914591,-6.3561000068230795,19
East/NE,NCEP,T2M,Week-1 lead,0.19081665323519018,6.921770549756596,-6.147250362589686,19
Northwest,Spire,Z500,Week-2 lead,0.8581895333433152,15.40941270603635,12.058363582814831,43
Northwest,FuXi-S2S,Z500,Week-2 lead,0.7585511570301061,40.83387407245489,-39.14067194569852,43
Northwest,ECMWF,Z500,Week-2 lead,0.853933177159023,14.916706221536089,-9.411946368118745,43
Northwest,NCEP,Z500,Week-2 lead,0.9484531860087237,34.57324309642371,-34.10087547834562,43
Central,Spire,Z500,Week-2 lead,0.45024576652239895,9.064270851528644,3.415278094878994,42
Central,FuXi-S2S,Z500,Week-2 lead,-0.286488413467112,34.444642909515444,-32.353188887524,42
Central,ECMWF,Z500,Week-2 lead,0.09208170657724261,22.195792621614274,-18.652008615079147,42
Central,NCEP,Z500,Week-2 lead,0.6432004128640461,34.54788084554307,-34.19489180538079,42
S. Peninsula,Spire,Z500,Week-2 lead,0.8090139551136694,9.517359505714708,7.494222191511019,22
S. Peninsula,FuXi-S2S,Z500,Week-2 lead,-0.9066964968083467,18.25247518871015,-15.11741621329756,22
S. Peninsula,ECMWF,Z500,Week-2 lead,-0.8515935873677538,11.497914991676092,-8.393327132639744,22
S. Peninsula,NCEP,Z500,Week-2 lead,-0.32006574202451116,25.828464143823016,-24.869956332549616,22
East/NE,Spire,Z500,Week-2 lead,0.7299588681813045,14.625411341142069,9.64958829913399,19
East/NE,FuXi-S2S,Z500,Week-2 lead,0.6365996484342682,39.8834353262403,-38.19849322492057,19
East/NE,ECMWF,Z500,Week-2 lead,0.767517805592214,24.30527828565481,-20.564618558114365,19
East/NE,NCEP,Z500,Week-2 lead,0.7922677087681478,31.43596081390248,-30.417548079989977,19
Northwest,Spire,TP,Week-2 lead,0.9934859379886093,0.5604671981541115,0.40898196610878335,43
Northwest,FuXi-S2S,TP,Week-2 lead,0.9999752690455876,0.01289169622565361,-0.00657599619561655,43
