Lead,Init,Variable,Model,PCC,RMSE,Bias
1,2026-02-12,Z500,SPIRE,0.9930704537038487,7.729759063284057,7.220039397233524
1,2026-02-12,Z500,FuXi,0.9806698599995449,7.271229517293009,-5.556873707783653
1,2026-02-12,Z500,ECMWF,0.9936550029985056,2.8781466468021186,0.9930082731856843
1,2026-02-12,Z500,NCEP,0.9730720825234329,21.968868130035073,-21.13308730806382
1,2026-02-12,TP,SPIRE,0.9859561951567729,0.43625195523082544,0.22738118698229892
1,2026-02-12,TP,FuXi,0.9999868174564498,0.010020264843873278,0.0002628077736651855
1,2026-02-12,TP,ECMWF,0.9940169612240846,0.23874768762406168,0.10532867754023403
1,2026-02-12,TP,NCEP,0.9816695840400897,0.3740069771996242,0.153046694000958
1,2026-02-12,T2M,SPIRE,0.8325514252128565,0.7562928243863126,0.07236418063342633
1,2026-02-12,T2M,FuXi,0.12191627952976788,5.45322199771363,-4.838808459770753
1,2026-02-12,T2M,ECMWF,0.12429939265395865,5.807960615394036,-5.160079584037335
1,2026-02-12,T2M,NCEP,0.28216476424154946,5.48078256642281,-4.350880952165413
2,2026-02-05,Z500,SPIRE,0.910542019076458,12.404185271473258,7.911732070837326
2,2026-02-05,Z500,FuXi,0.6823714063300228,35.284016923484614,-32.23729477508904
2,2026-02-05,Z500,ECMWF,0.847207079614612,18.776811658586638,-14.029393824129128
2,2026-02-05,Z500,NCEP,0.9316442100031321,32.64909768606879,-31.87327462223888
2,2026-02-05,TP,SPIRE,0.9936140319647451,0.4880791743947933,0.288705259576904
2,2026-02-05,TP,FuXi,0.9999804498813866,0.010650637664146066,-0.00032851440492255926
2,2026-02-05,TP,ECMWF,0.9957351095388387,0.28563860503757516,0.16197226596933864
2,2026-02-05,TP,NCEP,0.9531004252079255,0.6694392058875988,0.42525234984461896
2,2026-02-05,T2M,SPIRE,0.7362142034181816,1.1309974389025,0.1637267276951738
2,2026-02-05,T2M,FuXi,0.14162450123927497,6.067234572704325,-5.480802027599295
2,2026-02-05,T2M,ECMWF,0.0005350202033354472,6.421616281715425,-5.813400820933739
2,2026-02-05,T2M,NCEP,0.05148640265853194,5.385925702852823,-4.359929814779097
3,2026-01-29,Z500,SPIRE,0.9709022153747171,5.112551710754783,-1.6633356427627168
3,2026-01-29,Z500,FuXi,0.9078833674323135,31.51670538409766,-28.471454282095912
3,2026-01-29,Z500,ECMWF,0.8744909500198131,18.571147290371826,-15.877705360440455
3,2026-01-29,Z500,NCEP,0.9325193774930429,43.46451370866707,-42.45700458733568
3,2026-01-29,TP,SPIRE,0.9894909803836861,0.6284514170817286,0.3727449753359282
3,2026-01-29,TP,FuXi,0.9999816127236163,0.011147174341476277,0.0015391459045321155
3,2026-01-29,TP,ECMWF,0.962363612987029,0.611290493160332,0.3250633214589959
3,2026-01-29,TP,NCEP,0.8354028921922213,1.048767170138422,0.4744959534721372
3,2026-01-29,T2M,SPIRE,0.7042689306880356,1.056264013885016,0.03666129570712056
3,2026-01-29,T2M,FuXi,0.03218418463570802,5.181241426309797,-4.497283093386819
3,2026-01-29,T2M,ECMWF,-0.15275091132686613,6.442023841381722,-5.746344190488386
3,2026-01-29,T2M,NCEP,0.03695870406617983,5.705450457691532,-4.799790836451932
4,2026-01-22,Z500,SPIRE,0.9595480625966714,9.460534147203273,-7.697871475024074
4,2026-01-22,Z500,FuXi,0.20600722097999308,42.28348831584095,-37.72999531506841
4,2026-01-22,Z500,ECMWF,0.9196038764513607,29.894832119050864,-27.61365765517873
4,2026-01-22,Z500,NCEP,0.9416530870304508,32.39572600017842,-31.71576747075054
4,2026-01-22,TP,SPIRE,0.9891187978843596,0.725972129978295,0.5088939852530624
4,2026-01-22,TP,FuXi,0.9999534757000301,0.024229117727532123,0.012813036302338187
4,2026-01-22,TP,ECMWF,0.9557739939993282,0.7069689639923765,0.3925851713586445
4,2026-01-22,TP,NCEP,0.9649416435685381,0.5517102454492592,0.2548921278519917
4,2026-01-22,T2M,SPIRE,0.6944730075512011,0.9723052101778019,-0.29577046540413215
4,2026-01-22,T2M,FuXi,-0.04625129609199423,4.993856675986382,-4.236603361962233
4,2026-01-22,T2M,ECMWF,-0.2496248792243052,6.650074751547171,-5.93522730516455
4,2026-01-22,T2M,NCEP,0.13266558004714965,5.895447781115968,-4.9806672290484295
5,2026-01-15,Z500,SPIRE,0.9263984457919605,9.83118413437931,-3.463075930046764
5,2026-01-15,Z500,FuXi,-0.8489971671305453,55.961949260247835,-46.34902491691174
5,2026-01-15,Z500,ECMWF,-0.09412830564206077,40.93534802738899,-35.1766996787544
5,2026-01-15,Z500,NCEP,0.7882068394784385,52.67645609874711,-50.593245883188416
5,2026-01-15,TP,SPIRE,0.9207444871643389,1.222462952591904,0.7350340884982807
5,2026-01-15,TP,FuXi,0.9997963298417978,0.05934504972699091,0.03791977200233048
5,2026-01-15,TP,ECMWF,0.7940368187180132,1.286933990452743,0.7514422484260529
5,2026-01-15,TP,NCEP,0.8593158126543275,1.0843220801110274,0.6182591335650692
5,2026-01-15,T2M,SPIRE,0.6435199058074812,0.9480472788042323,-0.1514623206439329
5,2026-01-15,T2M,FuXi,-0.30250700299756134,5.380871100683294,-4.5243658549867
5,2026-01-15,T2M,ECMWF,-0.3025871994267817,6.540969609204073,-5.7684005485266265
5,2026-01-15,T2M,NCEP,-0.013471430664916325,5.854848174061278,-4.9513673821418775
6,2026-01-08,Z500,SPIRE,0.9562690532378594,22.049858489181698,-17.52297036141888
6,2026-01-08,Z500,FuXi,-0.7818928229298159,40.3407203566422,-31.025236661431347
6,2026-01-08,Z500,ECMWF,-0.19801413410091112,40.13912243344695,-33.99800669021714
6,2026-01-08,Z500,NCEP,0.8973283978352941,39.05970635547551,-37.83189593330626
6,2026-01-08,TP,SPIRE,0.8959496503203761,1.3661946639929028,0.8731660652507283
6,2026-01-08,TP,FuXi,0.9999239027410277,0.03308537483231396,0.01879038064649901
6,2026-01-08,TP,ECMWF,0.7559901396630074,1.4294441028066547,0.8931109588917815
6,2026-01-08,TP,NCEP,0.9160191992725981,0.9263025822007374,0.5888533142148192
6,2026-01-08,T2M,SPIRE,0.5929806950557929,1.1824713609065516,-0.6750588834762293
6,2026-01-08,T2M,FuXi,-0.17457178338555465,4.760569743466837,-3.9236042804347284
6,2026-01-08,T2M,ECMWF,-0.3135631821590663,6.81067753452128,-6.054266837813412
6,2026-01-08,T2M,NCEP,0.10403970092588558,5.236507475806206,-4.119880821356327
