season,variable,model,region,init_date,scale,lead,week,event,brier,brier_clim,briss_clim,base_rate
JJAS2019,TP,ECMWF,All India,2019-06-02,weekly,1,Week 1,tp_above_normal,0.029730852492143977,0.1130239061732419,0.7369507611374462,0.005738385186392351
JJAS2019,TP,ECMWF,All India,2019-06-06,weekly,1,Week 1,tp_above_normal,0.03567973597976702,0.1139776729798565,0.6869585503287756,0.008599685606236111
JJAS2019,TP,ECMWF,All India,2019-06-09,weekly,1,Week 1,tp_above_normal,0.03460515663182674,0.11516784925401088,0.6995241566463344,0.012170214428699318
JJAS2019,TP,ECMWF,All India,2019-06-13,weekly,1,Week 1,tp_above_normal,0.11154230223486443,0.1141709371011789,0.023023677768230666,0.009179477970203343
JJAS2019,TP,ECMWF,All India,2019-06-16,weekly,1,Week 1,tp_above_normal,0.085008879198973,0.11678155541407195,0.27206930154717224,0.01701133290888252
JJAS2019,TP,ECMWF,All India,2019-06-20,weekly,1,Week 1,tp_above_normal,0.1516489511496645,0.12200098452750059,-0.2430141587544392,0.03266962024916842
JJAS2019,TP,ECMWF,All India,2019-06-23,weekly,1,Week 1,tp_above_normal,0.14074983437165767,0.12321032793348123,-0.1423541900452181,0.036297650467110344
JJAS2019,TP,ECMWF,All India,2019-06-27,weekly,1,Week 1,tp_above_normal,0.21724350254551217,0.1272593227681499,-0.7070930272142171,0.048444634971116375
JJAS2019,TP,ECMWF,All India,2019-06-30,weekly,1,Week 1,tp_above_normal,0.2136384988617595,0.1320499897454483,-0.6178607758591177,0.06281663590301158
JJAS2019,TP,ECMWF,All India,2019-07-04,weekly,1,Week 1,tp_above_normal,0.2616736277503384,0.1360764064455917,-0.9229904329885801,0.07489588600344184
JJAS2019,TP,ECMWF,All India,2019-07-07,weekly,1,Week 1,tp_above_normal,0.09571466359730484,0.12357258459089338,0.22543771408372337,0.03738442043934678
JJAS2019,TP,ECMWF,All India,2019-07-11,weekly,1,Week 1,tp_above_normal,0.1668973299023467,0.11675746147940456,-0.4294360958831447,0.01693905110488038
