season,variable,model,region,init_date,scale,lead,week,pcc,rmse,bias,msss_clim,msss_pers,fcst_std,obs_std,fcst_mean,obs_mean,std_ratio
JJAS2019,TP,ECMWF,All India,2019-06-02,daily,1,Week 1,0.1520707041225965,5.173650374598466,-1.4628691343302078,-0.15136929469066196,-0.027802787206915314,3.854499172854396,4.555546486152577,0.9531908951388062,2.416060029469014,0.8461112590050076
JJAS2019,TP,ECMWF,All India,2019-06-06,daily,1,Week 1,0.1193867296908835,5.2539952187930155,-0.6095619755455454,-0.11083275291458672,0.06790141857953458,3.034129261120673,4.753208119599544,2.456290994314122,3.0658529698596673,0.63833292899792
JJAS2019,TP,ECMWF,All India,2019-06-09,daily,1,Week 1,0.07053201227655966,4.559551297873267,-0.22669327007359422,0.11962804055641574,0.17253259998080883,2.87012223253134,4.185884337762973,2.3330969922053013,2.5597902622788955,0.6856668748915301
JJAS2019,TP,ECMWF,All India,2019-06-13,daily,1,Week 1,0.1946599695919521,6.3926209624488735,0.9526150291840682,-0.31676336353600965,-0.48279638791496327,6.131760485935328,4.468919598573628,3.296695572875331,2.3440805436912635,1.3720901329020194
JJAS2019,TP,ECMWF,All India,2019-06-16,daily,1,Week 1,0.2593851720452186,7.294890067468115,0.1953137282249937,-0.009362610431201235,-0.13550138998938555,3.5492398804648744,6.6322181028269815,3.3836083371124506,3.188294608887456,0.5351512609261163
JJAS2019,TP,ECMWF,All India,2019-06-20,daily,1,Week 1,-0.15336905051406255,12.150190684078263,-2.2168422476382275,-1.1695552686396868,-0.427233422348432,7.736271115121056,8.248183990152446,4.6502673043216385,6.867109551959867,0.9379362929291386
JJAS2019,TP,ECMWF,All India,2019-06-23,daily,1,Week 1,-0.09280422159584988,11.120455501949674,3.5585504167666606,-1.4595683217648903,-1.1550825439927008,6.326506381305429,6.658439701162143,8.313293485214487,4.754743068447827,0.9501484830149053
JJAS2019,TP,ECMWF,All India,2019-06-27,daily,1,Week 1,0.058356842258781946,12.1988772455343,0.528482309210496,-0.2927628898135912,-0.26947561967626554,7.278674805621188,10.689235450973475,7.33805498314212,6.809572673931626,0.680935024680209
JJAS2019,TP,ECMWF,All India,2019-06-30,daily,1,Week 1,0.2806987358311211,11.413015994947218,-1.2272300613912939,-0.24437019902492985,0.11695525379673499,7.455308176374516,10.22989572018127,7.034915977456535,8.26214603884783,0.7287765565065223
JJAS2019,TP,ECMWF,All India,2019-07-04,daily,1,Week 1,0.11534872247993819,19.68883834744905,-2.2934116778625873,-0.4152434777920009,-0.28401977924481425,13.167751253827381,15.57381346559612,11.825966102060846,14.119377779923433,0.8455059053401446
JJAS2019,TP,ECMWF,All India,2019-07-07,daily,1,Week 1,0.1825791353005553,14.094026768640026,0.9702709050350619,-0.1657041309115468,0.0987567066560816,8.358650873942713,12.614420906296687,13.111303630768207,12.141032725733147,0.6626266029992991
JJAS2019,TP,ECMWF,All India,2019-07-11,daily,1,Week 1,0.47813700996485575,16.899172968241107,8.704394009341543,-0.9582960454054004,-0.6554501032910316,14.879194974754462,11.711661816634502,14.819265614832293,6.114871605490752,1.270459752656194
JJAS2019,TP,ECMWF,All India,2019-07-14,daily,1,Week 1,0.4387200754027321,10.71727848012637,2.914589162567118,-0.3556024605251138,0.28024837191635266,10.338574713006084,8.326531875672572,8.197836725742151,5.283247563175034,1.2416423629160718
JJAS2019,TP,ECMWF,All India,2019-07-18,daily,1,Week 1,0.1827514609513075,12.952091123283639,-3.628042210010852,-0.19179935435100104,0.25206171734083715,6.2592041068030815,11.847986027507485,5.100198410578455,8.728240620589307,0.5282926644470275
JJAS2019,TP,ECMWF,All India,2019-07-21,daily,1,Week 1,0.3857285692968749,14.806637718857012,0.06546619197212261,-0.05726977936533695,-0.16184981177919466,8.380021563448294,14.39312640867338,9.014633495357504,8.949167303385384,0.5822238564095737
JJAS2019,TP,ECMWF,All India,2019-07-25,daily,1,Week 1,-0.09868370566129527,17.39338953634075,-5.78350223055637,-0.9681275788173866,-0.28529995014623766,10.586307345809592,10.968650669160686,9.382558093866809,15.166060324423176,0.9651421733736051
JJAS2019,TP,ECMWF,All India,2019-07-28,daily,1,Week 1,0.136178684931613,29.426216259464553,1.4403572291194506,-0.028968016748399217,0.022955574786542532,9.724927924860856,28.572642563835085,15.780272864405031,14.33991563528558,0.34035801564850265
JJAS2019,TP,ECMWF,All India,2019-08-01,daily,1,Week 1,0.06974887695281506,19.91206265380248,-2.2697019004228394,-0.37685909015461583,-0.6710643506228975,11.317968404927766,15.954817504397939,12.699368720465703,14.969070620888543,0.7093762371025537
JJAS2019,TP,ECMWF,All India,2019-08-04,daily,1,Week 1,0.17695165328131515,19.276188995311713,3.0453648644553866,-0.6151960458526793,-0.15092714097136795,11.499006119791508,15.021101733468342,14.20297697786411,11.157612113408726,0.7655234831524179
JJAS2019,TP,ECMWF,All India,2019-08-08,daily,1,Week 1,-0.16200336427366455,34.146050530402036,5.063879234013951,-0.36895785228823375,-0.4134770827330392,12.343571161298154,28.884668976804623,18.073316468622842,13.00943723460889,0.4273398864709325
JJAS2019,TP,ECMWF,All India,2019-08-11,daily,1,Week 1,-0.07892666671861025,25.076665245053828,-1.1987349006993937,-1.793091338249969,-0.6869873585494959,17.59159184453135,14.840870630298992,9.678571071476753,10.877305972176147,1.1853476984440865
JJAS2019,TP,ECMWF,All India,2019-08-15,daily,1,Week 1,-0.33386087374679246,21.931687522832213,6.9266965556312785,-1.512299165128367,-0.7834657719197997,12.113083555579422,13.80309338005251,16.28328396485635,9.35658740922507,0.8775629652034811
JJAS2019,TP,ECMWF,All India,2019-08-18,daily,1,Week 1,0.11787680801455251,12.19287593910629,4.206011935350343,-1.8554395884499728,-0.11069587667666392,9.990713861602693,6.886952078193025,10.2129554668496,6.006943531499254,1.4506727719563313
JJAS2019,TP,ECMWF,All India,2019-08-22,daily,1,Week 1,0.2535528012027595,8.962436668298167,-1.1230078337195388,-0.3316288794227804,0.2680323238189162,6.433748565088179,7.7666347248957415,6.70084047418733,7.823848307906868,0.8283830504433238
JJAS2019,TP,ECMWF,All India,2019-08-25,daily,1,Week 1,0.33329080182480725,11.471645807558762,1.0588571995342138,-0.11288201360978678,0.05410874279285405,8.867735716902477,10.846984234235567,9.42967643618131,8.370819236647094,0.8175300641549631
JJAS2019,TP,ECMWF,All India,2019-08-29,daily,1,Week 1,0.21394228583836677,8.317520834707311,0.20875833956297377,-1.0937202350474577,-0.5123409672391237,7.312645138622684,5.747891721872125,7.422567334336006,7.213808994773034,1.272230844362689
JJAS2019,TP,ECMWF,All India,2019-09-01,daily,1,Week 1,-0.05343882717535145,9.53454132325974,1.3692226475961033,-1.0494399074788823,-0.45605217148702404,5.259479600640532,6.551085982031861,9.58120812821771,8.211985480621607,0.8028408747902391
JJAS2019,TP,ECMWF,All India,2019-09-05,daily,1,Week 1,0.5423577768158118,18.874778393346755,-0.6003975512958616,0.27151136208087767,0.18939375323763374,7.240154354327569,21.29381010642715,11.998976748436569,12.599374299732432,0.34001215931489215
JJAS2019,TP,ECMWF,All India,2019-09-08,daily,1,Week 1,-0.000894947454324301,16.750408853574605,5.422938885662903,-0.7419886915087726,-0.18965331735937796,8.862638785469228,12.584375862291203,13.392123885035591,7.96918499937269,0.7042573173633445
JJAS2019,TP,ECMWF,All India,2019-09-12,daily,1,Week 1,0.48297708258094935,14.072836617544777,0.9985229333003502,0.23089115456260012,0.2924431712623049,9.403137568534776,15.608744064840808,10.631625789378027,9.633102856077677,0.6024275578786408
JJAS2019,TP,ECMWF,All India,2019-09-15,daily,1,Week 1,0.28799798044612523,11.401824410427526,2.0144021335432343,-1.169696990141936,-0.25325542074132223,10.67695162325197,7.496326143542349,9.54438391958584,7.529981786042605,1.4242912353072505
JJAS2019,TP,ECMWF,All India,2019-09-19,daily,1,Week 1,0.07707538023362799,8.677716769335419,3.620260532823415,-1.739644036740979,0.10835829266207764,5.800358875522754,5.2150975805124915,8.268872987145397,4.648612454321982,1.1122244188099637
JJAS2019,TP,ECMWF,All India,2019-09-22,daily,1,Week 1,0.03716906713200349,10.09761911885864,-3.431307003252425,0.05742450200020055,-0.050995823358791936,4.34712770948264,9.147350396152724,6.388627628842988,9.81993463209541,0.47523353990145545
JJAS2019,TP,ECMWF,All India,2019-09-26,daily,1,Week 1,-0.23407137437981373,17.066450189312768,1.1096899329365633,-0.2952897272730457,-0.4896290586636305,7.843233754132861,13.747238288167797,11.5352771538851,10.42558722094854,0.5705315925805626
JJAS2019,TP,ECMWF,All India,2019-09-29,daily,1,Week 1,0.22703503849609183,17.03926119330921,5.281761449943668,-1.8944905312268063,-1.1468830732349504,14.415752527706674,9.78636900213298,11.530707575924556,6.248946125980891,1.473044039578387
JJAS2019,TP,ECMWF,All India,2019-06-02,daily,2,Week 1,0.4122170848308309,3.7477680835145826,0.042457421149496015,0.39220047297795124,0.07731528251715392,3.6967768303560735,4.218267164522386,1.8693032576502409,1.8268458365007452,0.8763733272865475
JJAS2019,TP,ECMWF,All India,2019-06-06,daily,2,Week 1,0.07010178373770584,5.7890479136396955,0.17456048402498053,-0.2908064804856967,-0.19041710688344327,3.084097063027414,4.251447554500453,2.0850495172372523,1.9104890332122713,0.7254228174031413
JJAS2019,TP,ECMWF,All India,2019-06-09,daily,2,Week 1,-0.03808769122066232,8.803137999132877,0.06803321404095448,-0.08219213189685726,-0.1538538516197474,3.2447283332470307,8.103749049852578,2.817680289730497,2.749647075689544,0.40039842217301364
JJAS2019,TP,ECMWF,All India,2019-06-13,daily,2,Week 1,-0.1975809448514337,9.264549404954645,-0.4737215835042982,-0.6429453231382452,-0.10029241917841447,6.003506949196983,6.792003232573247,2.8838485568672656,3.357570140371563,0.8839081407389833
JJAS2019,TP,ECMWF,All India,2019-06-16,daily,2,Week 1,-0.027608123353638523,8.242394415235873,-0.43881874792411835,-0.2530429866399857,-0.41688548548346205,4.88992821781636,6.806842300313069,3.052586170101647,3.4914049180257662,0.7183842378119228
JJAS2019,TP,ECMWF,All India,2019-06-20,daily,2,Week 1,-0.2265952918525538,15.17743641556337,-3.626395600147226,-0.4402383690841405,-0.07514678712567635,5.458981629973589,12.590574319098874,4.469408269170112,8.095803869317338,0.433576856116306
JJAS2019,TP,ECMWF,All India,2019-06-23,daily,2,Week 1,0.05947244837585514,9.161684007567047,0.8976899521323533,-0.6204794753352039,-0.46134314851920366,6.829986316213171,6.9404607453702996,6.324932613560485,5.4272426614281315,0.9840825511143736
JJAS2019,TP,ECMWF,All India,2019-06-27,daily,2,Week 1,-0.24257645233225367,17.200815281040992,1.319696309484215,-1.5689885975105775,-1.7122648013498982,10.608666394898188,10.66336493420308,7.9708480983176955,6.651151788833479,0.9948704241444982
JJAS2019,TP,ECMWF,All India,2019-06-30,daily,2,Week 1,0.2750569165309487,15.010531448452948,-3.2791799611024186,-0.02934240328986326,0.22485765419906256,7.698710636991471,14.577818767788017,7.459572858525597,10.738752819628015,0.5281112874035025
JJAS2019,TP,ECMWF,All India,2019-07-04,daily,2,Week 1,0.3376625730092772,17.26104791396154,-0.7302491819516914,-0.6327149097694051,-0.669891026091803,14.693395610657241,12.809186777705687,12.170648940838827,12.900898122790519,1.1470982401654888
JJAS2019,TP,ECMWF,All India,2019-07-07,daily,2,Week 1,0.2617782348360858,16.242921139707864,-0.849138830722601,0.014199508670660443,0.3165346958736931,6.587958023610672,15.947479442467602,11.660597372731617,12.50973620345422,0.4131034027902341
JJAS2019,TP,ECMWF,All India,2019-07-11,daily,2,Week 1,0.26713118807473185,16.5079376772977,6.501473497844151,-1.6400946564949979,-0.39508306682401084,13.269671543656335,9.337773087416089,11.609933873194453,5.108460375350301,1.4210745345203355
JJAS2019,TP,ECMWF,All India,2019-07-14,daily,2,Week 1,0.14979779607929805,14.255658424813365,3.204527354604842,-1.8763921985022844,-0.032360414821171135,12.280818408146164,6.85296308007084,7.587571436837282,4.383044082232442,1.7920450270424069
JJAS2019,TP,ECMWF,All India,2019-07-18,daily,2,Week 1,0.2743732654525385,11.219708888688062,-3.0370971774176514,0.003338151203335915,0.3128036865619581,4.923605260548583,11.100178158472097,4.5750964944780925,7.612193671895745,0.4435609221993155
JJAS2019,TP,ECMWF,All India,2019-07-21,daily,2,Week 1,0.3210134902701142,12.649638064544444,0.039897434848732746,-0.04943348563123351,0.12945685293764786,6.9280201436490705,12.281383461535874,8.157045237810621,8.11714780296189,0.5641074692722502
JJAS2019,TP,ECMWF,All India,2019-07-25,daily,2,Week 1,-0.07748672414618572,22.460876536763138,-3.07304732382767,-0.26406534580452634,0.0003876837188542259,8.94575923976191,19.145219857388447,12.00619621901098,15.079243542838654,0.4672581096690618
JJAS2019,TP,ECMWF,All India,2019-07-28,daily,2,Week 1,0.12425816215147255,17.953416654638954,2.4940534813224065,-0.45810198353595055,-0.19941768156460715,9.804063947532224,14.738582159135678,13.74814610110584,11.254092619783435,0.6651972246499435
JJAS2019,TP,ECMWF,All India,2019-08-01,daily,2,Week 1,0.07139635254871973,14.06792129835966,-0.7303829847189275,-0.2357199647895596,-0.3123867054815679,7.679051709311171,12.389614885500894,10.997200188078692,11.727583172797619,0.6197974497413701
JJAS2019,TP,ECMWF,All India,2019-08-04,daily,2,Week 1,-0.0065941442445608504,20.120140281924787,-4.474230782217155,-0.4954588444608856,-0.19670856720081886,10.02249606625543,15.157728917327816,10.930611544010155,15.404842326227309,0.6612135710382077
JJAS2019,TP,ECMWF,All India,2019-08-08,daily,2,Week 1,-0.23367608396090014,28.656281830045174,8.788290625384132,-0.7084505199610336,-0.44457401442633193,11.409413190620555,21.92028652367103,17.97161105539053,9.183320430006395,0.5204956230065646
JJAS2019,TP,ECMWF,All India,2019-08-11,daily,2,Week 1,0.037565273585171664,22.03486779969212,-8.74079188315285,-0.2744962944136973,-0.008520399227788467,5.787992039904581,18.58237153280367,5.8332504349333725,14.574042318086219,0.3114775759211882
JJAS2019,TP,ECMWF,All India,2019-08-15,daily,2,Week 1,-0.2492519839436616,22.577162731646176,6.340648790234129,-1.7935645961236584,-0.7252710075638087,13.780852392459195,13.441295657007029,15.996013665762653,9.655364875528525,1.0252622027010583
JJAS2019,TP,ECMWF,All India,2019-08-18,daily,2,Week 1,-0.07738905942745679,12.818820073921332,4.804907826917212,-2.0678052994912766,-0.2328607146486006,9.545994665427587,6.7963405586258325,10.171901494371323,5.36699366745411,1.4045786233169153
JJAS2019,TP,ECMWF,All India,2019-08-22,daily,2,Week 1,0.2577224831356829,9.304273776426331,0.31886183196374956,-0.28671367487150556,0.1638305616768947,6.65733179085645,8.202361938392299,8.110939183079157,7.792077351115408,0.8116359459457501
JJAS2019,TP,ECMWF,All India,2019-08-25,daily,2,Week 1,0.20718022653609566,11.805709232916891,4.022893099541614,-0.8745572070956866,-0.36511370669819065,9.785117658649769,8.38454906630816,9.530898731220978,5.508005631679361,1.1670416120491856
JJAS2019,TP,ECMWF,All India,2019-08-29,daily,2,Week 1,0.022023914576142566,9.938614042840765,-3.3623708267698067,-0.44965343028630067,-0.09552150525101522,5.07055683929551,7.929579293404168,6.12209285189946,9.484463678669266,0.6394484059845652
JJAS2019,TP,ECMWF,All India,2019-09-01,daily,2,Week 1,0.19598392574233375,9.29279294730883,-1.7562444395488854,-0.15965425742304773,0.04622751336541109,5.714371699036572,8.037291528125907,8.304358384663402,10.06060282421229,0.7109822605089725
JJAS2019,TP,ECMWF,All India,2019-09-05,daily,2,Week 1,0.32484530117070853,17.262271333452045,0.40220756128483987,0.09697897899426966,-0.12346985686028922,8.07794391259095,17.25347585938284,12.618129943993097,12.21592238270826,0.46819226331127806
JJAS2019,TP,ECMWF,All India,2019-09-08,daily,2,Week 1,0.3072918160869443,11.17200672564486,2.21359939079591,-0.35613300714136575,0.3461043797640231,7.943083181957288,9.401395892962649,10.34536753638184,8.131768145585932,0.8448833845943058
JJAS2019,TP,ECMWF,All India,2019-09-12,daily,2,Week 1,-0.005711362020879182,20.081092898248052,3.6487956172179863,-0.20783764470261068,0.029613277983775887,8.051402000051139,18.20716373773096,10.99135123938638,7.342555622168398,0.4422106658691769
JJAS2019,TP,ECMWF,All India,2019-09-15,daily,2,Week 1,0.0636398934087978,15.79247582139838,-1.1299550725159384,-0.11892731100592346,0.1184369452543943,6.829354399678136,14.553814191956093,7.6971921019751095,8.82714717449105,0.46924842584926824
JJAS2019,TP,ECMWF,All India,2019-09-19,daily,2,Week 1,0.18877991431913893,9.195666583398788,1.6159777854896424,-0.8997713514112167,0.003744815331653273,6.18129892263809,6.632057807701141,7.423342492274761,5.807364706785119,0.9320333299055943
JJAS2019,TP,ECMWF,All India,2019-09-22,daily,2,Week 1,-0.13216356064781656,10.782919894464873,-2.4721118926284604,-0.1534362684387338,-0.003242615283969519,5.5820722925158535,8.217888855241062,8.058756441644404,10.530868334272869,0.6792586746845348
JJAS2019,TP,ECMWF,All India,2019-09-26,daily,2,Week 1,0.21149536208057534,21.651591983819312,-0.719806014900299,0.16417314061582977,0.10047562697412804,7.3525550592063595,22.536074026495456,10.88871290489682,11.608518919797122,0.3262571400219057
