season,variable,model,region,init_date,scale,lead,week,crps,crps_clim,crps_pers,crpss_clim,crpss_pers,spread,rmse,ssr
JJAS2019,TP,ECMWF,All India,2019-06-02,daily,1,Week 1,1.8171006979447974,3.050660378780081,2.122328058757168,0.4043582463048764,0.14381723859934792,0.9034846030882404,5.173650374598466,0.17463194024941453
JJAS2019,TP,ECMWF,All India,2019-06-06,daily,1,Week 1,2.150083317317449,3.2323471546857494,2.6854474150454064,0.3348228966679535,0.19935750546763364,1.6981058650868446,5.2539952187930155,0.32320278081199805
JJAS2019,TP,ECMWF,All India,2019-06-09,daily,1,Week 1,1.4729727643501416,3.136592652394375,2.385178457974938,0.5303908005951231,0.3824475651181575,1.4326096634534724,4.559551297873267,0.3141997029667571
JJAS2019,TP,ECMWF,All India,2019-06-13,daily,1,Week 1,2.8626001568726918,3.3057421687613036,2.676199458460458,0.1340522004638558,-0.06965127274910388,1.6220111308802152,6.3926209624488735,0.2537317855083431
JJAS2019,TP,ECMWF,All India,2019-06-16,daily,1,Week 1,2.9364167782147192,3.7959076875758266,3.3211587484344545,0.22642566155501065,0.11584570307007969,1.8043260443013476,7.294890067468115,0.24734108774960425
JJAS2019,TP,ECMWF,All India,2019-06-20,daily,1,Week 1,6.64218427718592,4.273614222156227,5.925679581664824,-0.554231133626901,-0.12091519388562588,2.3971358803810547,12.150190684078263,0.19729203785437596
JJAS2019,TP,ECMWF,All India,2019-06-23,daily,1,Week 1,5.962888349466106,4.014821297201847,5.527921454543309,-0.4852188697967643,-0.07868543330428568,4.3567726909155935,11.120455501949674,0.3917800570445833
JJAS2019,TP,ECMWF,All India,2019-06-27,daily,1,Week 1,5.624245449739152,4.889700538710894,5.53399336609483,-0.15022288281521456,-0.016308672178262817,4.022683036572421,12.1988772455343,0.32975846511161705
JJAS2019,TP,ECMWF,All India,2019-06-30,daily,1,Week 1,5.1149589656332894,4.832266474689056,6.774839658040446,-0.05850101446701039,0.24500663870873962,4.259361874145245,11.413015994947218,0.37320212957126797
JJAS2019,TP,ECMWF,All India,2019-07-04,daily,1,Week 1,10.041527277298751,6.8785738026109176,9.716028091078757,-0.4598269300370468,-0.03350126030603673,4.842245267618661,19.68883834744905,0.24593859638479068
JJAS2019,TP,ECMWF,All India,2019-07-07,daily,1,Week 1,6.9074645777442605,6.244850412558293,9.269633865286654,-0.1061056905147737,0.25482875827365226,6.091400674330484,14.094026768640026,0.43219732545734774
JJAS2019,TP,ECMWF,All India,2019-07-11,daily,1,Week 1,7.413214069268671,5.521361298766474,8.836121566372316,-0.34264245140502836,0.16103303767558086,6.773399082713553,16.899172968241107,0.4008124596063318
JJAS2019,TP,ECMWF,All India,2019-07-14,daily,1,Week 1,3.809582711586145,4.823916899750944,7.4862665824197,0.2102719033607665,0.4911238239188087,3.534856536891743,10.71727848012637,0.3298278143510612
JJAS2019,TP,ECMWF,All India,2019-07-18,daily,1,Week 1,6.364382281756522,5.7224432416854984,8.37351048653003,-0.11217918867150622,0.23993857868876778,2.8000500264930506,12.952091123283639,0.21618517039765672
JJAS2019,TP,ECMWF,All India,2019-07-21,daily,1,Week 1,6.486397901633269,6.334571054905711,6.439645707429033,-0.023967975954737764,-0.00726005689261755,4.130524247783408,14.806637718857012,0.278964362214588
JJAS2019,TP,ECMWF,All India,2019-07-25,daily,1,Week 1,10.57708050524092,6.257843365811161,10.360550850607806,-0.6902117689661742,-0.020899434572092312,4.6998441514265235,17.39338953634075,0.27020864113960874
JJAS2019,TP,ECMWF,All India,2019-07-28,daily,1,Week 1,11.410877061291174,9.408152578942946,13.727463574314593,-0.2128711737552671,0.16875561173281672,8.098234102887476,29.426216259464553,0.27520473687413977
JJAS2019,TP,ECMWF,All India,2019-08-01,daily,1,Week 1,10.689786116034439,8.022584742801879,9.73558002542233,-0.3324616016833799,-0.09801224869195346,5.537122722667816,19.91206265380248,0.2780788117704334
JJAS2019,TP,ECMWF,All India,2019-08-04,daily,1,Week 1,8.651253630003776,6.304096795111176,11.609642348268054,-0.372322461278326,0.25482169299604784,7.534136432679329,19.276188995311713,0.3908519694692636
JJAS2019,TP,ECMWF,All India,2019-08-08,daily,1,Week 1,16.00229960048787,9.688331582882258,13.5684069894371,-0.6517084973393552,-0.17937939309644357,7.522579434599528,34.146050530402036,0.22030598906019241
JJAS2019,TP,ECMWF,All India,2019-08-11,daily,1,Week 1,10.70331012038518,6.559285503338959,12.157502742157462,-0.6317798813509083,0.1196127734958028,4.292523881733016,25.076665245053828,0.17117602519257147
JJAS2019,TP,ECMWF,All India,2019-08-15,daily,1,Week 1,11.752474117737334,6.53236823786324,11.070006807363848,-0.7991138419933301,-0.06165012562770089,7.169205071944267,21.931687522832213,0.32688798180626505
JJAS2019,TP,ECMWF,All India,2019-08-18,daily,1,Week 1,6.246288445010801,3.9948647835914746,8.221358537168074,-0.5635794409530042,0.24023646252965924,4.716701499678845,12.19287593910629,0.386840768595942
JJAS2019,TP,ECMWF,All India,2019-08-22,daily,1,Week 1,4.466246187871828,4.141022178827275,7.273914800852879,-0.07853713286236386,0.3859914076326336,3.039027903630688,8.962436668298167,0.3390850073596954
JJAS2019,TP,ECMWF,All India,2019-08-25,daily,1,Week 1,5.798364512223768,5.178622786234682,7.410554262583021,-0.11967307749010492,0.21755319416517016,3.7885264383735797,11.471645807558762,0.3302513433492942
JJAS2019,TP,ECMWF,All India,2019-08-29,daily,1,Week 1,4.5286947015271055,3.592492551265481,5.2196208635281796,-0.26059960790505765,0.13237094801825233,3.822041292186008,8.317520834707311,0.45951688828207227
JJAS2019,TP,ECMWF,All India,2019-09-01,daily,1,Week 1,5.455301404774512,3.7501922372182728,5.614293067005896,-0.4546724700227671,0.028319088500339706,4.680788360518235,9.53454132325974,0.49092957928656106
JJAS2019,TP,ECMWF,All India,2019-09-05,daily,1,Week 1,7.278524490118286,7.576105710420154,8.566839016560984,0.03927891606535727,0.1503838841785391,5.9634865539889494,18.874778393346755,0.3159500169862149
JJAS2019,TP,ECMWF,All India,2019-09-08,daily,1,Week 1,7.909541817920974,5.310236859258248,9.284906657664663,-0.48948945735460203,0.1481290970877267,6.668977954402095,16.750408853574605,0.398138219353309
JJAS2019,TP,ECMWF,All India,2019-09-12,daily,1,Week 1,6.303202872731791,6.523704365644967,9.667051739268754,0.03380004374115697,0.3479705040651221,5.4921864172168355,14.072836617544777,0.3902686122547362
JJAS2019,TP,ECMWF,All India,2019-09-15,daily,1,Week 1,4.970000063138567,4.000672472593163,6.91358683564639,-0.24229116409449625,0.28112567596413307,4.967579448506093,11.401824410427526,0.4356828582593325
JJAS2019,TP,ECMWF,All India,2019-09-19,daily,1,Week 1,4.7120173177968505,3.2315746825511447,5.465144536775037,-0.45811803243766613,0.13780554455794947,3.6592230390403677,8.677716769335419,0.4216803954665841
JJAS2019,TP,ECMWF,All India,2019-09-22,daily,1,Week 1,5.066467479093561,5.282245901430841,5.967631392287732,0.04084974958830123,0.15100864211532739,3.8874592735515625,10.09761911885864,0.3849877112408823
JJAS2019,TP,ECMWF,All India,2019-09-26,daily,1,Week 1,10.40620692948062,6.788053763489371,8.58915897675116,-0.5330177532552942,-0.2115513239011857,4.916111726405544,17.066450189312768,0.28805707524837687
JJAS2019,TP,ECMWF,All India,2019-09-29,daily,1,Week 1,7.421103902560916,4.4404838439476215,8.006653797665049,-0.6712376766500072,0.0731329104394266,4.498556854356276,17.03926119330921,0.26401126218563514
JJAS2019,TP,ECMWF,All India,2019-06-02,daily,2,Week 1,1.4241865936800189,3.046006830611377,1.675889117889101,0.5324414313955546,0.15019044012059646,1.514317435403482,3.7477680835145826,0.40405846937662837
JJAS2019,TP,ECMWF,All India,2019-06-06,daily,2,Week 1,1.5811369167035447,3.089825825626125,1.7839799573268653,0.4882763605669773,0.11370253336660952,1.4162107501699261,5.7890479136396955,0.24463621156652768
JJAS2019,TP,ECMWF,All India,2019-06-09,daily,2,Week 1,2.872924377349127,4.150024920094616,3.0058598711767712,0.307733222651678,0.04422544613684909,1.61530130945611,8.803137999132877,0.1834915355882436
JJAS2019,TP,ECMWF,All India,2019-06-13,daily,2,Week 1,3.684866215347287,3.581320644577719,3.4682967063863894,-0.02891267804415687,-0.06244261298697862,1.5790545846457937,9.264549404954645,0.17044051638402635
JJAS2019,TP,ECMWF,All India,2019-06-16,daily,2,Week 1,3.315895201628676,3.8320775650057053,3.537661853088369,0.13470039544365564,0.06268735132672199,1.7918038693133334,8.242394415235873,0.2173887561120863
JJAS2019,TP,ECMWF,All India,2019-06-20,daily,2,Week 1,6.806635383893378,5.067878373504733,7.379604351376139,-0.34309367396798707,0.07764223394658198,3.6797407307272514,15.17743641556337,0.24244810717532914
JJAS2019,TP,ECMWF,All India,2019-06-23,daily,2,Week 1,4.407840852238535,4.039731456774645,5.217873223947563,-0.09112224399138436,0.15524186520886774,3.939900143808682,9.161684007567047,0.4300410427334692
JJAS2019,TP,ECMWF,All India,2019-06-27,daily,2,Week 1,7.31185749105744,5.459325212681271,6.443459803249152,-0.3393335634361896,-0.13477195704245615,3.8074976843974464,17.200815281040992,0.22135565217040207
JJAS2019,TP,ECMWF,All India,2019-06-30,daily,2,Week 1,6.871220963860868,6.243372108147921,9.161995224163318,-0.10056245965118293,0.25003006487723267,6.068288814731307,15.010531448452948,0.40426875194726913
JJAS2019,TP,ECMWF,All India,2019-07-04,daily,2,Week 1,8.186076825283944,6.211137088255369,8.231225751217048,-0.31796750079192204,0.005485079294104911,6.179185229933174,17.26104791396154,0.35798436228979824
JJAS2019,TP,ECMWF,All India,2019-07-07,daily,2,Week 1,7.146462560161858,7.175021594239199,12.162077431070855,0.003980341202076798,0.41239787358165003,6.2313004719387015,16.242921139707864,0.3836317629287446
JJAS2019,TP,ECMWF,All India,2019-07-11,daily,2,Week 1,6.226873295004162,4.963277891227751,9.511458173564467,-0.25458888892957776,0.3453292669350393,5.9950052498197115,16.5079376772977,0.36315894613924155
JJAS2019,TP,ECMWF,All India,2019-07-14,daily,2,Week 1,5.016060901793184,4.498361697462722,8.17631599543414,-0.11508616673098282,0.3865133264670447,3.018735323233875,14.255658424813365,0.21175699033160555
JJAS2019,TP,ECMWF,All India,2019-07-18,daily,2,Week 1,5.3866408588737045,5.550697918648242,7.974540422331728,0.029556113875944923,0.32452021388103147,2.6201160279904343,11.219708888688062,0.2335279866870778
JJAS2019,TP,ECMWF,All India,2019-07-21,daily,2,Week 1,5.512477304309888,5.590202762154183,6.542840486910357,0.013903870959833253,0.1574794899343518,4.161355225536075,12.649638064544444,0.3289702997273811
