season,variable,model,region,init_date,scale,lead,week,event,brier,brier_clim,briss_clim,base_rate
JFM2026,T2M,ECMWF,All India,2026-01-01,weekly,1,Week 1,t2m_above_normal,0.027263634425294104,0.11168782855533009,0.7558943102579193,0.0017301523326568897
JFM2026,T2M,ECMWF,All India,2026-01-08,weekly,1,Week 1,t2m_above_normal,0.04703253718645696,0.11663615993502847,0.5967585248635057,0.016575146471752088
JFM2026,T2M,ECMWF,All India,2026-01-15,weekly,1,Week 1,t2m_above_normal,0.09670681626151753,0.121200296112505,0.20209092416945285,0.03026755500418171
JFM2026,T2M,ECMWF,All India,2026-01-22,weekly,1,Week 1,t2m_above_normal,0.0978088306118632,0.11896402566244481,0.17782850683456652,0.02355874365400103
JFM2026,T2M,ECMWF,All India,2026-01-29,weekly,1,Week 1,t2m_above_normal,0.08552255338898043,0.11790511729209241,0.2746493506544673,0.020382018542943817
JFM2026,T2M,ECMWF,All India,2026-02-05,weekly,1,Week 1,t2m_above_normal,0.03559078304788609,0.11363423534190467,0.6867952431694557,0.0075693726923806385
JFM2026,T2M,ECMWF,All India,2026-02-12,weekly,1,Week 1,t2m_above_normal,0.12416023482530296,0.12099128535667357,-0.026191551393867307,0.029640522736687346
JFM2026,T2M,ECMWF,All India,2026-02-19,weekly,1,Week 1,t2m_above_normal,0.15571504424838437,0.12458159882755064,-0.24990404452851434,0.040411463149318545
JFM2026,T2M,ECMWF,All India,2026-02-26,weekly,1,Week 1,t2m_above_normal,0.1685309637194358,0.12486832932574563,-0.3496694047998903,0.041271654643903546
JFM2026,T2M,ECMWF,All India,2026-03-05,weekly,1,Week 1,t2m_above_normal,0.42095431086453144,0.15221005914379765,-1.7656142651310751,0.1232968440980596
JFM2026,T2M,ECMWF,All India,2026-03-12,weekly,1,Week 1,t2m_above_normal,0.06077405152062973,0.11699055210899727,0.4805217137191726,0.017638322993658383
JFM2026,T2M,ECMWF,All India,2026-03-19,weekly,1,Week 1,t2m_above_normal,0.016893846897250212,0.11227354344301059,0.8495295830239344,0.003487296995698444
JFM2026,T2M,ECMWF,All India,2026-03-26,weekly,1,Week 1,t2m_above_normal,0.0715856614936757,0.11522609426158033,0.37873741228123525,0.012344949451407593
JFM2026,T2M,ECMWF,All India,2026-01-01,weekly,2,Week 2,t2m_above_normal,0.04781609636833858,0.11663615993502847,0.5900405466454463,0.016575146471752088
JFM2026,T2M,ECMWF,All India,2026-01-08,weekly,2,Week 2,t2m_above_normal,0.0943259975551774,0.121200296112505,0.2217345948757531,0.03026755500418171
JFM2026,T2M,ECMWF,All India,2026-01-15,weekly,2,Week 2,t2m_above_normal,0.09356707776248256,0.11896402566244481,0.21348426768967088,0.02355874365400103
JFM2026,T2M,ECMWF,All India,2026-01-22,weekly,2,Week 2,t2m_above_normal,0.08346719860877809,0.11790511729209241,0.29208162863702936,0.020382018542943817
JFM2026,T2M,ECMWF,All India,2026-01-29,weekly,2,Week 2,t2m_above_normal,0.03236122446051547,0.11363423534190467,0.715215891028382,0.0075693726923806385
JFM2026,T2M,ECMWF,All India,2026-02-05,weekly,2,Week 2,t2m_above_normal,0.12418164454701755,0.12099128535667357,-0.026368503987200587,0.029640522736687346
JFM2026,T2M,ECMWF,All India,2026-02-12,weekly,2,Week 2,t2m_above_normal,0.15564010507482068,0.12458159882755064,-0.2493025177037751,0.040411463149318545
JFM2026,T2M,ECMWF,All India,2026-02-19,weekly,2,Week 2,t2m_above_normal,0.16363888435990712,0.12486832932574563,-0.310491501275878,0.041271654643903546
JFM2026,T2M,ECMWF,All India,2026-02-26,weekly,2,Week 2,t2m_above_normal,0.43867271399515473,0.15221005914379765,-1.8820218352370968,0.1232968440980596
JFM2026,T2M,ECMWF,All India,2026-03-05,weekly,2,Week 2,t2m_above_normal,0.05110799240718501,0.11699055210899727,0.563144275449107,0.017638322993658383
JFM2026,T2M,ECMWF,All India,2026-03-12,weekly,2,Week 2,t2m_above_normal,0.02338138272980131,0.11227354344301059,0.7917462831154913,0.003487296995698444
JFM2026,T2M,ECMWF,All India,2026-03-19,weekly,2,Week 2,t2m_above_normal,0.06562631458366174,0.11522609426158033,0.43045613926060655,0.012344949451407593
JFM2026,T2M,ECMWF,All India,2026-03-26,weekly,2,Week 2,t2m_above_normal,0.03743846522477447,0.1122910974690455,0.6665945380479084,0.0035399590738031733
JFM2026,T2M,ECMWF,All India,2026-01-01,weekly,3,Week 3,t2m_above_normal,0.09872491155735372,0.121200296112505,0.18544001356472228,0.03026755500418171
JFM2026,T2M,ECMWF,All India,2026-01-08,weekly,3,Week 3,t2m_above_normal,0.09374150684158986,0.11896402566244481,0.21201803385859475,0.02355874365400103
JFM2026,T2M,ECMWF,All India,2026-01-15,weekly,3,Week 3,t2m_above_normal,0.08235511145626241,0.11790511729209241,0.3015136802566435,0.020382018542943817
JFM2026,T2M,ECMWF,All India,2026-01-22,weekly,3,Week 3,t2m_above_normal,0.02980229360695124,0.11363423534190467,0.7377349042981494,0.0075693726923806385
JFM2026,T2M,ECMWF,All India,2026-01-29,weekly,3,Week 3,t2m_above_normal,0.12461200260595115,0.12099128535667357,-0.02992543833718253,0.029640522736687346
JFM2026,T2M,ECMWF,All India,2026-02-05,weekly,3,Week 3,t2m_above_normal,0.15437710732163207,0.12458159882755064,-0.23916460195157074,0.040411463149318545
JFM2026,T2M,ECMWF,All India,2026-02-12,weekly,3,Week 3,t2m_above_normal,0.15898842753646072,0.12486832932574563,-0.2732486163221224,0.041271654643903546
JFM2026,T2M,ECMWF,All India,2026-02-19,weekly,3,Week 3,t2m_above_normal,0.48045132942151164,0.15221005914379765,-2.156501824676476,0.1232968440980596
JFM2026,T2M,ECMWF,All India,2026-02-26,weekly,3,Week 3,t2m_above_normal,0.06113184017756818,0.11699055210899727,0.4774634440513357,0.017638322993658383
JFM2026,T2M,ECMWF,All India,2026-03-05,weekly,3,Week 3,t2m_above_normal,0.026487263407713183,0.11227354344301059,0.7640827696762064,0.003487296995698444
JFM2026,T2M,ECMWF,All India,2026-03-12,weekly,3,Week 3,t2m_above_normal,0.061419752196143144,0.11522609426158033,0.46696316845808217,0.012344949451407593
JFM2026,T2M,ECMWF,All India,2026-03-19,weekly,3,Week 3,t2m_above_normal,0.033561629057989865,0.1122910974690455,0.7011194136094221,0.0035399590738031733
JFM2026,T2M,ECMWF,All India,2026-03-26,weekly,3,Week 3,t2m_above_normal,0.10197431099702214,0.11845315316466203,0.13911695659745416,0.022026126160652682
JFM2026,T2M,ECMWF,All India,2026-01-01,weekly,4,Week 4,t2m_above_normal,0.09269336780831462,0.11896402566244481,0.22082858837235408,0.02355874365400103
JFM2026,T2M,ECMWF,All India,2026-01-08,weekly,4,Week 4,t2m_above_normal,0.08352829733148782,0.11790511729209241,0.29156342616954545,0.020382018542943817
JFM2026,T2M,ECMWF,All India,2026-01-15,weekly,4,Week 4,t2m_above_normal,0.031373906832619224,0.11363423534190467,0.7239044488817928,0.0075693726923806385
JFM2026,T2M,ECMWF,All India,2026-01-22,weekly,4,Week 4,t2m_above_normal,0.1233237381073838,0.12099128535667357,-0.01927785744100774,0.029640522736687346
JFM2026,T2M,ECMWF,All India,2026-01-29,weekly,4,Week 4,t2m_above_normal,0.15346107216154697,0.12458159882755064,-0.2318117089986309,0.040411463149318545
JFM2026,T2M,ECMWF,All India,2026-02-05,weekly,4,Week 4,t2m_above_normal,0.15862592158190952,0.12486832932574563,-0.2703455106546675,0.041271654643903546
JFM2026,T2M,ECMWF,All India,2026-02-12,weekly,4,Week 4,t2m_above_normal,0.48644272007309125,0.15221005914379765,-2.195864470517901,0.1232968440980596
JFM2026,T2M,ECMWF,All India,2026-02-19,weekly,4,Week 4,t2m_above_normal,0.060653974465658365,0.11699055210899727,0.4815480962159361,0.017638322993658383
JFM2026,T2M,ECMWF,All India,2026-02-26,weekly,4,Week 4,t2m_above_normal,0.019252266476285734,0.11227354344301059,0.8285235694368365,0.003487296995698444
JFM2026,T2M,ECMWF,All India,2026-03-05,weekly,4,Week 4,t2m_above_normal,0.060011348100591055,0.11522609426158033,0.4791861297983737,0.012344949451407593
JFM2026,T2M,ECMWF,All India,2026-03-12,weekly,4,Week 4,t2m_above_normal,0.030767583694334487,0.1122910974690455,0.7260015763688126,0.0035399590738031733
JFM2026,T2M,ECMWF,All India,2026-03-19,weekly,4,Week 4,t2m_above_normal,0.10595654869649158,0.11845315316466203,0.10549828463239708,0.022026126160652682
JFM2026,T2M,ECMWF,All India,2026-03-26,weekly,4,Week 4,t2m_above_normal,0.15550005025489141,0.12409612632396376,-0.25306127484547725,0.03895504563855804
JFM2026,T2M,ECMWF,All India,2026-01-01,weekly,5,Week 5,t2m_above_normal,0.08225591629007568,0.11790511729209241,0.30235499375062,0.020382018542943817
JFM2026,T2M,ECMWF,All India,2026-01-08,weekly,5,Week 5,t2m_above_normal,0.030475112210957576,0.11363423534190467,0.7318139896901359,0.0075693726923806385
JFM2026,T2M,ECMWF,All India,2026-01-15,weekly,5,Week 5,t2m_above_normal,0.1231044337276213,0.12099128535667357,-0.017465294006244525,0.029640522736687346
JFM2026,T2M,ECMWF,All India,2026-01-22,weekly,5,Week 5,t2m_above_normal,0.154150759412489,0.12458159882755064,-0.23734773725186198,0.040411463149318545
JFM2026,T2M,ECMWF,All India,2026-01-29,weekly,5,Week 5,t2m_above_normal,0.157802618892837,0.12486832932574563,-0.2637521439177366,0.041271654643903546
JFM2026,T2M,ECMWF,All India,2026-02-05,weekly,5,Week 5,t2m_above_normal,0.488257170900867,0.15221005914379765,-2.207785172986465,0.1232968440980596
JFM2026,T2M,ECMWF,All India,2026-02-12,weekly,5,Week 5,t2m_above_normal,0.0602617738026957,0.11699055210899727,0.48490050934582085,0.017638322993658383
JFM2026,T2M,ECMWF,All India,2026-02-19,weekly,5,Week 5,t2m_above_normal,0.018558426254881584,0.11227354344301059,0.8347034779008135,0.003487296995698444
JFM2026,T2M,ECMWF,All India,2026-02-26,weekly,5,Week 5,t2m_above_normal,0.05753832103488711,0.11522609426158033,0.5006485171295785,0.012344949451407593
JFM2026,T2M,ECMWF,All India,2026-03-05,weekly,5,Week 5,t2m_above_normal,0.02677659140737137,0.1122910974690455,0.7615430607510744,0.0035399590738031733
JFM2026,T2M,ECMWF,All India,2026-03-12,weekly,5,Week 5,t2m_above_normal,0.10459428784695154,0.11845315316466203,0.11699870326326589,0.022026126160652682
JFM2026,T2M,ECMWF,All India,2026-03-19,weekly,5,Week 5,t2m_above_normal,0.15732318846249,0.12409612632396376,-0.2677526134198911,0.03895504563855804
JFM2026,T2M,ECMWF,All India,2026-03-26,weekly,5,Week 5,t2m_above_normal,0.25893435349516236,0.13377754106182946,-0.9355592234685177,0.067999289852155
JFM2026,T2M,ECMWF,All India,2026-01-01,weekly,6,Week 6,t2m_above_normal,0.029833046821345275,0.11363423534190467,0.7374642709427921,0.0075693726923806385
JFM2026,T2M,ECMWF,All India,2026-01-08,weekly,6,Week 6,t2m_above_normal,0.12327939408710314,0.12099128535667357,-0.018911351538124288,0.029640522736687346
JFM2026,T2M,ECMWF,All India,2026-01-15,weekly,6,Week 6,t2m_above_normal,0.15320685085734834,0.12458159882755064,-0.22977110824706615,0.040411463149318545
JFM2026,T2M,ECMWF,All India,2026-01-22,weekly,6,Week 6,t2m_above_normal,0.15773740932926641,0.12486832932574563,-0.26322991731373935,0.041271654643903546
JFM2026,T2M,ECMWF,All India,2026-01-29,weekly,6,Week 6,t2m_above_normal,0.4941511234149999,0.15221005914379765,-2.2465076631246803,0.1232968440980596
JFM2026,T2M,ECMWF,All India,2026-02-05,weekly,6,Week 6,t2m_above_normal,0.06171222677612171,0.11699055210899727,0.47250247422863756,0.017638322993658383
JFM2026,T2M,ECMWF,All India,2026-02-12,weekly,6,Week 6,t2m_above_normal,0.01968161749862482,0.11227354344301059,0.8246994180902903,0.003487296995698444
JFM2026,T2M,ECMWF,All India,2026-02-19,weekly,6,Week 6,t2m_above_normal,0.057171422687140705,0.11522609426158033,0.5038326773677402,0.012344949451407593
JFM2026,T2M,ECMWF,All India,2026-02-26,weekly,6,Week 6,t2m_above_normal,0.027926706409221323,0.1122910974690455,0.7513007973145895,0.0035399590738031733
JFM2026,T2M,ECMWF,All India,2026-03-05,weekly,6,Week 6,t2m_above_normal,0.10416556382853578,0.11845315316466203,0.12061805831597427,0.022026126160652682
JFM2026,T2M,ECMWF,All India,2026-03-12,weekly,6,Week 6,t2m_above_normal,0.157449528937673,0.12409612632396376,-0.26877069898730976,0.03895504563855804
JFM2026,T2M,ECMWF,All India,2026-03-19,weekly,6,Week 6,t2m_above_normal,0.2584583119961113,0.13377754106182946,-0.9320007674281945,0.067999289852155
