season,variable,model,region,init_date,scale,lead,week,event,brier,brier_clim,briss_clim,base_rate
JFM2026,TP,ECMWF,All India,2026-01-01,weekly,1,Week 1,tp_above_normal,0.006732977122841264,0.11111111111111113,0.9394032058944286,0.0
JFM2026,TP,ECMWF,All India,2026-01-08,weekly,1,Week 1,tp_above_normal,0.04182927730077859,0.11783783609151682,0.6450267699392191,0.02018017494121705
JFM2026,TP,ECMWF,All India,2026-01-15,weekly,1,Week 1,tp_above_normal,0.01804752781801057,0.1128446179238586,0.8400674471671474,0.0052005204382424
JFM2026,TP,ECMWF,All India,2026-01-22,weekly,1,Week 1,tp_above_normal,0.11173962953471221,0.13044848693566324,0.1434195048209197,0.05801212747365638
JFM2026,TP,ECMWF,All India,2026-01-29,weekly,1,Week 1,tp_above_normal,0.05187149721577361,0.1136357287100648,0.5435282740332414,0.00757385279686101
JFM2026,TP,ECMWF,All India,2026-02-05,weekly,1,Week 1,tp_above_normal,0.000431660844245773,0.11111111111111113,0.996115052401788,0.0
JFM2026,TP,ECMWF,All India,2026-02-12,weekly,1,Week 1,tp_above_normal,0.009641820708541719,0.11173271923963873,0.9137063809584511,0.001864824385582816
JFM2026,TP,ECMWF,All India,2026-02-19,weekly,1,Week 1,tp_above_normal,0.05094633255592793,0.11313350700983875,0.5496795432011372,0.006067187696182865
JFM2026,TP,ECMWF,All India,2026-02-26,weekly,1,Week 1,tp_above_normal,0.0002668568302972911,0.11111111111111113,0.9975982885273244,0.0
JFM2026,TP,ECMWF,All India,2026-03-05,weekly,1,Week 1,tp_above_normal,0.034568043484524115,0.11637958076799142,0.702971575800421,0.015805408970640835
JFM2026,TP,ECMWF,All India,2026-03-12,weekly,1,Week 1,tp_above_normal,0.22004670225955716,0.13561449851632507,-0.622589801731769,0.07351016221564176
JFM2026,TP,ECMWF,All India,2026-03-19,weekly,1,Week 1,tp_above_normal,0.20686852589556232,0.12671440116357263,-0.6325573415173278,0.046809870157384595
JFM2026,TP,ECMWF,All India,2026-03-26,weekly,1,Week 1,tp_above_normal,0.1673057974597115,0.12637078918041456,-0.3239277727454535,0.045779034207910296
JFM2026,TP,ECMWF,All India,2026-01-01,weekly,2,Week 2,tp_above_normal,0.040678879762958205,0.11783783609151682,0.6547893179965931,0.02018017494121705
JFM2026,TP,ECMWF,All India,2026-01-08,weekly,2,Week 2,tp_above_normal,0.025956540404824587,0.1128446179238586,0.7699798104475071,0.0052005204382424
JFM2026,TP,ECMWF,All India,2026-01-15,weekly,2,Week 2,tp_above_normal,0.11333750488252911,0.13044848693566324,0.13117041412349395,0.05801212747365638
JFM2026,TP,ECMWF,All India,2026-01-22,weekly,2,Week 2,tp_above_normal,0.04032558107423914,0.1136357287100648,0.6451329037795182,0.00757385279686101
JFM2026,TP,ECMWF,All India,2026-01-29,weekly,2,Week 2,tp_above_normal,0.0014989606607557198,0.11111111111111113,0.9865093540531985,0.0
JFM2026,TP,ECMWF,All India,2026-02-05,weekly,2,Week 2,tp_above_normal,0.009634722410646465,0.11173271923963873,0.9137699102267225,0.001864824385582816
JFM2026,TP,ECMWF,All India,2026-02-12,weekly,2,Week 2,tp_above_normal,0.11049462770823615,0.11313350700983875,0.023325355779637458,0.006067187696182865
JFM2026,TP,ECMWF,All India,2026-02-19,weekly,2,Week 2,tp_above_normal,0.014778085444718501,0.11111111111111113,0.8669972309975336,0.0
JFM2026,TP,ECMWF,All India,2026-02-26,weekly,2,Week 2,tp_above_normal,0.039023464098050145,0.11637958076799142,0.6646880505967332,0.015805408970640835
JFM2026,TP,ECMWF,All India,2026-03-05,weekly,2,Week 2,tp_above_normal,0.250929821976319,0.13561449851632507,-0.850317073186039,0.07351016221564176
JFM2026,TP,ECMWF,All India,2026-03-12,weekly,2,Week 2,tp_above_normal,0.24527212137539023,0.12671440116357263,-0.9356294085214059,0.046809870157384595
JFM2026,TP,ECMWF,All India,2026-03-19,weekly,2,Week 2,tp_above_normal,0.20598162532945205,0.12637078918041456,-0.6299781513224569,0.045779034207910296
JFM2026,TP,ECMWF,All India,2026-03-26,weekly,2,Week 2,tp_above_normal,0.21776296297512907,0.14400134143146964,-0.512228711277406,0.09867069096107552
JFM2026,TP,ECMWF,All India,2026-01-01,weekly,3,Week 3,tp_above_normal,0.07623380095791273,0.1128446179238586,0.3244356500072414,0.0052005204382424
JFM2026,TP,ECMWF,All India,2026-01-08,weekly,3,Week 3,tp_above_normal,0.17722510030827038,0.13044848693566324,-0.35858302745724613,0.05801212747365638
JFM2026,TP,ECMWF,All India,2026-01-15,weekly,3,Week 3,tp_above_normal,0.1034192603431645,0.1136357287100648,0.0899054239619218,0.00757385279686101
JFM2026,TP,ECMWF,All India,2026-01-22,weekly,3,Week 3,tp_above_normal,0.02112782828121657,0.11111111111111113,0.8098495454690509,0.0
JFM2026,TP,ECMWF,All India,2026-01-29,weekly,3,Week 3,tp_above_normal,0.015122730230846662,0.11173271923963873,0.8646526251776601,0.001864824385582816
JFM2026,TP,ECMWF,All India,2026-02-05,weekly,3,Week 3,tp_above_normal,0.03259667459365979,0.11313350700983875,0.7118742673571943,0.006067187696182865
