season,variable,model,region,init_date,scale,lead,week,event,brier,brier_clim,briss_clim,base_rate
JFM2026,TP,ECMWF,All India,2026-01-01,weekly,1,Week 1,tp_above_normal,0.014420478329077443,0.11179000683691973,0.8710038693340973,0.0020366871774258177
JFM2026,TP,ECMWF,All India,2026-01-08,weekly,1,Week 1,tp_above_normal,0.04114160361262814,0.11783414903712036,0.6508516083935258,0.020169113778027634
JFM2026,TP,ECMWF,All India,2026-01-15,weekly,1,Week 1,tp_above_normal,0.009740756603706746,0.112223009795331,0.9132017879268106,0.0033356960526595846
JFM2026,TP,ECMWF,All India,2026-01-22,weekly,1,Week 1,tp_above_normal,0.10949106231074993,0.1328443923335404,0.17579462416566194,0.06519984366728789
JFM2026,TP,ECMWF,All India,2026-01-29,weekly,1,Week 1,tp_above_normal,0.05282569783708742,0.1136357287100648,0.5351312616486208,0.00757385279686101
JFM2026,TP,ECMWF,All India,2026-02-05,weekly,1,Week 1,tp_above_normal,0.00047040163681341034,0.11111111111111113,0.9957663852686793,0.0
JFM2026,TP,ECMWF,All India,2026-02-12,weekly,1,Week 1,tp_above_normal,0.01008657447917864,0.11173271923963873,0.9097258659073224,0.001864824385582816
JFM2026,TP,ECMWF,All India,2026-02-19,weekly,1,Week 1,tp_above_normal,0.05524493062303406,0.11313350700983875,0.5116837435417817,0.006067187696182865
JFM2026,TP,ECMWF,All India,2026-02-26,weekly,1,Week 1,tp_above_normal,0.00027274194477573704,0.11111111111111113,0.9975453224970183,0.0
JFM2026,TP,ECMWF,All India,2026-03-05,weekly,1,Week 1,tp_above_normal,0.02239134905649156,0.11517353191581393,0.8055859824385823,0.012187262414108455
JFM2026,TP,ECMWF,All India,2026-03-12,weekly,1,Week 1,tp_above_normal,0.11477667753622342,0.12611572518240216,0.0899098635779082,0.0450138422138732
JFM2026,TP,ECMWF,All India,2026-03-19,weekly,1,Week 1,tp_above_normal,0.19259976892688416,0.13921714986567363,-0.38344858455095365,0.08431811626368747
JFM2026,TP,ECMWF,All India,2026-03-26,weekly,1,Week 1,tp_above_normal,0.11108041085972116,0.11998343817788779,0.0742021353394372,0.0266169812003299
JFM2026,TP,ECMWF,All India,2026-01-01,weekly,2,Week 2,tp_above_normal,0.040621855053153605,0.11783414903712036,0.6552624567233322,0.020169113778027634
JFM2026,TP,ECMWF,All India,2026-01-08,weekly,2,Week 2,tp_above_normal,0.018402753300660657,0.112223009795331,0.836016220432663,0.0033356960526595846
JFM2026,TP,ECMWF,All India,2026-01-15,weekly,2,Week 2,tp_above_normal,0.11029085544085723,0.1328443923335404,0.16977409807450994,0.06519984366728789
JFM2026,TP,ECMWF,All India,2026-01-22,weekly,2,Week 2,tp_above_normal,0.04087943264260378,0.1136357287100648,0.6402589827455996,0.00757385279686101
JFM2026,TP,ECMWF,All India,2026-01-29,weekly,2,Week 2,tp_above_normal,0.0015461633479567445,0.11111111111111113,0.9860845298683893,0.0
JFM2026,TP,ECMWF,All India,2026-02-05,weekly,2,Week 2,tp_above_normal,0.010577302498087237,0.11173271923963873,0.9053338845589037,0.001864824385582816
JFM2026,TP,ECMWF,All India,2026-02-12,weekly,2,Week 2,tp_above_normal,0.11228623544081437,0.11313350700983875,0.007489130244594078,0.006067187696182865
JFM2026,TP,ECMWF,All India,2026-02-19,weekly,2,Week 2,tp_above_normal,0.015913693204272043,0.11111111111111113,0.8567767611615517,0.0
