season,variable,model,region,init_date,scale,lead,week,pcc,rmse,bias,msss_clim,msss_pers,fcst_std,obs_std,fcst_mean,obs_mean,std_ratio
JFM2026,TP,ECMWF,All India,2026-01-01,daily,1,Week 1,0.616503150045102,0.9191857674340699,0.05292244556083427,0.5787089616242571,0.5794835725644353,1.1882762052804468,1.336230701030427,0.6699731215289204,0.6170506759680864,0.8892747370376343
JFM2026,TP,ECMWF,All India,2026-01-08,daily,1,Week 1,0.7057409697718733,0.1337742282516132,0.037952625149807295,0.9784594545628615,0.8691847679718983,0.7145462509447456,0.9360500241786804,0.04403610398108714,0.006083478831279846,0.7633633165831183
JFM2026,TP,ECMWF,All India,2026-01-15,daily,1,Week 1,0.694975675810684,0.11219477709538558,-0.001086352604248468,0.9912718509548409,0.988069411398957,1.097456172870763,1.015550475601968,0.038474273764162875,0.03956062636841134,1.0806515276557234
JFM2026,TP,ECMWF,All India,2026-01-22,daily,1,Week 1,0.8492909983837202,1.8629695854333814,0.41283319487408005,0.7959542773892521,0.7763226979162345,4.281369594724235,3.8144071966875788,1.587289014583736,1.1744558197096568,1.122420699720304
JFM2026,TP,ECMWF,All India,2026-01-29,daily,1,Week 1,0.7078513050546393,0.7748354585353535,0.0394322598248579,0.6095818615392637,0.9555374691814137,0.8720806644405926,0.9392858191418316,0.23029769995455637,0.19086544012969853,0.9284507938567195
JFM2026,TP,ECMWF,All India,2026-02-05,daily,1,Week 1,0.7367232088733308,0.2959080999514663,0.02219546335016824,0.9761748011170972,0.7792463430818234,1.6727440913313465,1.2266922033310077,0.10197250310517748,0.07977703975500922,1.363621686670146
JFM2026,TP,ECMWF,All India,2026-02-12,daily,1,Week 1,0.7727644608671875,0.5413235958452605,-0.020703999337006083,0.8817537131791666,-0.262087314689579,1.0658051443143925,1.528237373292944,0.07809861056986289,0.09880260990686897,0.6974081140404692
JFM2026,TP,ECMWF,All India,2026-02-19,daily,1,Week 1,0.6839584848816184,0.20591357540111785,0.039328738047692234,0.9809620087807495,0.7939374513920987,1.2181517256033338,1.7590018888940624,0.09288670641190468,0.05355796836421243,0.6925243988050648
JFM2026,TP,ECMWF,All India,2026-02-26,daily,1,Week 1,0.8037538576583161,1.0741698508694777,-0.04518174376612894,0.683223662190392,-3.2288081724290727,1.2224923046326097,1.7513880612554955,0.19790246609899784,0.24308420986512674,0.6980133824574875
JFM2026,TP,ECMWF,All India,2026-03-05,daily,1,Week 1,0.8006940854457939,0.3541005972506162,-0.03168819916768871,0.9662090127049092,0.9175403818442974,1.7218801763230707,2.0741470183014203,0.09876129569457681,0.1304494948622655,0.8301630314196188
