init,var,week,accA,accB,rmseA,rmseB,biasA,biasB
2026-01-01,TP,Week 1,0.827375703128407,0.7869078272551471,0.40664805765814527,0.4393433290701925,0.16095209694989399,0.08867177027760816
2026-01-01,TP,Week 2,0.711792339424625,0.6931772171833781,0.751508821919425,0.7952420967247716,0.15172169679857017,0.12139778602678634
2026-01-01,TP,Week 3,0.11220839796720695,0.2722936243942364,1.4623403635190937,1.4066227788612633,-0.08803678710984936,-0.07340766352679018
2026-01-01,TP,Week 4,0.19284909046618767,0.28438626815207624,1.6982344732730057,1.638195202864404,-0.22436852147639957,-0.1667009542163525
2026-01-01,TP,Week 5,0.49827580894222356,0.3351848510648917,1.1183653649777323,1.2322268916996104,0.3886169254948419,0.4425382686128229
2026-01-01,TP,Week 6,0.675169278607769,0.5603685261993072,0.9605467910262985,1.0210692371059775,0.5419572487768994,0.5111215600636648
2026-01-01,Z500,Week 1,0.8955436050038228,0.44523478019883794,11.66788694969225,28.175043392673462,9.77412020361226,-6.706872689543613
2026-01-01,Z500,Week 2,0.9745808743270831,0.290056944275215,9.259813230400376,39.04089911432053,-6.1051522773715226,-24.209293087943504
2026-01-01,Z500,Week 3,0.08202929883147045,-0.16935974478141747,27.034447572257754,38.58529896495963,12.386661060864517,-4.267010866869227
2026-01-01,Z500,Week 4,0.11018604033792993,-0.16137015862515777,27.81136788361473,41.58461580756808,4.353991554265463,-12.026249054713741
2026-01-01,Z500,Week 5,0.7680435904048493,-0.32353049020842606,11.631620379225708,36.67210488373217,-6.599681956958096,-19.325986233930056
2026-01-01,Z500,Week 6,0.9174319463672044,0.20985882859357408,15.048501367659076,39.90336542575623,-12.571782036199588,-31.251328144051968
2026-01-08,TP,Week 1,0.9326907314815577,0.9131429208056526,0.3792635355426979,0.4227560770925218,0.047658305594463726,0.017334297132787974
2026-01-08,TP,Week 2,0.4710802341905303,0.5778794387855608,1.2215818213504455,1.129901165130951,-0.1687116874061238,-0.15408257759996907
2026-01-08,TP,Week 3,0.35445072536510364,0.4382581134817008,1.591348056017979,1.5355395678086639,-0.07867397142312858,-0.021006373985869818
2026-01-08,TP,Week 4,0.2301451361203295,0.09156084791597367,1.4269877371562116,1.548914265182635,0.6761254684757149,0.7300468957620398
2026-01-08,TP,Week 5,0.6229965294996017,0.5378317679038085,1.0194382891685427,1.052671801299175,0.5804147911082123,0.5495791238547267
2026-01-08,TP,Week 6,0.7514435431860698,0.7877648156117969,1.2120753084752927,1.0871164194617733,0.541771793604271,0.47977199570518064
2026-01-08,Z500,Week 1,0.9821066914437483,0.38000868125785336,8.74970391411552,30.557279088214713,7.122173374642421,-10.98121288081571
2026-01-08,Z500,Week 2,0.3630640231420607,-0.06090721867613118,20.563493108947494,36.927223839106524,6.758233977275008,-9.894786130985045
2026-01-08,Z500,Week 3,0.4341300601210326,-0.0027877737790310843,24.964340412614387,43.63034871614964,-7.22724874889667,-23.607024768459365
2026-01-08,Z500,Week 4,0.8283562419885827,-0.2492297896179729,17.524133463068463,42.33842549214293,-15.372137301495426,-28.098890881626637
2026-01-08,Z500,Week 5,0.8341471825752035,0.05345733489688993,20.22312241654844,44.8764840648033,-16.738481897957655,-35.42163213982016
2026-01-08,Z500,Week 6,0.9496293048330275,0.2961358010909597,36.12171465896348,57.520983807860205,-28.250351186484018,-46.92601688733212
2026-01-15,TP,Week 1,0.7864132560012492,0.8064888872337345,0.9097131118706234,0.8388606304292905,-0.18879516627222295,-0.1741659699167081
2026-01-15,TP,Week 2,0.6106315095216853,0.6251765781095208,1.5502222738034017,1.5445895259105131,0.31786507427142036,0.37553268541151474
2026-01-15,TP,Week 3,0.05703871111717019,-0.07761575894187957,1.480088672554835,1.6145098806842795,0.6108217532611842,0.6647431575940891
2026-01-15,TP,Week 4,0.6550167289257464,0.5373741925871681,0.9723746474721531,1.0225276972892203,0.519553368821528,0.4887176961062012
2026-01-15,TP,Week 5,0.7978951924748796,0.8194277988775006,1.112221086174419,0.9934425582267047,0.4607316720733164,0.3987318378692326
2026-01-15,TP,Week 6,0.6479120222788176,0.6154758805544918,1.2513491077409014,1.269238960434094,0.5600163655179434,0.5587346605249512
2026-01-15,Z500,Week 1,0.9744224674590665,0.35230110197050135,15.24062106156058,28.194127004002635,14.21060883348536,-2.443192166178998
2026-01-15,Z500,Week 2,0.8622439708455187,0.5960701015156357,23.753722748488077,26.757894006881816,18.85884725196117,2.4805666747896926
2026-01-15,Z500,Week 3,0.8834876025641398,-0.15456608461167948,8.027177992837451,32.8139217134857,-4.1433716245326435,-16.86998968928624
2026-01-15,Z500,Week 4,0.6619854007696736,0.028533779087078003,13.528319019540334,34.03146693334535,-4.40646765575417,-23.08817737347469
2026-01-15,Z500,Week 5,0.8647669801379692,0.43858127317143464,23.29674233356908,42.779203978185734,-12.29268665561535,-30.96867552112138
2026-01-15,Z500,Week 6,0.9130900695786573,0.6285147960997943,28.11061860617308,31.864234795217,3.149994141123618,-9.274471054558306
2026-01-22,TP,Week 1,0.8030064435105483,0.799123298649867,1.2894771679083399,1.3497249353588645,0.3603819588553364,0.4180496087214601
2026-01-22,TP,Week 2,0.4949877766493772,0.3659500981302985,1.0717814011501063,1.1854733727275197,0.14126130935459644,0.1951827899376673
2026-01-22,TP,Week 3,0.7098729802628772,0.6146046197445066,0.8006220241357677,0.8937004697449276,0.2785305067792439,0.24769485349852272
2026-01-22,TP,Week 4,0.8390279683089719,0.8370315441806682,0.8861868335059281,0.8316223370259795,0.24189948061373684,0.17989964292180363
2026-01-22,TP,Week 5,0.7139218871283587,0.6802337908809357,1.1422966910503238,1.1621264865518082,0.4593321827676417,0.45805046969868424
2026-01-22,TP,Week 6,0.601288457774056,0.6030321908453844,1.163905506137984,1.175952832194831,0.5546486322239106,0.5823844736636936
2026-01-22,Z500,Week 1,0.9880906318423074,0.7278032800890983,8.750047031773073,28.780054747681664,3.5838533279465272,-12.79391070015371
2026-01-22,Z500,Week 2,0.869665027296017,-0.0007227074915817967,9.368126017709889,33.17855122858954,-4.249075804253689,-16.976511406757584
2026-01-22,Z500,Week 3,0.8093133706413818,0.36715328053271096,12.186355389104065,35.693458199523015,-5.59319873875748,-24.274263655744623
2026-01-22,Z500,Week 4,0.9545490383517767,0.6306619223797009,12.58065629846509,40.17176785509735,-8.136833042190261,-26.81241580547789
2026-01-22,Z500,Week 5,0.9552774426116788,0.6932812537932638,23.581766699186527,29.777997807741176,5.597707525864985,-6.825064035613279
2026-01-22,Z500,Week 6,0.5782373380091733,0.46508069334988345,23.714413823620422,32.65493953366653,-8.482405677116684,-10.261096587930936
2026-01-29,TP,Week 1,0.674546362335065,0.6010680800952489,0.8944734965904343,0.971503069131623,0.0461863831707578,0.10010780456539889
2026-01-29,TP,Week 2,0.9032110613416968,0.8572283758678199,0.4898307582158368,0.5738018454619886,0.17024312615961054,0.1394074337495746
2026-01-29,TP,Week 3,0.8307447769210403,0.8340016892913618,0.864775475879517,0.8176165724298105,0.10886055287804705,0.04686079345612948
2026-01-29,TP,Week 4,0.7382617139240156,0.7028088715242443,1.117875474782573,1.1385461218153963,0.4602252627948585,0.4589435876327289
2026-01-29,TP,Week 5,0.5339911655284028,0.52705741117542,1.2448700757688123,1.2641850447378045,0.6142269176426033,0.6419627706499366
2026-01-29,TP,Week 6,0.30785759310044153,0.2628853592044611,1.6137850281869897,1.6471775525817312,0.09924242257909957,0.21664783509067184
2026-01-29,Z500,Week 1,0.9558430177637987,-0.12175403450864429,9.20408082424853,27.64632277874181,8.02241307088623,-4.70539668662234
2026-01-29,Z500,Week 2,0.9300296379214211,0.6027038186099405,15.423651085186453,26.503904007431444,10.119311612346234,-8.560871393853807
2026-01-29,Z500,Week 3,0.9543248913559402,0.6534712950325184,9.997139027944403,34.973101365552125,-2.3153824898057445,-20.99205524334009
2026-01-29,Z500,Week 4,0.9580875525835388,0.7395559787907334,21.60096077418899,27.79421289914734,8.837254879924792,-3.585859356086013
2026-01-29,Z500,Week 5,0.6039765837531285,0.47458734477989795,22.984813593618288,32.369842797248374,-7.562483159746905,-9.339116056467212
2026-01-29,Z500,Week 6,0.7523840970908537,0.24808558728333197,57.81589853635079,69.27266288428757,-48.7770125654422,-57.33794641821116
2026-02-05,TP,Week 1,0.7684063515375783,0.7445549225415711,0.8307686149551821,0.850448834096432,0.20639166520651786,0.175555939370906
2026-02-05,TP,Week 2,0.9234967959882227,0.9247574902343788,0.6003958956218226,0.5684169292041202,0.14544964304189592,0.08344981647370425
2026-02-05,TP,Week 3,0.80555617318486,0.7841944055506577,0.8828821738843301,0.9266345711840708,0.22879048944002062,0.22750875838082424
2026-02-05,TP,Week 4,0.6285136533004906,0.6160957793890596,1.1263255194470911,1.1571562759749061,0.5016516850320546,0.5293874816844987
2026-02-05,TP,Week 5,0.3799108718779746,0.34404610816742376,1.5590019131365669,1.5911290289018336,0.07685315786270569,0.19425857655239903
2026-02-05,TP,Week 6,-0.6045370525328733,-0.4048450786250801,4.3606403139172345,4.206030703915023,-1.2057469775192815,-1.1430781108175054
2026-02-05,Z500,Week 1,0.9278515811784375,0.3410968010703952,10.209984848634416,26.46973052702035,8.001485770495101,-10.679036241826308
2026-02-05,Z500,Week 2,0.874521551203419,0.6745731178092497,19.813532225258474,30.409541120535394,13.046721966021941,-5.629161181514773
2026-02-05,Z500,Week 3,0.9522646957311995,0.8355278362864222,28.562644686157093,26.084351277691788,24.415248285830394,11.993036471099071
