variable,region,week,init_date,model,pcc,rmse,bias,fcst_std,obs_std,fcst_mean,obs_mean
TP,All India,Week 1,2026-01-01,SPIRE,0.9201916845429396,0.4725314517690075,0.2793359924166032,0.6403487606949341,0.8763304674804641,0.28253108025828244,0.0031950878416792594
Z500,All India,Week 1,2026-01-01,SPIRE,0.7924226834532335,22.831949935459875,22.251478371041316,5.4254875994415155,8.200245501432091,5781.484116671503,5759.232638300463
TP,All India,Week 1,2026-01-01,FuXi,0.9999138823824281,0.012754132329545373,0.0046906657856083285,0.8733563251001696,0.8763304674804641,0.007885753627287587,0.0031950878416792594
Z500,All India,Week 1,2026-01-01,FuXi,0.4617329659459401,10.090789832288698,6.288841286174385,6.84683595733492,8.200245501432091,5765.521479586637,5759.232638300463
TP,All India,Week 1,2026-01-01,ECMWF,0.8769937561674143,0.47715654226013143,0.22378866456224097,0.7515060844036351,0.8763304674804641,0.22698375240392013,0.0031950878416792594
Z500,All India,Week 1,2026-01-01,ECMWF,0.7214848362826037,19.42441570022657,18.441342224101763,3.6838595045110107,8.200245501432091,5777.673980524566,5759.232638300463
TP,All India,Week 1,2026-01-01,NCEP,0.9286169346002293,0.373916105875792,0.17501370289774848,0.7549652037336287,0.8763304674804641,0.1782087907394277,0.0031950878416792594
Z500,All India,Week 1,2026-01-01,NCEP,0.841540762156372,4.4616984326565134,-0.04692718808248723,7.431998908908928,8.200245501432091,5759.185711112381,5759.232638300463
TP,All India,Week 1,2026-01-01,MME,0.9632678811923165,0.31139843298931574,0.1707072564155502,0.732575120226146,0.8763304674804641,0.17390234425722947,0.0031950878416792594
Z500,All India,Week 1,2026-01-01,MME,0.7803665935129683,12.857107993955893,11.73368367330873,5.245248915788595,8.200245501432091,5770.966321973772,5759.232638300463
TP,All India,Week 1,2026-01-01,Persistence,0.88061447966691,0.4512332619150294,0.12842597570636713,0.6504724280486106,0.8763304674804641,0.13162106354804637,0.0031950878416792594
Z500,All India,Week 1,2026-01-01,Persistence,-0.4242767432722642,58.71015222193285,55.72383387376869,13.450000593580622,8.200245501432091,5814.956472174231,5759.232638300463
TP,northwest_india,Week 1,2026-01-01,SPIRE,0.9206128582479505,0.5378443956597753,0.3542920829775163,0.5885439594093015,0.8748975031063,0.35865245741345825,0.0043603744359420335
Z500,northwest_india,Week 1,2026-01-01,SPIRE,0.8823733315119313,23.168466652938797,22.732642184571933,4.754154580868749,8.06796847026662,5712.480395132073,5689.747752947501
TP,northwest_india,Week 1,2026-01-01,FuXi,0.9999841218073323,0.004986781830914206,0.0007250908350135956,0.8746974861823474,0.8748975031063,0.005085465270955629,0.0043603744359420335
Z500,northwest_india,Week 1,2026-01-01,FuXi,0.31306856189599114,11.610468766270508,7.34225346119451,7.235603005874414,8.06796847026662,5697.090006408695,5689.747752947501
TP,northwest_india,Week 1,2026-01-01,ECMWF,0.9734993181851764,0.3552969708504999,0.23148148789718212,0.6711016098720554,0.8748975031063,0.23584186233312415,0.0043603744359420335
Z500,northwest_india,Week 1,2026-01-01,ECMWF,0.9110946961764704,21.92666224104447,21.60711546237188,5.662042436331694,8.06796847026662,5711.354868409873,5689.747752947501
TP,northwest_india,Week 1,2026-01-01,NCEP,0.8838700590719533,0.5151951181774762,0.29596863693369446,0.6714665054956045,0.8748975031063,0.30032901136963647,0.0043603744359420335
Z500,northwest_india,Week 1,2026-01-01,NCEP,0.9593667253605289,2.3609903110473995,-0.6209955628171628,7.8195089538893034,8.06796847026662,5689.126757384684,5689.747752947501
TP,northwest_india,Week 1,2026-01-01,MME,0.9784117427609081,0.3349051116073873,0.22061682466085156,0.6805189260731773,0.8748975031063,0.22497719909679367,0.0043603744359420335
Z500,northwest_india,Week 1,2026-01-01,MME,0.8758906073736882,13.442307512586687,12.76525388633024,5.457477342165891,8.06796847026662,5702.513006833831,5689.747752947501
TP,northwest_india,Week 1,2026-01-01,Persistence,0.8073939971238923,0.5635669841455502,0.20469297120693108,0.8025403843157938,0.8748975031063,0.20905334564287315,0.0043603744359420335
Z500,northwest_india,Week 1,2026-01-01,Persistence,0.26012636174773157,75.27618448198945,74.32899112320266,11.099658935364696,8.06796847026662,5764.076744070704,5689.747752947501
