variable,region,week,init_date,model,pcc,rmse,bias,fcst_mean,obs_mean
TP,All India,Week 1,2026-01-01,Persistence,0.8286303516972171,0.397019732099119,0.033257271845980506,0.19817605682521872,0.1649187849792382
TP,northwest_india,Week 1,2026-01-01,Persistence,0.6863399410447271,0.5778727215082475,0.15105344371762647,0.39534529364979015,0.24429184993216374
TP,central_india,Week 1,2026-01-01,Persistence,0.95515442678697,0.05805309018572661,-0.012180544053670313,0.00750825011195017,0.019688794165620485
TP,south_peninsula,Week 1,2026-01-01,Persistence,0.4416841953715907,0.34523335466065275,-0.15187418667448538,0.11160878501111186,0.2634829716855972
TP,east_northeast_india,Week 1,2026-01-01,Persistence,0.9812147406503338,0.41576913680436217,0.11018436875584696,0.31096214325556293,0.20077777449971596
TP,All India,Week 1,2026-01-01,SPIRE,0.9356883704457094,0.27345336933973013,0.1176122952790442,0.28253108025828244,0.1649187849792382
TP,northwest_india,Week 1,2026-01-01,SPIRE,0.888877050816892,0.3060872035421927,0.11436060748129455,0.35865245741345825,0.24429184993216374
TP,central_india,Week 1,2026-01-01,SPIRE,0.954057861094634,0.10401445811176083,0.08806970339156069,0.10775849755718116,0.019688794165620485
TP,south_peninsula,Week 1,2026-01-01,SPIRE,0.2491894756515923,0.3794575297089108,0.16308859005350085,0.42657156173909805,0.2634829716855972
TP,east_northeast_india,Week 1,2026-01-01,SPIRE,0.9859581343590359,0.3057714805686011,0.13563329868233562,0.3364110731820516,0.20077777449971596
TP,All India,Week 1,2026-01-01,FuXi,0.9020515710976749,0.33530409185975185,0.024339302075663847,0.18925808705490207,0.1649187849792382
TP,northwest_india,Week 1,2026-01-01,FuXi,0.9690234178650329,0.2711746915069848,-0.1222406834292289,0.12205116650293485,0.24429184993216374
TP,central_india,Week 1,2026-01-01,FuXi,0.9704431918045435,0.04421057590741036,0.010516323167717737,0.030205117333338218,0.019688794165620485
TP,south_peninsula,Week 1,2026-01-01,FuXi,0.040021155451246807,0.5219687393204314,0.20719851860806054,0.4706814902936578,0.2634829716855972
TP,east_northeast_india,Week 1,2026-01-01,FuXi,0.9408084719828751,0.5006955277501962,0.148527667512494,0.3493054420122099,0.20077777449971596
TP,All India,Week 1,2026-01-01,ECMWF,0.8982656174567281,0.3368610942764237,0.062064967424681976,0.22698375240392013,0.1649187849792382
TP,northwest_india,Week 1,2026-01-01,ECMWF,0.9657470741994121,0.1780351978980332,-0.008449987599039515,0.23584186233312415,0.24429184993216374
TP,central_india,Week 1,2026-01-01,ECMWF,0.9715633446040484,0.04360571203744561,0.003253329771299688,0.02294212393692017,0.019688794165620485
TP,south_peninsula,Week 1,2026-01-01,ECMWF,-0.13302550092976118,0.619353694661843,0.2271844486301339,0.49066742031573113,0.2634829716855972
TP,east_northeast_india,Week 1,2026-01-01,ECMWF,0.9531396297677395,0.45925398430556175,0.1449986104878672,0.3457763849875832,0.20077777449971596
TP,All India,Week 1,2026-01-01,NCEP,0.9357132933495363,0.26676726547001667,0.013290005760189462,0.1782087907394277,0.1649187849792382
TP,northwest_india,Week 1,2026-01-01,NCEP,0.8865835643198794,0.3160577574392023,0.056037161437472754,0.3003290113696365,0.24429184993216374
TP,central_india,Week 1,2026-01-01,NCEP,0.9787306283883594,0.038126037851497444,-0.011065920987963062,0.008622873177657416,0.019688794165620485
TP,south_peninsula,Week 1,2026-01-01,NCEP,0.5857395090153982,0.31296679804618105,0.06758195664123498,0.33106492832683226,0.2634829716855972
TP,east_northeast_india,Week 1,2026-01-01,NCEP,0.9713539092851371,0.36659422752203663,-0.09197910362233198,0.10879867087738399,0.20077777449971596
TP,All India,Week 1,2026-01-01,MME,0.9393414394363474,0.25220399356818485,0.054326642634894874,0.2192454276141331,0.1649187849792382
TP,northwest_india,Week 1,2026-01-01,MME,0.957873126462244,0.19044233066753372,0.00992677447262473,0.25421862440478843,0.24429184993216374
TP,central_india,Week 1,2026-01-01,MME,0.9755641796794099,0.04538726385284372,0.022693358835653762,0.04238215300127425,0.019688794165620485
TP,south_peninsula,Week 1,2026-01-01,MME,0.18994742186704733,0.417582447526913,0.16626337848323255,0.4297463501688298,0.2634829716855972
TP,east_northeast_india,Week 1,2026-01-01,MME,0.9689836595455351,0.3551372289041984,0.08429511826509122,0.2850728927648072,0.20077777449971596
TP,All India,Week 2,2026-01-01,Persistence,0.6245013907927627,1.0765656581396872,-0.08215917728639144,0.19817605682521872,0.2803352341116102
TP,northwest_india,Week 2,2026-01-01,Persistence,0.7365333011804218,0.7729837985067192,0.3679698363529798,0.39534529364979015,0.027375457296810363
TP,central_india,Week 2,2026-01-01,Persistence,0.9731457198057214,0.04589654047874153,-0.0002707694404272383,0.00750825011195017,0.007779019552377408
TP,south_peninsula,Week 2,2026-01-01,Persistence,-0.3454378986021631,2.214379258312853,-1.3022835313331367,0.11160878501111186,1.4138923163442483
TP,east_northeast_india,Week 2,2026-01-01,Persistence,0.9819823915849147,0.6077891295539102,0.26589063260633605,0.31096214325556293,0.045071510649226834
TP,All India,Week 2,2026-01-01,SPIRE,0.8665392558778577,0.7202619325118577,0.016146746968045373,0.29648198107965557,0.2803352341116102
TP,northwest_india,Week 2,2026-01-01,SPIRE,0.991235293071802,0.20496301631412764,0.15717326545400914,0.18454872275081952,0.027375457296810363
TP,central_india,Week 2,2026-01-01,SPIRE,0.8767679968135372,0.23994851727343644,0.21264638000685043,0.22042539955922785,0.007779019552377408
TP,south_peninsula,Week 2,2026-01-01,SPIRE,0.7857092891881136,1.5871630005251955,-0.7813329542867415,0.632559362057507,1.4138923163442483
TP,east_northeast_india,Week 2,2026-01-01,SPIRE,0.9950593259884337,0.35332773365009573,0.2514750711125224,0.2965465817617492,0.045071510649226834
TP,All India,Week 2,2026-01-01,FuXi,0.9600347550863033,0.38883957863900265,-0.026986111777062553,0.2533491223345476,0.2803352341116102
TP,northwest_india,Week 2,2026-01-01,FuXi,0.9981418961175471,0.06477126993047232,0.010714102662840652,0.03808955995965102,0.027375457296810363
TP,central_india,Week 2,2026-01-01,FuXi,0.9966088825543784,0.015406120018468614,0.0029984740995142433,0.010777493651891651,0.007779019552377408
TP,south_peninsula,Week 2,2026-01-01,FuXi,0.8817136178432352,0.8618923660623271,-0.27854489258296505,1.135347423761283,1.4138923163442483
TP,east_northeast_india,Week 2,2026-01-01,FuXi,0.9912347376423103,0.2845481064818866,0.1351911590289932,0.18026266967822005,0.045071510649226834
TP,All India,Week 2,2026-01-01,ECMWF,0.8995886164702348,0.6218660703411953,-0.0028022343504983086,0.27753299976111184,0.2803352341116102
TP,northwest_india,Week 2,2026-01-01,ECMWF,0.9936403942267629,0.2346279775420465,0.18600350496589652,0.21337896226270686,0.027375457296810363
TP,central_india,Week 2,2026-01-01,ECMWF,0.9829446227104337,0.04708399189005938,0.03245596540710455,0.040234984959481954,0.007779019552377408
TP,south_peninsula,Week 2,2026-01-01,ECMWF,0.6604496307826989,1.3933775642622543,-0.4719918936626739,0.9419004226815745,1.4138923163442483
TP,east_northeast_india,Week 2,2026-01-01,ECMWF,0.9927644958197634,0.23451683104243493,0.08810868952988772,0.13318020017911458,0.045071510649226834
TP,All India,Week 2,2026-01-01,NCEP,0.8662586548165216,0.7075069713165439,0.07394766477277927,0.35428289888438946,0.2803352341116102
TP,northwest_india,Week 2,2026-01-01,NCEP,0.981234202076044,0.37243428892549363,0.30599265556129,0.3333681128581004,0.027375457296810363
TP,central_india,Week 2,2026-01-01,NCEP,0.8675850820744951,0.2788666365515375,0.22547280081458196,0.23325182036695943,0.007779019552377408
TP,south_peninsula,Week 2,2026-01-01,NCEP,0.7639443519526391,1.517960103130009,-0.5682634633387612,0.8456288530054873,1.4138923163442483
TP,east_northeast_india,Week 2,2026-01-01,NCEP,0.9980368864324299,0.11241274444959956,0.020037548828144753,0.06510905947737158,0.045071510649226834
TP,All India,Week 2,2026-01-01,MME,0.9292050568005791,0.5567018958765613,0.015076516403315967,0.29541175051492613,0.2803352341116102
TP,northwest_india,Week 2,2026-01-01,MME,0.9953899418841728,0.20074610599076378,0.1649708821610091,0.19234633945781948,0.027375457296810363
TP,central_india,Week 2,2026-01-01,MME,0.9521607441555405,0.1372177372606231,0.11839340508201279,0.12617242463439024,0.007779019552377408
TP,south_peninsula,Week 2,2026-01-01,MME,0.8524529621975974,1.2379676598417564,-0.5250333009677856,0.8888590153764631,1.4138923163442483
TP,east_northeast_india,Week 2,2026-01-01,MME,0.9967877363452619,0.20621012157850205,0.123703117124887,0.16877462777411387,0.045071510649226834
TP,All India,Week 3,2026-01-01,Persistence,0.963791988589422,0.29669824947604334,0.04198689091194292,0.19817605682521872,0.1561891659132758
TP,northwest_india,Week 3,2026-01-01,Persistence,0.9426721297819459,0.3808529823680217,0.00933026098621427,0.39534529364979015,0.3860150326635759
TP,central_india,Week 3,2026-01-01,Persistence,0.9793600281538662,0.04350661395352353,0.00556261212453169,0.00750825011195017,0.0019456379874184793
TP,south_peninsula,Week 3,2026-01-01,Persistence,0.44899675236268116,0.20650741002240355,0.06045276153853564,0.11160878501111186,0.051156023472576216
TP,east_northeast_india,Week 3,2026-01-01,Persistence,0.9854019135516194,0.4656237459066293,0.17356962831157974,0.31096214325556293,0.13739251494398322
TP,All India,Week 3,2026-01-01,SPIRE,0.8435843525181097,0.657779304051193,0.36404839855173243,0.5202375644650082,0.1561891659132758
TP,northwest_india,Week 3,2026-01-01,SPIRE,0.6759631344352697,0.8504256271645092,0.19815509891737382,0.5841701315809498,0.3860150326635759
TP,central_india,Week 3,2026-01-01,SPIRE,0.6486107918008044,0.4233095174719169,0.39426858814886334,0.3962142261362819,0.0019456379874184793
TP,south_peninsula,Week 3,2026-01-01,SPIRE,-0.6643316945059929,0.7164839972860141,0.5624694057112438,0.6136254291838199,0.051156023472576216
