variable,region,week,init_date,model,pcc,rmse,bias,fcst_mean,obs_mean
TP,All India,Week 1,2026-01-01,SPIRE,0.9751509686484372,0.3255177014556593,0.10156876009619022,0.3307143181934184,0.22914555809722806
TP,northwest_india,Week 1,2026-01-01,SPIRE,0.9679286145995563,0.2601333400850704,0.09381096380938143,0.28326110669915144,0.18945014288977002
TP,central_india,Week 1,2026-01-01,SPIRE,0.9934435009280215,0.14484783398965226,0.07008676705725862,0.15225310755186536,0.08216634049460675
TP,south_peninsula,Week 1,2026-01-01,SPIRE,0.7189770259393671,0.6248978825989123,0.21316067808410222,0.41515234435532866,0.20199166627122642
TP,east_northeast_india,Week 1,2026-01-01,SPIRE,0.9904459353511453,0.33906621077882054,0.12828969326719458,0.3529958014572854,0.22470610819009082
TP,All India,Week 1,2026-01-01,FuXi,0.9321718113925924,0.584797594160946,-0.21712910198131055,0.012016456115917526,0.22914555809722806
TP,northwest_india,Week 1,2026-01-01,FuXi,0.9664631050078937,0.3740629713177397,-0.1848118719119022,0.004638270977867778,0.18945014288977002
TP,central_india,Week 1,2026-01-01,FuXi,0.9828926289562095,0.30776002622769666,-0.07945385244954051,0.0027124880450662223,0.08216634049460675
TP,south_peninsula,Week 1,2026-01-01,FuXi,0.8854780786578165,0.4253157756413768,-0.18400332502116373,0.017988341250062687,0.20199166627122642
TP,east_northeast_india,Week 1,2026-01-01,FuXi,0.9873924990998817,0.4991307377238474,-0.21229671749408344,0.01240939069600738,0.22470610819009082
TP,All India,Week 1,2026-01-01,ECMWF,0.9304971694708045,0.573528336215084,0.10451357083339269,0.3336591289306208,0.22914555809722806
TP,northwest_india,Week 1,2026-01-01,ECMWF,0.9827881314710207,0.18562797361527847,-0.003945993069985898,0.1855041498197841,0.18945014288977002
TP,central_india,Week 1,2026-01-01,ECMWF,0.9860147024685793,0.17926569074337104,-0.005449029687030566,0.07671731080757618,0.08216634049460675
TP,south_peninsula,Week 1,2026-01-01,ECMWF,0.4296316537890215,1.0438875272378714,0.27822927499568295,0.4802209412669094,0.20199166627122642
TP,east_northeast_india,Week 1,2026-01-01,ECMWF,0.9821207503169654,0.4740349596159662,0.18256431602186998,0.40727042421196086,0.22470610819009082
TP,All India,Week 1,2026-01-01,NCEP,0.8997401822692322,0.6777519530940869,0.10606912203463605,0.3352146801318642,0.22914555809722806
TP,northwest_india,Week 1,2026-01-01,NCEP,0.9291677710305435,0.3682954066883125,0.12748490518907785,0.3169350480788478,0.18945014288977002
TP,central_india,Week 1,2026-01-01,NCEP,0.986049821483307,0.26961980215459697,-0.059475260318451684,0.02269108017615506,0.08216634049460675
TP,south_peninsula,Week 1,2026-01-01,NCEP,0.9354205111090096,0.23780542761701592,0.03596243225655401,0.23795409852778043,0.20199166627122642
TP,east_northeast_india,Week 1,2026-01-01,NCEP,0.973682283847057,0.7329974955954165,0.1670017625023977,0.3917078706924885,0.22470610819009082
TP,All India,Week 1,2026-01-01,MME,0.9759413617053271,0.31153449615813017,0.023755587745727093,0.25290114584295514,0.22914555809722806
TP,northwest_india,Week 1,2026-01-01,MME,0.9778302277532022,0.2080504929149615,0.008134501004142774,0.19758464389391284,0.18945014288977002
TP,central_india,Week 1,2026-01-01,MME,0.9895784622463328,0.20043219686687228,-0.018572843849441037,0.06359349664516571,0.08216634049460675
TP,south_peninsula,Week 1,2026-01-01,MME,0.843930630476683,0.39501257004976054,0.08583726507879386,0.2878289313500203,0.20199166627122642
TP,east_northeast_india,Week 1,2026-01-01,MME,0.9899603675110672,0.3725282301107423,0.06638976357434469,0.29109587176443547,0.22470610819009082
TP,All India,Week 2,2026-01-01,SPIRE,0.9085675412536843,0.693045754955417,0.1507052769370451,0.3126805010943493,0.16197522415730414
TP,northwest_india,Week 2,2026-01-01,SPIRE,0.9934898023491652,0.19596369982670683,0.14948085811348463,0.1650943302314886,0.015613472118003947
TP,central_india,Week 2,2026-01-01,SPIRE,0.9895240300306887,0.2710057070103558,0.2135346955764376,0.23240600591096106,0.018871310334523418
TP,south_peninsula,Week 2,2026-01-01,SPIRE,0.6437827737649457,1.2115420843753313,-0.35713803320879844,0.5536168094151239,0.9107548426239225
TP,east_northeast_india,Week 2,2026-01-01,SPIRE,0.9961695965652898,0.35390585415793796,0.2354153209472369,0.281837624529587,0.04642230358235009
TP,All India,Week 2,2026-01-01,FuXi,0.9119900642117903,0.6784679672787187,-0.14889342620754034,0.013081797949763796,0.16197522415730414
TP,northwest_india,Week 2,2026-01-01,FuXi,0.9989152504574237,0.053754447518661666,-0.012967190131168815,0.0026462819868351304,0.015613472118003947
TP,central_india,Week 2,2026-01-01,FuXi,0.998647521567603,0.0746316029205323,-0.018040899912348904,0.0008304104221745138,0.018871310334523418
TP,south_peninsula,Week 2,2026-01-01,FuXi,0.14806236807092193,1.8188099026034643,-0.8727923043034124,0.03796253832051002,0.9107548426239225
TP,east_northeast_india,Week 2,2026-01-01,FuXi,0.9992165090485475,0.12136886252426889,-0.03817556008909372,0.008246743493256378,0.04642230358235009
TP,All India,Week 2,2026-01-01,ECMWF,0.8708368558874856,0.8524723916516157,0.13941116314304652,0.30138638730035067,0.16197522415730414
TP,northwest_india,Week 2,2026-01-01,ECMWF,0.993554443778826,0.20081913784831165,0.14157306925227012,0.15718654137027402,0.015613472118003947
TP,central_india,Week 2,2026-01-01,ECMWF,0.9983879600582974,0.08482488416974514,0.03394313456953094,0.052814444904054354,0.018871310334523418
TP,south_peninsula,Week 2,2026-01-01,ECMWF,0.6021805788618515,1.2681561199131877,-0.1448339806305345,0.7659208619933879,0.9107548426239225
TP,east_northeast_india,Week 2,2026-01-01,ECMWF,0.9958753130984315,0.24352991389972198,0.09606750644952429,0.1424898100318744,0.04642230358235009
TP,All India,Week 2,2026-01-01,NCEP,0.8815431811501073,0.8208663076663306,0.17531909697495246,0.33729432113225655,0.16197522415730414
TP,northwest_india,Week 2,2026-01-01,NCEP,0.98494071180935,0.28821449689981365,0.21578079646026407,0.23139426857826806,0.015613472118003947
TP,central_india,Week 2,2026-01-01,NCEP,0.9936910469651723,0.24570600671371373,0.18216123863736122,0.20103254897188463,0.018871310334523418
TP,south_peninsula,Week 2,2026-01-01,NCEP,0.6690779441579078,1.1633045597725373,-0.2520215901425295,0.6587332524813928,0.9107548426239225
TP,east_northeast_india,Week 2,2026-01-01,NCEP,0.9956101154086324,0.305876180927295,0.1599702086868415,0.20639251226919159,0.04642230358235009
TP,All India,Week 2,2026-01-01,MME,0.9285111506653039,0.6049286191107759,0.07913552771187594,0.24111075186918007,0.16197522415730414
TP,northwest_india,Week 2,2026-01-01,MME,0.9959813857458922,0.1592827803694215,0.12346688342371252,0.13908035554171647,0.015613472118003947
TP,central_india,Week 2,2026-01-01,MME,0.9983129058399917,0.125879712581012,0.10289954221774522,0.12177085255226866,0.018871310334523418
TP,south_peninsula,Week 2,2026-01-01,MME,0.6364197872521178,1.2430262218491472,-0.4066964770713188,0.5040583655526036,0.9107548426239225
TP,east_northeast_india,Week 2,2026-01-01,MME,0.9987771598155967,0.16636302430016747,0.11331936899862723,0.1597416725809773,0.04642230358235009
TP,All India,Week 3,2026-01-01,SPIRE,0.8315785672512376,0.8364247018992643,0.23585389374159108,0.5432905869424245,0.3074366932008333
TP,northwest_india,Week 3,2026-01-01,SPIRE,0.3341173195138764,0.9250733971151411,0.010095984822037106,0.5540898837507569,0.5439938989287199
TP,central_india,Week 3,2026-01-01,SPIRE,0.9870977893758996,0.43158189349688264,0.3958595390959646,0.4204609391628532,0.0246014000668887
TP,south_peninsula,Week 3,2026-01-01,SPIRE,0.6590948063028695,0.7864561015723777,0.5463342098730497,0.575462595651925,0.02912838577887539
TP,east_northeast_india,Week 3,2026-01-01,SPIRE,0.9874632603249242,0.5845299430350136,0.44309195816824537,0.5555719523149772,0.11247999414673181
TP,All India,Week 3,2026-01-01,FuXi,0.8459257657005174,0.8663742989684772,-0.28785231360710045,0.019584379593732725,0.3074366932008333
TP,northwest_india,Week 3,2026-01-01,FuXi,0.35998324074780813,1.237991784444812,-0.527354371866833,0.016639527061886695,0.5439938989287199
TP,central_india,Week 3,2026-01-01,FuXi,0.996607743185914,0.13471396371288272,0.003608072931005959,0.02820947299789466,0.0246014000668887
TP,south_peninsula,Week 3,2026-01-01,FuXi,0.991483758876226,0.156887987053213,-0.0015067925566660022,0.027621593222209397,0.02912838577887539
TP,east_northeast_india,Week 3,2026-01-01,FuXi,0.9948840818074032,0.3123359843551326,-0.08877269648770558,0.02370729765902623,0.11247999414673181
TP,All India,Week 3,2026-01-01,ECMWF,0.8580618277998375,0.7636431004087095,0.1375188199197605,0.44495551312059367,0.3074366932008333
TP,northwest_india,Week 3,2026-01-01,ECMWF,0.3527816328568846,0.891450502742313,0.08927360475851616,0.633267503687236,0.5439938989287199
TP,central_india,Week 3,2026-01-01,ECMWF,0.986740827412112,0.31077715705179954,0.24000790150561507,0.2646093015725038,0.0246014000668887
TP,south_peninsula,Week 3,2026-01-01,ECMWF,0.6946555850025172,0.6253096266486842,0.30889864009861967,0.33802702587749506,0.02912838577887539
TP,east_northeast_india,Week 3,2026-01-01,ECMWF,0.9886459801608634,0.414015962084,0.19189399201317184,0.3043739861599037,0.11247999414673181
