season,variable,model,week,lat,lon,n,bias,rmse,local_acc
jfm,tp,ecmwf,1,9.5,77.0,90,-1.719026671669865,2.8412616788960086,0.6976201499075456
jfm,tp,ecmwf,1,9.5,78.5,90,0.8404853392731174,1.7247193129529612,0.4910821207301499
jfm,tp,ecmwf,1,11.0,77.0,90,0.6073887466400258,0.8509145911258915,0.6355450335618954
jfm,tp,ecmwf,1,11.0,78.5,90,0.5123444835350817,1.2200351063759391,0.7509188224461678
jfm,tp,ecmwf,1,12.5,75.5,90,-0.5585116505462682,1.8993807322800904,-0.35840300074854636
jfm,tp,ecmwf,1,12.5,77.0,90,0.4055426410507865,0.5815073532942178,0.6596698747881931
jfm,tp,ecmwf,1,12.5,78.5,90,0.5038873864300618,0.8201327329026336,0.8212680369683601
jfm,tp,ecmwf,1,12.5,80.0,90,0.14000229470607342,1.3870821207132018,0.7820725569021156
jfm,tp,ecmwf,1,14.0,75.5,90,0.32858790848397174,0.5499987448938276,0.25591678305894006
jfm,tp,ecmwf,1,14.0,77.0,90,0.11121364729401996,0.34282438688762734,0.5671937460135612
jfm,tp,ecmwf,1,14.0,78.5,90,0.309716634403982,0.5599542340862284,0.6551280031455561
jfm,tp,ecmwf,1,14.0,80.0,90,0.3223282928970427,0.6914895880405811,0.830503292242373
jfm,tp,ecmwf,1,15.5,74.0,90,-0.04676823257072974,0.31294093289144576,0.4790919808184816
jfm,tp,ecmwf,1,15.5,75.5,90,0.061672544240776866,0.15654475664962195,0.5330007935426113
jfm,tp,ecmwf,1,15.5,77.0,90,0.10365524102875787,0.18935348423998824,0.6305077058935231
jfm,tp,ecmwf,1,15.5,78.5,90,0.0745253680779085,0.2985190726461685,0.5664802869934034
jfm,tp,ecmwf,1,15.5,80.0,90,0.11309955525815228,0.2792716419241165,0.7466427218439432
jfm,tp,ecmwf,1,17.0,74.0,90,-0.14279589649625038,0.4350981396099996,-0.11605930098116367
jfm,tp,ecmwf,1,17.0,75.5,90,0.00033781303115734744,0.15665907576250768,0.2235232413222791
jfm,tp,ecmwf,1,17.0,77.0,90,-0.012572157599292264,0.24454908720943272,0.5896473634838932
jfm,tp,ecmwf,1,17.0,78.5,90,0.028493260053947672,0.18810138719830352,0.7105706255635329
jfm,tp,ecmwf,1,17.0,80.0,90,0.07136636137610915,0.17154185305343758,0.8082359799017395
jfm,tp,ecmwf,1,17.0,81.5,90,0.04161924603964638,0.18479174635168694,0.7775543634978527
jfm,tp,ecmwf,1,18.5,74.0,90,-0.04153875626256937,0.22092833810534807,0.6713010348843873
jfm,tp,ecmwf,1,18.5,75.5,90,0.0386714492183015,0.1204726656651164,0.6838140197700893
jfm,tp,ecmwf,1,18.5,77.0,90,-0.01241918659920495,0.208426152831258,0.4857788848888797
jfm,tp,ecmwf,1,18.5,78.5,90,0.0323179797602495,0.2032149012560579,0.5417784266529735
jfm,tp,ecmwf,1,18.5,80.0,90,0.07918996952874505,0.2519142700204,0.7247505894974124
jfm,tp,ecmwf,1,18.5,81.5,90,0.009471339632482412,0.19600990095136384,0.8572789259253251
jfm,tp,ecmwf,1,18.5,83.0,90,-0.19136507501957284,0.5269127458501601,0.5757034470164104
jfm,tp,ecmwf,1,20.0,74.0,90,-0.03859143467008906,0.1382430819025509,0.7731615379055432
jfm,tp,ecmwf,1,20.0,75.5,90,-0.028005793021978365,0.15853908154781313,0.6661133703777962
jfm,tp,ecmwf,1,20.0,77.0,90,-0.013568155169630582,0.11978139812420806,0.8632590009047744
jfm,tp,ecmwf,1,20.0,78.5,90,0.04713855104542924,0.17451900803835146,0.771300421731384
jfm,tp,ecmwf,1,20.0,80.0,90,0.07960511183094035,0.2203261953464335,0.7730939853454539
jfm,tp,ecmwf,1,20.0,81.5,90,0.019779739734162548,0.1511168330945876,0.9041104714630911
jfm,tp,ecmwf,1,20.0,83.0,90,0.03330630709397905,0.1823356264855288,0.8916931525828118
jfm,tp,ecmwf,1,20.0,84.5,90,-0.12643184667982485,0.6983199192656908,0.3126243704080008
jfm,tp,ecmwf,1,20.0,86.0,90,-0.11643761134138843,0.44949928604218203,0.23858150940903122
jfm,tp,ecmwf,1,21.5,71.0,90,0.013011710208240709,0.06298734756696399,0.7420489927156598
jfm,tp,ecmwf,1,21.5,74.0,90,0.017584832892763875,0.04318185755296592,0.7755233953236085
jfm,tp,ecmwf,1,21.5,75.5,90,0.014027871429338425,0.12409574423395886,0.5500272485744764
jfm,tp,ecmwf,1,21.5,77.0,90,0.003523463526501741,0.13094315468039744,0.8604105681342258
jfm,tp,ecmwf,1,21.5,78.5,90,0.043982204161391765,0.19338559724454463,0.7893980288780418
jfm,tp,ecmwf,1,21.5,80.0,90,0.07823265694778572,0.22681235909452044,0.8078900092355975
jfm,tp,ecmwf,1,21.5,81.5,90,0.04895635666016589,0.15279087396541408,0.8691889216120481
jfm,tp,ecmwf,1,21.5,83.0,90,-0.021337275970473895,0.11032966140478473,0.9098363874957531
jfm,tp,ecmwf,1,21.5,84.5,90,-0.23931414509252796,0.7510295921218113,0.8286218953334131
jfm,tp,ecmwf,1,21.5,86.0,90,-0.21977371768321258,0.5332325471694832,0.39591101550292296
jfm,tp,ecmwf,1,23.0,69.5,90,-0.04991045725398242,0.1671544273633236,0.8476242505649467
jfm,tp,ecmwf,1,23.0,71.0,90,-0.011529787558046994,0.1031009413760765,0.6567722717277684
jfm,tp,ecmwf,1,23.0,72.5,90,-0.03536667603899153,0.15524647097430863,0.4944112519009077
jfm,tp,ecmwf,1,23.0,74.0,90,0.002378840338304233,0.040667377320546594,0.7307696662087886
jfm,tp,ecmwf,1,23.0,75.5,90,-0.07705071587333602,0.1476595759399368,0.7824217986018973
jfm,tp,ecmwf,1,23.0,77.0,90,-0.07612881361124407,0.2530660489285287,0.7533711464622634
jfm,tp,ecmwf,1,23.0,78.5,90,0.0802119184099721,0.21678029611762512,0.8127833857379532
jfm,tp,ecmwf,1,23.0,80.0,90,0.06574898804562629,0.16039199744957724,0.9442867951943085
jfm,tp,ecmwf,1,23.0,81.5,90,-0.08731722518078422,0.23193472873855803,0.8868416179861326
jfm,tp,ecmwf,1,23.0,83.0,90,-0.11950855586186301,0.466480594698728,0.6790616544416673
jfm,tp,ecmwf,1,23.0,84.5,90,-0.20604952968232382,0.5662391550175808,0.7183402180045609
jfm,tp,ecmwf,1,23.0,86.0,90,-0.1491254770028965,0.4748641099479528,0.7751413859632229
jfm,tp,ecmwf,1,23.0,87.5,90,-0.7049000931367485,1.476405578315485,0.6006214162625257
jfm,tp,ecmwf,1,24.5,72.5,90,0.00661811769282842,0.05550770688694649,0.903214204656708
jfm,tp,ecmwf,1,24.5,74.0,90,-0.020535845740444633,0.15983484201208847,0.46629164799272577
jfm,tp,ecmwf,1,24.5,75.5,90,-0.1191292814858524,0.31588199734374434,0.7162396193360018
jfm,tp,ecmwf,1,24.5,77.0,90,-0.1405323601083228,0.38123501949786287,0.8078913677567916
jfm,tp,ecmwf,1,24.5,78.5,90,-0.06040084557260422,0.36449444297730965,0.6760434847348549
jfm,tp,ecmwf,1,24.5,80.0,90,0.04855854445997422,0.2990336181701245,0.6694510317560317
jfm,tp,ecmwf,1,24.5,81.5,90,-0.029406574154686164,0.23270242185895704,0.8076348697372341
jfm,tp,ecmwf,1,24.5,83.0,90,0.014100318890721764,0.22364284019897088,0.7939825799953486
jfm,tp,ecmwf,1,24.5,84.5,90,-0.06892209312544167,0.2675494339272043,0.904640218068642
jfm,tp,ecmwf,1,24.5,86.0,90,-0.4846834872683443,1.2792629685338133,0.850382991203585
jfm,tp,ecmwf,1,24.5,87.5,90,-0.4899744054448379,1.1769388799618135,0.8179299797982993
jfm,tp,ecmwf,1,24.5,93.5,90,-0.40386961702872637,1.2450767054881604,0.6461856115781544
jfm,tp,ecmwf,1,26.0,71.0,90,-0.056531801564844705,0.2676854273538132,0.7730869538770712
jfm,tp,ecmwf,1,26.0,72.5,90,-0.015929115729251295,0.2329078039737492,0.810087530183822
jfm,tp,ecmwf,1,26.0,74.0,90,-0.019025658994248476,0.19102771474688698,0.7520297642571441
jfm,tp,ecmwf,1,26.0,75.5,90,-0.013363175856919025,0.3128958879679781,0.5588304097758415
jfm,tp,ecmwf,1,26.0,77.0,90,-0.022800566180130138,0.4729335878395029,0.5534730510716271
jfm,tp,ecmwf,1,26.0,78.5,90,-0.13232644359423962,0.9399281202630638,0.5470429734787294
jfm,tp,ecmwf,1,26.0,80.0,90,0.09743906204460868,0.5593317829915132,0.4584372331355264
jfm,tp,ecmwf,1,26.0,81.5,90,0.06360874447587304,0.38408766009600187,0.6369890502616143
