season,variable,model,week,lat,lon,n,bias,rmse,local_acc
jjas_z500,z500,ecmwf,1,9.5,77.0,35,-7.4036748293066665,7.7731520976003905,0.9322926159823999
jjas_z500,z500,ecmwf,1,9.5,78.5,35,-7.164087879075357,7.637921408697713,0.9167787523701852
jjas_z500,z500,ecmwf,1,11.0,77.0,35,-6.993406637829165,7.464599755263568,0.9327219179533953
jjas_z500,z500,ecmwf,1,11.0,78.5,35,-6.803486385873657,7.38815405957752,0.9213422822215254
jjas_z500,z500,ecmwf,1,12.5,75.5,35,-6.53431023016835,7.094050481662599,0.9386966053984638
jjas_z500,z500,ecmwf,1,12.5,77.0,35,-6.413985937256933,7.042646766335423,0.9340705238723116
jjas_z500,z500,ecmwf,1,12.5,78.5,35,-6.189706824570255,6.9157675703134265,0.9294536927085316
jjas_z500,z500,ecmwf,1,12.5,80.0,35,-5.945563950406436,6.722735591419563,0.9316487204300857
jjas_z500,z500,ecmwf,1,14.0,75.5,35,-5.995056429690131,6.80023372074738,0.9341676397412565
jjas_z500,z500,ecmwf,1,14.0,77.0,35,-5.755156480994836,6.595132696451639,0.9370564251886558
jjas_z500,z500,ecmwf,1,14.0,78.5,35,-5.445067310778437,6.3762287238163236,0.937574339881819
jjas_z500,z500,ecmwf,1,14.0,80.0,35,-5.24874943466961,6.2559347326843096,0.9388207219243607
jjas_z500,z500,ecmwf,1,15.5,74.0,35,-5.3016588796978406,6.4523364535739836,0.9252601284959314
jjas_z500,z500,ecmwf,1,15.5,75.5,35,-5.291356859584214,6.335925802346864,0.9383459542573328
jjas_z500,z500,ecmwf,1,15.5,77.0,35,-4.976374603660796,6.074456892435803,0.9433949554973996
jjas_z500,z500,ecmwf,1,15.5,78.5,35,-4.580126238863548,5.811774154510902,0.9453726190327137
jjas_z500,z500,ecmwf,1,15.5,80.0,35,-4.392800093127672,5.745705173782142,0.9456281130406126
jjas_z500,z500,ecmwf,1,17.0,74.0,35,-4.674802012818847,6.10978889654,0.9316191201872358
jjas_z500,z500,ecmwf,1,17.0,75.5,35,-4.601512106578541,5.9370076335220725,0.9428225927231957
jjas_z500,z500,ecmwf,1,17.0,77.0,35,-4.218652617297084,5.682746402451225,0.9473703316505635
jjas_z500,z500,ecmwf,1,17.0,78.5,35,-3.7582691105959385,5.41830388370334,0.9501867988027921
jjas_z500,z500,ecmwf,1,17.0,80.0,35,-3.4970805249182115,5.382933290821666,0.9505212384022448
jjas_z500,z500,ecmwf,1,17.0,81.5,35,-3.2847286961661926,5.492957966751483,0.9472868845347994
jjas_z500,z500,ecmwf,1,18.5,74.0,35,-4.213548535733805,5.877268752949226,0.9380089470092837
jjas_z500,z500,ecmwf,1,18.5,75.5,35,-4.086014336290126,5.687396685652073,0.9470221077938643
jjas_z500,z500,ecmwf,1,18.5,77.0,35,-3.6796205113990643,5.4545804363797075,0.9507769795577502
jjas_z500,z500,ecmwf,1,18.5,78.5,35,-3.1820326785225914,5.274144786765093,0.9519804797022438
jjas_z500,z500,ecmwf,1,18.5,80.0,35,-2.8766218900751483,5.314511969410397,0.9515134670279639
jjas_z500,z500,ecmwf,1,18.5,81.5,35,-2.602303720967549,5.435685066615216,0.9505425797297414
jjas_z500,z500,ecmwf,1,18.5,83.0,35,-2.187796768012491,5.416226604167198,0.9499855792821397
jjas_z500,z500,ecmwf,1,20.0,74.0,35,-3.8933205921255647,5.630797390048507,0.9452531291434559
jjas_z500,z500,ecmwf,1,20.0,75.5,35,-3.823763871868219,5.439647893029628,0.9545727680158593
jjas_z500,z500,ecmwf,1,20.0,77.0,35,-3.5015513453644544,5.271426674916252,0.9571393812862634
jjas_z500,z500,ecmwf,1,20.0,78.5,35,-3.041581806333592,5.180375683107765,0.955837220866735
jjas_z500,z500,ecmwf,1,20.0,80.0,35,-2.7123897909860326,5.246994822968459,0.9541419434016087
jjas_z500,z500,ecmwf,1,20.0,81.5,35,-2.3813544645288856,5.284525340082138,0.9546398268952017
jjas_z500,z500,ecmwf,1,20.0,83.0,35,-1.839881773021833,5.179655748959822,0.9554590481810217
jjas_z500,z500,ecmwf,1,20.0,84.5,35,-1.1884659853522213,5.016230140983223,0.9551839409142863
jjas_z500,z500,ecmwf,1,20.0,86.0,35,-0.5661388426897767,4.824795190433493,0.9548059092908523
jjas_z500,z500,ecmwf,1,21.5,71.0,35,-2.7901921271982117,5.784892258208294,0.8979106276608412
jjas_z500,z500,ecmwf,1,21.5,74.0,35,-3.6917182758517813,5.3410725133545425,0.9549500212011895
jjas_z500,z500,ecmwf,1,21.5,75.5,35,-3.682322060768846,5.191014366851227,0.9629691011272863
jjas_z500,z500,ecmwf,1,21.5,77.0,35,-3.5382430142196037,5.118761824713721,0.9644269048223661
jjas_z500,z500,ecmwf,1,21.5,78.5,35,-3.230043110994588,5.078880794087359,0.9619739432917089
jjas_z500,z500,ecmwf,1,21.5,80.0,35,-2.9006971799139656,5.11494669922116,0.9583485732617457
jjas_z500,z500,ecmwf,1,21.5,81.5,35,-2.5496184324423665,5.074689989366436,0.9579899490373903
jjas_z500,z500,ecmwf,1,21.5,83.0,35,-2.0242418495172907,4.926076713532555,0.9585717695899693
jjas_z500,z500,ecmwf,1,21.5,84.5,35,-1.4102659423145658,4.816478320791787,0.9572108968288678
jjas_z500,z500,ecmwf,1,21.5,86.0,35,-0.9096966303883943,4.641915979354987,0.9565879732992004
jjas_z500,z500,ecmwf,1,23.0,69.5,35,-2.530844937801521,5.549510571495946,0.8939735565817781
jjas_z500,z500,ecmwf,1,23.0,71.0,35,-2.8412203900656876,5.624447873754441,0.9124050242625915
jjas_z500,z500,ecmwf,1,23.0,72.5,35,-3.3351268285091074,5.486500012332841,0.9407553279803101
jjas_z500,z500,ecmwf,1,23.0,74.0,35,-3.549167140814513,5.216519549183824,0.961091269588818
jjas_z500,z500,ecmwf,1,23.0,75.5,35,-3.6024799459714423,5.065361938465344,0.9692089756053252
