season,variable,week,metric,model,n_init,point,ci_lo,ci_hi
jfm,tp,1,acc,ecmwf,90,0.7306299085957366,0.6706901814475484,0.787093726170398
jfm,tp,1,acc,fuxi,90,0.7161154100664817,0.6609116300602169,0.7694238133959014
jfm,tp,1,acc,mme,90,0.7443870671902273,0.6872707853129071,0.798174449993195
jfm,tp,1,acc,ncep,90,0.6190552753665747,0.5445398310924136,0.6912439538980871
jfm,tp,1,acc,spire,90,0.7751751854036387,0.7259424195552456,0.8213252508070509
jfm,tp,1,acc,ukmo,90,0.7323652341912497,0.6821734788324184,0.7795710699347689
jfm,tp,2,acc,ecmwf,90,0.6114183909298027,0.5424637091970138,0.6778681801767964
jfm,tp,2,acc,fuxi,90,0.5489523932881021,0.4745624295926443,0.6236759519443105
jfm,tp,2,acc,mme,90,0.6122309961566478,0.5460746568083098,0.6758908714401499
jfm,tp,2,acc,ncep,90,0.48718916329265294,0.40066741615325635,0.5718133389391432
jfm,tp,2,acc,spire,90,0.6551748889352489,0.6019020543051818,0.7070869879930921
jfm,tp,2,acc,ukmo,90,0.5038536307039175,0.44215280751873376,0.5644944553088125
jfm,tp,3,acc,ecmwf,90,0.4606251684546094,0.3762026356777749,0.5429228201519224
jfm,tp,3,acc,fuxi,90,0.449789889467724,0.37094562955162147,0.5286090055997977
jfm,tp,3,acc,mme,90,0.49020001859359924,0.41427624555860754,0.5652884228101266
jfm,tp,3,acc,ncep,90,0.3987440235138042,0.30036669328611476,0.49383340340189885
jfm,tp,3,acc,spire,90,0.5359736674263745,0.47282492956928435,0.5989470937741359
jfm,tp,3,acc,ukmo,90,0.3945489090966215,0.3268334765772996,0.4618039222368546
jfm,tp,4,acc,ecmwf,90,0.36945243846965276,0.27492996786027163,0.4589320655990226
jfm,tp,4,acc,fuxi,90,0.3935061590291633,0.29916643952498184,0.48233520736168245
jfm,tp,4,acc,mme,90,0.41594916554516287,0.3245852487327929,0.503431631496054
jfm,tp,4,acc,ncep,90,0.3645361880392721,0.2630399868359147,0.4623765070008373
jfm,tp,4,acc,spire,90,0.4167916747253833,0.3317228264889116,0.49901097180159787
jfm,tp,4,acc,ukmo,90,0.3755933160745774,0.31183372694708883,0.4405418899085715
jfm,tp,5,acc,ecmwf,90,0.3225130251469663,0.22904650868443058,0.41385697714809205
jfm,tp,5,acc,fuxi,90,0.3462033239599984,0.2530662773756702,0.4368883806919212
jfm,tp,5,acc,mme,90,0.3749739942117355,0.2850172426018999,0.4615674287455298
jfm,tp,5,acc,ncep,90,0.34054620257713264,0.24436283844798673,0.43425503897837536
jfm,tp,5,acc,spire,90,0.35659580229136195,0.26780766267871975,0.44255824146069145
jfm,tp,5,acc,ukmo,90,0.3537370822681766,0.3008973136469782,0.4067707159638844
jfm,tp,6,acc,ecmwf,90,0.26806002513833427,0.1767003763829187,0.3562758624046181
jfm,tp,6,acc,fuxi,90,0.31055603192605863,0.22235226600499253,0.39751051213755856
jfm,tp,6,acc,mme,90,0.3065874078703484,0.22019072264132833,0.3910318202610278
jfm,tp,6,acc,ncep,90,0.25932936307458754,0.16948598660400535,0.3488286913918243
jfm,tp,6,acc,spire,90,0.31117007209561987,0.22552250821271644,0.3942001492958275
jfm,tp,6,acc,ukmo,90,0.27656903349547823,0.20857502428900737,0.3433989369691866
jfm,tp,1,rmse,ecmwf,90,1.2711028323516655,1.067696313392459,1.4921320219692566
jfm,tp,1,rmse,fuxi,90,1.3295636847771413,1.1284626807568923,1.5489276848283748
jfm,tp,1,rmse,mme,90,1.1837713345181078,0.9978764233919284,1.3881980671804293
jfm,tp,1,rmse,ncep,90,1.5732905016667127,1.3503558906476318,1.8146259470495392
jfm,tp,1,rmse,spire,90,1.0926025017208207,0.9290554066612007,1.2721293276571004
jfm,tp,1,rmse,ukmo,90,1.3074476841900369,1.1152160948930347,1.5146355149840864
jfm,tp,2,rmse,ecmwf,90,1.588676439466162,1.3661708634323884,1.813485669704298
jfm,tp,2,rmse,fuxi,90,1.8273246961267313,1.5755988138529466,2.086202906206625
jfm,tp,2,rmse,mme,90,1.5391124797418403,1.3312342149474932,1.7485358291178845
jfm,tp,2,rmse,ncep,90,1.932915779759815,1.6591696062267975,2.217450605139755
jfm,tp,2,rmse,spire,90,1.4399469587961429,1.2626664513772996,1.6214202739711399
jfm,tp,2,rmse,ukmo,90,1.9013429099544157,1.689725303145432,2.110062160706566
