season,variable,week,metric,model_a,model_b,n_init,diff,ci_lo,ci_hi,p_value,significant_95
jfm,tp,1,acc,ecmwf,fuxi,90,0.014514498529254904,-0.003597508189570869,0.030841846343083908,0.107,False
jfm,tp,1,acc,ecmwf,ncep,90,0.11157463322916195,0.08954331654562313,0.13428491608241722,0.0,True
jfm,tp,1,acc,ecmwf,spire,90,-0.0445452768079021,-0.06589382118247103,-0.02445075954326548,0.0,True
jfm,tp,1,acc,ecmwf,ukmo,90,-0.0017353255955130376,-0.022635544708530044,0.017765701606100286,0.8966,False
jfm,tp,1,acc,fuxi,ncep,90,0.09706013469990704,0.06771758925293865,0.12758088692402908,0.0,True
jfm,tp,1,acc,fuxi,spire,90,-0.059059775337157006,-0.08253878928329159,-0.03462868726430344,0.0,True
jfm,tp,1,acc,fuxi,ukmo,90,-0.016249824124767942,-0.04053875291646156,0.008402958436243465,0.1936,False
jfm,tp,1,acc,ncep,spire,90,-0.15611991003706405,-0.19081579698163575,-0.12271799404979403,0.0,True
jfm,tp,1,acc,ncep,ukmo,90,-0.11330995882467498,-0.14761233548749428,-0.08056858810199055,0.0,True
jfm,tp,1,acc,spire,ukmo,90,0.042809951212389064,0.025144072267139893,0.0610194009795638,0.0,True
jfm,tp,2,acc,ecmwf,fuxi,90,0.06246599764170058,0.02330650558311918,0.10413841722235295,0.0012,True
jfm,tp,2,acc,ecmwf,ncep,90,0.12422922763714972,0.07977287032151627,0.16980220092697296,0.0,True
jfm,tp,2,acc,ecmwf,spire,90,-0.04375649800544623,-0.07348495295053661,-0.013368817441435994,0.0038,True
jfm,tp,2,acc,ecmwf,ukmo,90,0.10756476022588513,0.0632464187230817,0.15443033418019012,0.0,True
jfm,tp,2,acc,fuxi,ncep,90,0.06176322999544914,0.01447939310591206,0.1089580125399948,0.0112,True
jfm,tp,2,acc,fuxi,spire,90,-0.10622249564714681,-0.14759947381891458,-0.06485427831396114,0.0,True
jfm,tp,2,acc,fuxi,ukmo,90,0.04509876258418455,-0.016318311058844938,0.10795651388660084,0.148,False
jfm,tp,2,acc,ncep,spire,90,-0.16798572564259595,-0.22181811902095522,-0.11422668382299084,0.0,True
jfm,tp,2,acc,ncep,ukmo,90,-0.016664467411264594,-0.0894169795828868,0.05743980245005381,0.6738,False
jfm,tp,2,acc,spire,ukmo,90,0.15132125823133136,0.11094185630238455,0.19219285860893845,0.0,True
jfm,tp,3,acc,ecmwf,fuxi,90,0.010835278986885355,-0.02129629846819479,0.04268167323512879,0.518,False
jfm,tp,3,acc,ecmwf,ncep,90,0.061881144940805155,0.033332949914236354,0.092418968745123,0.0,True
jfm,tp,3,acc,ecmwf,spire,90,-0.07534849897176515,-0.11918390779688627,-0.03453444695197072,0.0004,True
jfm,tp,3,acc,ecmwf,ukmo,90,0.06607625935798789,-0.007335756141981791,0.13519982608164685,0.0792,False
jfm,tp,3,acc,fuxi,ncep,90,0.0510458659539198,0.011712459656770025,0.09144360615499637,0.0122,True
jfm,tp,3,acc,fuxi,spire,90,-0.08618377795865051,-0.13080924097902594,-0.042279876375649804,0.0,True
jfm,tp,3,acc,fuxi,ukmo,90,0.05524098037110253,-0.015642030985429132,0.12306300423695643,0.1276,False
jfm,tp,3,acc,ncep,spire,90,-0.1372296439125703,-0.1946022629518272,-0.0820210313359851,0.0,True
jfm,tp,3,acc,ncep,ukmo,90,0.004195114417182733,-0.08059241134595894,0.08283871581940462,0.9136,False
jfm,tp,3,acc,spire,ukmo,90,0.14142475832975304,0.08877970368253459,0.1912817252439963,0.0,True
jfm,tp,4,acc,ecmwf,fuxi,90,-0.02405372055951055,-0.04793275580368359,0.0007527634479140281,0.057,False
jfm,tp,4,acc,ecmwf,ncep,90,0.004916250430380631,-0.02409845707704781,0.03353985594907965,0.7434,False
jfm,tp,4,acc,ecmwf,spire,90,-0.047339236255730555,-0.0727916703321469,-0.02230747781924673,0.0004,True
jfm,tp,4,acc,ecmwf,ukmo,90,-0.006140877604924655,-0.07889241465044976,0.06335232465040128,0.8578,False
jfm,tp,4,acc,fuxi,ncep,90,0.02896997098989118,0.002198771247596088,0.05673330733166638,0.0332,True
jfm,tp,4,acc,fuxi,spire,90,-0.023285515696220005,-0.05492525042519762,0.008594890149225421,0.1514,False
jfm,tp,4,acc,fuxi,ukmo,90,0.017912842954585895,-0.051445782550418505,0.08308177779771381,0.5882,False
